wait_minutes,target_time_utc,forecast_ambient_c,delta_ambient_c,expected_delta_track_c,track_uncertainty_sd_c,expected_physical_delta_speed_mph,median_total_delta_speed_mph,q10_delta_speed_mph,q90_delta_speed_mph,q05_delta_speed_mph,q95_delta_speed_mph,p_improve,expected_future_speed_mph,median_future_speed_mph
0.0,2025-05-17 18:17:50.781500+00:00,21.666666666666668,0.0,0.0,0.0,0.0,0.0,-0.7199597912553156,0.7687547502819057,-1.2722536368737916,1.2722536368737916,0.48995,231.349,231.349
1.0,2025-05-17 18:18:50.781500+00:00,21.666666666666668,0.0,0.00773167982493807,0.09709999999999999,-0.0002436193930729915,5.758149092824789e-05,-0.7307705101435336,0.7545690529209435,-1.2654395761950068,1.268391845393245,0.50125,231.34875638060691,231.3490575814909
2.0,2025-05-17 18:19:50.781500+00:00,21.666666666666668,0.0,0.01546335964987614,0.19419999999999998,-0.0006638099296107646,0.00010419261576162066,-0.745152861738555,0.7459131236040294,-1.2582831854563703,1.2635624247561317,0.50125,231.34833619007037,231.34910419261575
3.0,2025-05-17 18:20:50.781500+00:00,21.666666666666668,0.0,0.02319503947481421,0.2913,-0.001000813294352992,7.097969403768226e-16,-0.7417838080229732,0.7490623133510711,-1.2558694152753698,1.2577752642659406,0.50015,231.34799918670564,231.349
4.0,2025-05-17 18:21:50.781500+00:00,21.666666666666668,0.0,0.03092671929975228,0.38839999999999997,-0.0007944286364018051,-6.59326880569427e-14,-0.7415999978594653,0.7414883019372372,-1.2442548771289033,1.2509673327761828,0.4994,231.3482055713636,231.34899999999993
5.0,2025-05-17 18:22:50.781500+00:00,21.666666666666668,0.0,0.038658399124690344,0.48549999999999993,-0.0014914502784643374,-4.323105104134782e-14,-0.745233027110503,0.743542569237027,-1.2402892691272562,1.245928721733264,0.49975,231.34750854972154,231.34899999999993
6.0,2025-05-17 18:23:50.781500+00:00,21.666666666666668,0.0,0.04639007894962842,0.5826,-0.0017063464427813323,-5.0949092960341074e-15,-0.7440310298677131,0.7461800515255211,-1.2348848198514863,1.24266356907291,0.4998,231.34729365355722,231.349
7.0,2025-05-17 18:24:50.781500+00:00,21.666666666666668,0.0,0.05412175877456649,0.6797,-0.0024163536823753142,-5.357239314863833e-13,-0.748427217240043,0.7428482973294603,-1.2294970195053758,1.248420013344903,0.49955,231.3465836463176,231.34899999999945
8.0,2025-05-17 18:25:50.781500+00:00,21.666666666666668,0.0,0.06185343859950456,0.7767999999999999,-0.0017309438148369856,-0.0006446388683161788,-0.7488684603291664,0.7447228274485115,-1.2307374936630313,1.2465301668736513,0.49815,231.34726905618516,231.34835536113167
9.0,2025-05-17 18:26:50.781500+00:00,21.666666666666668,0.0,0.06958511842444264,0.8738999999999999,-0.00273410505745976,-0.0011469908576994972,-0.7423104233108203,0.7442906943673974,-1.2299993738987927,1.238263868336666,0.4968,231.34626589494252,231.34785300914228
10.0,2025-05-17 18:27:50.781500+00:00,21.666666666666668,0.0,0.07731679824938069,0.9709999999999999,-0.0030740457861793873,-0.0005013267750972253,-0.749829125543663,0.7435066970723824,-1.2411585761503277,1.2392719779006562,0.4985,231.3459259542138,231.3484986732249
11.0,2025-05-17 18:28:50.781500+00:00,21.666666666666668,0.0,0.08504847807431876,1.0680999999999998,-0.002714421640777043,-0.0010603035708637689,-0.7465684405003208,0.744638831353881,-1.231120544180962,1.2341811360320374,0.49765,231.34628557835921,231.34793969642914
12.0,2025-05-17 18:29:50.781500+00:00,21.666666666666668,0.0,0.09278015789925684,1.1652,-0.0028629070420363705,-0.0007582211030526885,-0.7473756584097898,0.744619686531112,-1.2327955928364216,1.2348859308787339,0.4983,231.34613709295795,231.34824177889695
13.0,2025-05-17 18:30:50.781500+00:00,21.666666666666668,0.0,0.10051183772419492,1.2623,-0.005031151517571503,-0.0024053335901853736,-0.7454048087720514,0.7395328217751452,-1.2404370241522973,1.2420474428750516,0.49585,231.3439688484824,231.3465946664098
14.0,2025-05-17 18:31:50.781500+00:00,21.666666666666668,0.0,0.10824351754913299,1.3594,-0.003962402488872294,-0.0009853487094556375,-0.7425813633138039,0.7421869527340014,-1.2380096997389343,1.2377448233722013,0.4976,231.34503759751112,231.34801465129053
15.0,2025-05-17 18:32:50.781500+00:00,21.666666666666668,0.0,0.11597519737407105,1.4565,-0.004543538222825345,-0.002478955761832751,-0.752447371643668,0.7523251091764797,-1.2368039487104407,1.2441137552935313,0.4963,231.34445646177716,231.34652104423816
16.0,2025-05-17 18:33:50.781500+00:00,21.666666666666668,0.0,0.12370687719900912,1.4894399999999999,-0.00465804588726352,-0.0017052164355225283,-0.7468788069911609,0.7455109202592128,-1.2451762099649604,1.2440783463358758,0.49635,231.34434195411274,231.34729478356448
17.0,2025-05-17 18:34:50.781500+00:00,21.666666666666668,0.0,0.1314385570239472,1.5223799999999998,-0.004621013267117229,-0.002312279958902955,-0.7513166809361479,0.7474475557514592,-1.2394023963650518,1.2342962152417494,0.49635,231.34437898673286,231.34668772004107
18.0,2025-05-17 18:35:50.781500+00:00,21.666666666666668,0.0,0.13917023684888527,1.5553199999999998,-0.004825023613800536,-0.0020656681328282385,-0.7534889265666584,0.7516967234814311,-1.2315498207099282,1.2385738290785357,0.49565,231.3441749763862,231.34693433186717
19.0,2025-05-17 18:36:50.781500+00:00,21.666666666666668,0.0,0.14690191667382335,1.58826,-0.004439375391964517,-0.0020116048340118303,-0.7562439527820601,0.7431390891046603,-1.2408997891392102,1.2317475049074538,0.49665,231.34456062460802,231.34698839516597
20.0,2025-05-17 18:37:50.781500+00:00,21.666666666666668,0.0,0.15463359649876138,1.6212,-0.005839483901883756,-0.003287219680475041,-0.7543827492025693,0.7455979416837367,-1.2402888382009523,1.240819108787407,0.4954,231.3431605160981,231.3457127803195
21.0,2025-05-17 18:38:50.781500+00:00,21.666666666666668,0.0,0.16236527632369946,1.65414,-0.0066891089473921465,-0.002596895595499527,-0.7527361725282615,0.7438969435157494,-1.2425779008449855,1.2295630489993974,0.4953,231.3423108910526,231.3464031044045
22.0,2025-05-17 18:39:50.781500+00:00,21.666666666666668,0.0,0.1700969561486375,1.68708,-0.005660052442169944,-0.0030636838157684816,-0.759496718248448,0.7494618572146858,-1.2333609328132615,1.230566883955764,0.4953,231.3433399475578,231.3459363161842
23.0,2025-05-17 18:40:50.781500+00:00,21.666666666666668,0.0,0.17782863597357568,1.7200199999999999,-0.006472940908141728,-0.004537523345602387,-0.7547264857825916,0.7451090531337013,-1.239546592231667,1.235164212984353,0.49445,231.34252705909185,231.3444624766544
24.0,2025-05-17 18:41:50.781500+00:00,21.666666666666668,0.0,0.18556031579851368,1.7529599999999999,-0.008206155123444301,-0.006314735344008338,-0.753314126576702,0.756298269582899,-1.2439203270795753,1.2337381523552724,0.49245,231.34079384487654,231.34268526465598
25.0,2025-05-17 18:42:50.781500+00:00,21.666666666666668,0.0,0.1932919956234518,1.7858999999999998,-0.007574821290946261,-0.005279251350981187,-0.7586813368264945,0.7495291335898642,-1.2427912698301615,1.2365221178857382,0.4931,231.34142517870904,231.34372074864902
26.0,2025-05-17 18:43:50.781500+00:00,21.666666666666668,0.0,0.20102367544838984,1.8188399999999998,-0.007630500545466394,-0.004813292910450837,-0.7519187003250901,0.7465025202393006,-1.2447069732005462,1.238557042302874,0.49385,231.34136949945452,231.34418670708953
27.0,2025-05-17 18:44:50.781500+00:00,21.666666666666668,0.0,0.20875535527332795,1.8517799999999998,-0.007732999510059234,-0.005208921553828138,-0.7553629739276984,0.7330881772743737,-1.2356419883132537,1.2306485109215748,0.4929,231.34126700048992,231.34379107844617
28.0,2025-05-17 18:45:50.781500+00:00,21.69801327160494,0.03134660493827113,0.26945551311988863,1.88472,-0.003270378001685684,-0.003177139942871399,-0.7441304849390465,0.7520698161783642,-1.2333228431591612,1.2474111001560333,0.4979,231.34572962199832,231.34582286005713
29.0,2025-05-17 18:46:50.781500+00:00,21.735050308641977,0.06838364197530922,0.3397711788707544,1.91766,0.0011589483316396976,0.00434498350434921,-0.7459566921237751,0.7639825612471108,-1.2414004442117554,1.2505749280686809,0.5041,231.35015894833163,231.35334498350434
30.0,2025-05-17 18:47:50.781500+00:00,21.77208734567901,0.10542067901234375,0.41008684462161415,1.9506,0.004412971470513297,0.006354450879026471,-0.7486532147469508,0.7578477009192072,-1.2373851348589116,1.2515220482426443,0.50515,231.3534129714705,231.35535445087902
31.0,2025-05-17 18:48:50.781500+00:00,21.80912438271605,0.14245771604938184,0.48040251037247994,1.9722,0.009511750510797657,0.011700674460739954,-0.744644505207818,0.7689093027986493,-1.2292217585111038,1.2466266725837087,0.5097,231.3585117505108,231.36070067446073
32.0,2025-05-17 18:49:50.781500+00:00,21.846161419753088,0.17949475308641993,0.5507181761233457,1.9937999999999998,0.014427944323705297,0.015087700153329886,-0.7438104856389601,0.7649396445262039,-1.2255645029018747,1.243785815752958,0.5146,231.3634279443237,231.3640877001533
