case_id,driver_name,car_number,before_time_utc,after_time_utc,actual_wait_min,before_speed_mph,after_speed_mph,actual_delta_speed_mph,current_track_c,current_ambient_c,inside_product_120,status,validation_band,model_expected_delta_speed_mph,model_median_delta_speed_mph,lower_80_mph,upper_80_mph,lower_90_mph,upper_90_mph,p_improve,absolute_error_mph,signed_error_mph,actual_improved,predicted_direction_improved,direction_correct,inside_80,inside_90,expected_delta_track_c,track_residual_mode
2025_12_Carpenter_Ed,"Carpenter, Ed",33,2025-05-17 16:49:36.160500+00:00,2025-05-17 20:43:27.558000+00:00,233.85662499999998,231.392,231.633,0.24100000000001387,41.49619722222222,20.726025,False,EXCLUDED_WAIT_GT_180,,,,,,,,,,,,,,,,,
2025_13_Malukas_David,"Malukas, David",4,2025-05-17 16:26:50.670500+00:00,2025-05-17 21:19:05.265000+00:00,292.2432416666667,232.194,232.546,0.35200000000000387,41.31605648148148,20.672425617283952,False,EXCLUDED_WAIT_GT_180,,,,,,,,,,,,,,,,,
2025_14_Foster_Louis,"Foster, Louis",45,2025-05-17 17:09:09.844000+00:00,2025-05-17 21:14:39.594500+00:00,245.49584166666668,230.566,231.058,0.4919999999999902,42.129340740740744,21.45052098765432,False,EXCLUDED_WAIT_GT_180,,,,,,,,,,,,,,,,,
2025_15_Siegel_Nolan,"Siegel, Nolan",6,2025-05-17 15:49:00.334500+00:00,2025-05-17 19:11:04.441500+00:00,202.06845,230.571,230.099,-0.4720000000000084,37.37057685185185,20.555555555555557,False,EXCLUDED_WAIT_GT_180,,,,,,,,,,,,,,,,,
2025_16_Lundgaard_Christian,"Lundgaard, Christian",7,2025-05-17 15:40:08.488500+00:00,2025-05-17 19:55:07.570000+00:00,254.98469166666666,230.304,231.809,1.5049999999999955,37.04227685185185,20.375610185185185,False,EXCLUDED_WAIT_GT_180,,,,,,,,,,,,,,,,,
2025_17_Sato_Takuma,"Sato, Takuma",75,2025-05-17 16:44:57.028500+00:00,2025-05-17 21:01:44.620000+00:00,256.7931916666667,232.169,232.415,0.2459999999999809,41.666666666666664,20.555555555555557,False,EXCLUDED_WAIT_GT_180,,,,,,,,,,,,,,,,,
2025_18_Daly_Conor,"Daly, Conor",76,2025-05-17 15:53:29.200500+00:00,2025-05-17 18:28:06.608000+00:00,154.62345833333333,231.596,231.221,-0.375,37.53654351851852,20.555555555555557,False,BACKTEST_INCLUDED,EXTENDED_120_TO_180,0.050320233183980705,0.053638606699665414,-0.7225367895945763,0.8470691103563256,-1.15377902850875,1.3334027340870878,0.54255,0.4253202331839807,0.4253202331839807,False,True,False,True,True,4.397771562327879,EMPIRICAL_STANDARDIZED
2025_19_Robb_Sting_Ray,"Robb, Sting Ray",77,2025-05-17 17:18:30.521000+00:00,2025-05-17 19:34:54.465000+00:00,136.39906666666667,230.335,231.461,1.1260000000000048,43.03768024691358,21.79661790123457,False,BACKTEST_INCLUDED,EXTENDED_120_TO_180,0.012481471262765786,0.00022871028802002452,-0.7865895325079861,0.7923656685325673,-1.2463087457258477,1.25546826851707,0.5001,1.1135185287372389,-1.1135185287372389,True,True,True,False,True,1.858402688567395,EMPIRICAL_STANDARDIZED
2025_20_Ilott_Callum,"Ilott, Callum",90,2025-05-17 17:37:34.710500+00:00,2025-05-17 20:29:36.789000+00:00,172.03464166666666,230.704,230.993,0.28899999999998727,44.73094537037037,22.22222222222222,False,BACKTEST_INCLUDED,EXTENDED_120_TO_180,-0.03501141124876986,-0.0290213787474999,-0.8057885087354278,0.7647634130384603,-1.2638994047433911,1.2536186359556367,0.47775,0.3240114112487571,-0.3240114112487571,True,False,False,True,True,1.0402550779112565,EMPIRICAL_STANDARDIZED
2025_21_Andretti_Marco,"Andretti, Marco",98,2025-05-17 16:54:38.427000+00:00,2025-05-17 19:02:05.635500+00:00,127.453475,229.857,229.356,-0.5010000000000048,41.309612962962966,20.91260925925926,False,BACKTEST_INCLUDED,EXTENDED_120_TO_180,0.12024465374715232,0.11710480049836727,-0.660636231917531,0.899034742940654,-1.1036449105444546,1.354215556285545,0.59315,0.6212446537471571,0.6212446537471571,False,True,False,True,True,3.595633499659436,EMPIRICAL_STANDARDIZED
2025_22_Andretti_Marco,"Andretti, Marco",98,2025-05-17 19:02:05.635500+00:00,2025-05-17 20:57:21.750500+00:00,115.26858333333332,229.356,229.475,0.11899999999999977,43.73378333333333,22.22222222222222,True,BACKTEST_INCLUDED,PRODUCT_120,0.04025089997595806,0.034045538225777466,-0.7385605142485396,0.8098186902342484,-1.2028664699282634,1.2740999680358478,0.52795,0.07874910002404172,-0.07874910002404172,True,True,True,True,True,1.7855890552766587,EMPIRICAL_STANDARDIZED
2025_23_Andretti_Marco,"Andretti, Marco",98,2025-05-17 20:57:21.750500+00:00,2025-05-17 21:36:23.144000+00:00,39.023225000000004,229.475,229.859,0.38400000000001455,40.09768487654321,22.77777777777778,True,BACKTEST_INCLUDED,PRODUCT_120,-0.04998430504580608,-0.04707286234418262,-0.7906360420740972,0.6835756316283887,-1.269655291776526,1.1464162968604588,0.45735,0.43398430504582064,-0.43398430504582064,True,False,False,True,True,0.09202408603317686,EMPIRICAL_STANDARDIZED
