path,table,rows,columns,weather_columns,target_year_hits
weather/evidence/download_manifest.csv,CSV,40,9,,
weather/evidence/indy500_discovered_sources.csv,CSV,43,9,,
weather/evidence/last_chance_official/2021_driver_event_details_3608.json,EventSessionList,15,6,TrackType,
weather/evidence/last_chance_official/2021_drivers_by_year.json,JSON,43,8,,
weather/evidence/last_chance_official/2021_events_by_year_series.json,JSON,16,3,,
weather/evidence/last_chance_official/2021_last_chance_session_5847_v2.json,records,7,34,,
weather/evidence/last_chance_official/2021_last_chance_session_5847_v2.json,SessionReports,0,0,,
weather/evidence/last_chance_official/2023_driver_event_details_3608.json,EventSessionList,7,6,TrackType,
weather/evidence/last_chance_official/2023_drivers_by_year.json,JSON,37,8,,
weather/evidence/last_chance_official/2023_events_by_year_series.json,JSON,17,3,,
weather/evidence/last_chance_official/2023_last_chance_session_6205_v2.json,records,4,34,,
weather/evidence/last_chance_official/2023_last_chance_session_6205_v2.json,SessionReports,3,8,,
weather/evidence/last_chance_official/2024_driver_event_details_3608.json,EventSessionList,8,6,TrackType,
weather/evidence/last_chance_official/2024_drivers_by_year.json,JSON,43,8,,
weather/evidence/last_chance_official/2024_events_by_year_series.json,JSON,18,3,,
weather/evidence/last_chance_official/2024_last_chance_session_6385_v2.json,records,4,34,,
weather/evidence/last_chance_official/2024_last_chance_session_6385_v2.json,SessionReports,3,8,,2019
weather/evidence/priority_download_manifest.csv,CSV,15,10,,2026
weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Temps,54,35,Ambient  | Track | Humidity | Wind | TrackCel,
weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,2026 Temp Archive,1332,20,,2026
weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Pit Lane,22,16,,
weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,times,75,8,,
weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,2025 Temp Archive,1222,21,,2025
weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,2024 Temp Archive,1234,21,,
weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,2023 Temp Archive,1214,20,,
weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,2022 Temp Archive,927,30,Ambient  | Track | Humidity | Wind,
weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,2021 Temp Archive,865,19,,
weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,2020 Temp Archive,680,20,Ambient  | Track | Humidity | Wind,
weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,2019 Temp Archive,1062,18,Ambient  | Track | Humidity | Wind,2019
weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,2018 Temp Archive,1117,18,Ambient | Track | Humidity | Wind | Pressure,2018
weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,2017 Temp Archive,1128,19,Ambient | Track | Humidity | Wind | Pressure,
weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,2016 Temp Archive,969,19,Ambient | Track | Humidity | Wind | Pressure,
