path,suffix,bytes,filename_target_year_hits
weather/__pycache__/build_track_condition_recon.cpython-312.pyc,.pyc,44043,
weather/build_hrrr_features.py,.py,6844,
weather/build_track_condition_recon.py,.py,35749,
weather/evidence/download_manifest.csv,.csv,10877,
weather/evidence/downloads/2021/2021-indycar-qualorder-Day1.pdf,.pdf,62218,
weather/evidence/downloads/2021/2021-indycar-results-p6.pdf,.pdf,817212,
weather/evidence/downloads/2021/2021-indycar-results-p7-sun-morning.pdf,.pdf,816123,
weather/evidence/downloads/2021/2021-indycar-results-quals-day1.pdf,.pdf,828492,
weather/evidence/downloads/2021/2021-indycar-sectionresults-race.pdf,.pdf,4224549,
weather/evidence/downloads/2021/2021-indycar-topsectiontimes-quals-day1.pdf,.pdf,326934,
weather/evidence/downloads/2021/2021-indycar-topsectiontimes-quals-poleday-sunday.pdf,.pdf,241056,
weather/evidence/downloads/2021/2021-indycar-topsectiontimes-race.pdf,.pdf,340453,
weather/evidence/downloads/2024/indycar-qual-explainer-2024Indy500.pdf,.pdf,751595,
weather/evidence/downloads/2024/indycar-qualorder-2024Indy500.pdf,.pdf,282083,
weather/evidence/downloads/2024/indycar-results-p6-05-18-2024-morn.pdf,.pdf,835785,
weather/evidence/downloads/2024/indycar-results-quals-day1-05-18-2024.pdf,.pdf,899358,
weather/evidence/downloads/2024/indycar-sectionresults-race-05-26-2024.pdf,.pdf,8033181,
weather/evidence/downloads/2024/indycar-topsectiontimes-race-05-26-2024.pdf,.pdf,1154615,
weather/evidence/extracted_text/2021/2021-indycar-qualorder-Day1.txt,.txt,452,
weather/evidence/extracted_text/2021/2021-indycar-results-p6.txt,.txt,1030,
weather/evidence/extracted_text/2021/2021-indycar-results-p7-sun-morning.txt,.txt,843,
weather/evidence/extracted_text/2021/2021-indycar-results-quals-day1.txt,.txt,6106,
weather/evidence/extracted_text/2021/2021-indycar-sectionresults-race.txt,.txt,1151488,
weather/evidence/extracted_text/2021/2021-indycar-topsectiontimes-quals-day1.txt,.txt,62281,
weather/evidence/extracted_text/2021/2021-indycar-topsectiontimes-quals-poleday-sunday.txt,.txt,24872,
weather/evidence/extracted_text/2021/2021-indycar-topsectiontimes-race.txt,.txt,66684,
weather/evidence/extracted_text/2024/indycar-qual-explainer-2024Indy500.txt,.txt,2181,
weather/evidence/extracted_text/2024/indycar-results-p6-05-18-2024-morn.txt,.txt,1039,
weather/evidence/extracted_text/2024/indycar-results-quals-day1-05-18-2024.txt,.txt,7186,
weather/evidence/extracted_text/2024/indycar-sectionresults-race-05-26-2024.txt,.txt,1771661,
weather/evidence/extracted_text/2024/indycar-topsectiontimes-race-05-26-2024.txt,.txt,97408,
weather/evidence/indy500_discovered_sources.csv,.csv,9621,
weather/evidence/last_chance_official/2021_driver_event_details_3608.json,.json,15332,
weather/evidence/last_chance_official/2021_drivers_by_year.json,.json,6311,
weather/evidence/last_chance_official/2021_events_by_year_series.json,.json,1209,
weather/evidence/last_chance_official/2021_indy500_event_candidate_1.json,.json,97,
weather/evidence/last_chance_official/2021_last_chance_official_page.html,.html,158167,
weather/evidence/last_chance_official/2021_last_chance_session_5847_v2.json,.json,5189,
weather/evidence/last_chance_official/2023_driver_event_details_3608.json,.json,7166,
weather/evidence/last_chance_official/2023_drivers_by_year.json,.json,5438,
weather/evidence/last_chance_official/2023_events_by_year_series.json,.json,1278,
weather/evidence/last_chance_official/2023_indy500_event_candidate_1.json,.json,97,
weather/evidence/last_chance_official/2023_last_chance_official_page.html,.html,158182,
weather/evidence/last_chance_official/2023_last_chance_session_6205_v2.json,.json,4073,
weather/evidence/last_chance_official/2024_driver_event_details_3608.json,.json,8168,
weather/evidence/last_chance_official/2024_drivers_by_year.json,.json,6317,
weather/evidence/last_chance_official/2024_events_by_year_series.json,.json,1404,
weather/evidence/last_chance_official/2024_indy500_event_candidate_1.json,.json,97,
weather/evidence/last_chance_official/2024_last_chance_official_page.html,.html,158182,
weather/evidence/last_chance_official/2024_last_chance_session_6385_v2.json,.json,4038,
weather/evidence/last_chance_official/indycar_v2_bundle.js,.js,606987,
weather/evidence/priority_download_manifest.csv,.csv,4603,
weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,.xlsx,1842490,
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024.csv,.csv,29136,
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024_time_normalized.csv,.csv,43432,
weather/evidence/ptsc/indy500_day1_track_temp_excluded_blocks.csv,.csv,4835,
weather/evidence/ptsc/indy500_day1_track_temp_qa.csv,.csv,7699,
weather/evidence/ptsc/indy500_day1_track_temp_qa_summary.csv,.csv,103,
weather/evidence/ptsc_all_file_links.csv,.csv,36185,
weather/evidence/ptsc_firestone_history_probe.csv,.csv,44250,
weather/evidence/ptsc_wayback_results.csv,.csv,441,
weather/evidence/raw_pages/2020_doctorindy.com_homepage.txt,.txt,25188,
weather/evidence/raw_pages/2021_doctorindy.com_homepage.txt,.txt,25188,
weather/evidence/raw_pages/2022_doctorindy.com_homepage.txt,.txt,25188,
weather/evidence/raw_pages/2022_www.indycar.com_news_2022_05_05-21-buzz.txt,.txt,9467,
weather/evidence/raw_pages/2023_doctorindy.com_homepage.txt,.txt,25188,
weather/evidence/raw_pages/2024_doctorindy.com_2024_04_10_2024-indianapolis-500-archive.txt,.txt,13989,
weather/evidence/raw_pages/2024_www.indycar.com_news_2024_05_05-18-buzz.txt,.txt,13102,
weather/evidence/rescue/official_2022_editorial_chronology/article_text/INDYCAR_2022_DAY1_RECAP.txt,.txt,8165,
weather/evidence/rescue/official_2022_editorial_chronology/article_text/INDYCAR_2022_GANASSI.txt,.txt,7886,
weather/evidence/rescue/official_2022_editorial_chronology/article_text/INDYCAR_2022_MORNING_PRACTICE.txt,.txt,4431,
weather/evidence/rescue/official_2022_editorial_chronology/article_text/INDYCAR_2022_QUALFORMAT.txt,.txt,7732,
