year,path,table,rows,weather_columns
2026,weather/output/attempt_performance_repeat_delta_context_v1.csv,CSV,40,current_forecast_wind_direction_sin | current_forecast_wind_direction_cos | baseline_forecast_wind_direction_sin | baseline_forecast_wind_direction_cos | delta_forecast_wind_direction_sin | delta_forecast_wind_direction_cos | current_relative_humidity_pct | baseline_relative_humidity_pct | delta_relative_humidity_pct | current_wind_speed_10m_ms | baseline_wind_speed_10m_ms | delta_wind_speed_10m_ms | current_pressure_hpa | baseline_pressure_hpa | delta_pressure_hpa | current_cloud_cover_pct | baseline_cloud_cover_pct | delta_cloud_cover_pct | current_shortwave_radiation_wm2 | baseline_shortwave_radiation_wm2 | delta_shortwave_radiation_wm2
2018,weather/output/attempt_performance_residual_diagnostics_v1.csv,CSV,615,forecast_relative_humidity_pct | forecast_wind_speed_10m_ms | forecast_wind_direction_sin | forecast_wind_direction_cos | forecast_pressure_hpa | forecast_cloud_cover_pct | forecast_shortwave_radiation_wm2
2025,weather/output/attempt_performance_residual_diagnostics_v1.csv,CSV,615,forecast_relative_humidity_pct | forecast_wind_speed_10m_ms | forecast_wind_direction_sin | forecast_wind_direction_cos | forecast_pressure_hpa | forecast_cloud_cover_pct | forecast_shortwave_radiation_wm2
2026,weather/output/attempt_performance_residual_diagnostics_v1.csv,CSV,615,forecast_relative_humidity_pct | forecast_wind_speed_10m_ms | forecast_wind_direction_sin | forecast_wind_direction_cos | forecast_pressure_hpa | forecast_cloud_cover_pct | forecast_shortwave_radiation_wm2
2019,weather/output/attempt_performance_residual_feature_correlations_v1.csv,CSV,60,
2018,weather/output/attempt_performance_residual_group_summary_v1.csv,CSV,61,
2026,weather/output/chronology_evidence_field_inventory_v1.csv,CSV,526,
2018,weather/output/chronology_rescue_2022_editorial_candidates_v1.csv,CSV,64,
2026,weather/output/chronology_rescue_2022_editorial_candidates_v1.csv,CSV,64,
2025,weather/output/hrrr_forecast_availability_policy.csv,CSV,259,
2018,weather/output/hrrr_ims_2020_2024_features.csv,CSV,259,GUST_surface | dewpoint_c | relative_humidity_pct | wind_speed_10m_ms | wind_direction_deg | pressure_hpa | gust_ms | cloud_cover_pct | shortwave_radiation_wm2
2025,weather/output/hrrr_ims_2020_2024_features.csv,CSV,259,GUST_surface | dewpoint_c | relative_humidity_pct | wind_speed_10m_ms | wind_direction_deg | pressure_hpa | gust_ms | cloud_cover_pct | shortwave_radiation_wm2
2026,weather/output/hrrr_ims_2020_2024_features.csv,CSV,259,GUST_surface | dewpoint_c | relative_humidity_pct | wind_speed_10m_ms | wind_direction_deg | pressure_hpa | gust_ms | cloud_cover_pct | shortwave_radiation_wm2
2026,weather/output/hrrr_ims_20220521_features.csv,CSV,52,GUST_surface | dewpoint_c | relative_humidity_pct | wind_speed_10m_ms | wind_direction_deg | pressure_hpa | gust_ms | cloud_cover_pct | shortwave_radiation_wm2
2018,weather/output/hrrr_ims_20230520.csv,CSV,52,GUST_surface
2025,weather/output/hrrr_ims_20230520.csv,CSV,52,GUST_surface
2018,weather/output/hrrr_ims_20230520_features.csv,CSV,52,GUST_surface | dewpoint_c | relative_humidity_pct | wind_speed_10m_ms | wind_direction_deg | pressure_hpa | gust_ms | cloud_cover_pct | shortwave_radiation_wm2
2025,weather/output/hrrr_ims_20230520_features.csv,CSV,52,GUST_surface | dewpoint_c | relative_humidity_pct | wind_speed_10m_ms | wind_direction_deg | pressure_hpa | gust_ms | cloud_cover_pct | shortwave_radiation_wm2
2019,weather/output/large_gain_event_section_audit_v1.csv,CSV,288,
2019,weather/output/official_action_lane_leaderboard_local_evidence_hits_v1.csv,CSV,70,
2025,weather/output/official_action_lane_leaderboard_local_evidence_hits_v1.csv,CSV,70,
2026,weather/output/official_action_lane_leaderboard_local_evidence_hits_v1.csv,CSV,70,
2025,weather/output/official_action_lane_leaderboard_resource_candidates_v1.csv,CSV,577,
2025,weather/output/official_dynamic_endpoint_candidates_v1.csv,CSV,595,
2025,weather/output/official_lane_queue_live_field_inventory_v1.csv,CSV,924,
2026,weather/output/official_lane_queue_live_field_inventory_v1.csv,CSV,924,
2026,weather/output/official_report_endpoint_candidates_v1.csv,CSV,25,
2026,weather/output/official_report_endpoint_fetch_audit_v1.csv,CSV,10,
2018,weather/output/performance_context_features.csv,CSV,136,forecast_GUST_surface | forecast_GUST_surface_before | forecast_GUST_surface_after | forecast_GUST_surface_interpolation_method | forecast_cloud_cover_pct | forecast_cloud_cover_pct_before | forecast_cloud_cover_pct_after | forecast_cloud_cover_pct_interpolation_method | forecast_dewpoint_c | forecast_dewpoint_c_before | forecast_dewpoint_c_after | forecast_dewpoint_c_interpolation_method | forecast_gust_ms | forecast_gust_ms_before | forecast_gust_ms_after | forecast_gust_ms_interpolation_method | forecast_pressure_hpa | forecast_pressure_hpa_before | forecast_pressure_hpa_after | forecast_pressure_hpa_interpolation_method | forecast_relative_humidity_pct | forecast_relative_humidity_pct_before | forecast_relative_humidity_pct_after | forecast_relative_humidity_pct_interpolation_method | forecast_shortwave_radiation_wm2 | forecast_shortwave_radiation_wm2_before | forecast_shortwave_radiation_wm2_after | forecast_shortwave_radiation_wm2_interpolation_method | forecast_wind_direction_deg | forecast_wind_direction_deg_before | forecast_wind_direction_deg_after | forecast_wind_direction_deg_interpolation_method | forecast_wind_speed_10m_ms | forecast_wind_speed_10m_ms_before | forecast_wind_speed_10m_ms_after | forecast_wind_speed_10m_ms_interpolation_method
2019,weather/output/performance_context_features.csv,CSV,136,forecast_GUST_surface | forecast_GUST_surface_before | forecast_GUST_surface_after | forecast_GUST_surface_interpolation_method | forecast_cloud_cover_pct | forecast_cloud_cover_pct_before | forecast_cloud_cover_pct_after | forecast_cloud_cover_pct_interpolation_method | forecast_dewpoint_c | forecast_dewpoint_c_before | forecast_dewpoint_c_after | forecast_dewpoint_c_interpolation_method | forecast_gust_ms | forecast_gust_ms_before | forecast_gust_ms_after | forecast_gust_ms_interpolation_method | forecast_pressure_hpa | forecast_pressure_hpa_before | forecast_pressure_hpa_after | forecast_pressure_hpa_interpolation_method | forecast_relative_humidity_pct | forecast_relative_humidity_pct_before | forecast_relative_humidity_pct_after | forecast_relative_humidity_pct_interpolation_method | forecast_shortwave_radiation_wm2 | forecast_shortwave_radiation_wm2_before | forecast_shortwave_radiation_wm2_after | forecast_shortwave_radiation_wm2_interpolation_method | forecast_wind_direction_deg | forecast_wind_direction_deg_before | forecast_wind_direction_deg_after | forecast_wind_direction_deg_interpolation_method | forecast_wind_speed_10m_ms | forecast_wind_speed_10m_ms_before | forecast_wind_speed_10m_ms_after | forecast_wind_speed_10m_ms_interpolation_method
2025,weather/output/performance_context_features.csv,CSV,136,forecast_GUST_surface | forecast_GUST_surface_before | forecast_GUST_surface_after | forecast_GUST_surface_interpolation_method | forecast_cloud_cover_pct | forecast_cloud_cover_pct_before | forecast_cloud_cover_pct_after | forecast_cloud_cover_pct_interpolation_method | forecast_dewpoint_c | forecast_dewpoint_c_before | forecast_dewpoint_c_after | forecast_dewpoint_c_interpolation_method | forecast_gust_ms | forecast_gust_ms_before | forecast_gust_ms_after | forecast_gust_ms_interpolation_method | forecast_pressure_hpa | forecast_pressure_hpa_before | forecast_pressure_hpa_after | forecast_pressure_hpa_interpolation_method | forecast_relative_humidity_pct | forecast_relative_humidity_pct_before | forecast_relative_humidity_pct_after | forecast_relative_humidity_pct_interpolation_method | forecast_shortwave_radiation_wm2 | forecast_shortwave_radiation_wm2_before | forecast_shortwave_radiation_wm2_after | forecast_shortwave_radiation_wm2_interpolation_method | forecast_wind_direction_deg | forecast_wind_direction_deg_before | forecast_wind_direction_deg_after | forecast_wind_direction_deg_interpolation_method | forecast_wind_speed_10m_ms | forecast_wind_speed_10m_ms_before | forecast_wind_speed_10m_ms_after | forecast_wind_speed_10m_ms_interpolation_method
