model,eval_scope,held_out_year,horizon_min,n,mae_c,rmse_c,bias_c,median_abs_error_c
B0_persistence,overall,ALL,ALL,611,3.144208037825059,4.270557267197239,-1.9749045280960176,2.2222222222222214
B0_persistence,year,2020,ALL,113,3.2694198623402158,4.433676730181717,-2.7089478859390366,2.2222222222222214
B0_persistence,year,2021,ALL,113,2.856440511307768,3.9078062151918673,-2.384464110127827,1.6666666666666714
B0_persistence,year,2022,ALL,114,3.7914230019493176,5.03130765773723,-0.41910331384015587,2.7777777777777786
B0_persistence,year,2023,ALL,133,2.807017543859649,4.000951339574965,-1.7794486215538843,1.6666666666666714
B0_persistence,year,2024,ALL,138,3.0676328502415457,3.975907043974944,-2.5120772946859904,2.2222222222222214
B0_persistence,horizon,ALL,15,143,1.1344211344211346,1.4735282503633373,-0.45066045066045063,1.1111111111111072
B0_persistence,horizon,ALL,30,133,1.9674185463659144,2.3790719391313577,-0.923141186299081,1.6666666666666714
B0_persistence,horizon,ALL,60,116,3.223180076628353,3.957051785552748,-1.872605363984674,2.7777777777777786
B0_persistence,horizon,ALL,90,110,4.499999999999999,5.454896172787549,-3.075757575757576,3.8888888888888893
B0_persistence,horizon,ALL,120,109,5.76452599388379,6.766371311317363,-4.255861365953108,5.555555555555557
B0_persistence,year_horizon,2020,15,27,1.3580246913580245,1.6494307673935038,-0.6995884773662552,1.1111111111111107
B0_persistence,year_horizon,2020,30,25,2.3333333333333326,2.560381915956202,-1.3555555555555554,2.2222222222222214
B0_persistence,year_horizon,2020,60,21,3.2010582010582014,4.015329239383326,-2.671957671957672,3.8888888888888857
B0_persistence,year_horizon,2020,90,20,4.555555555555555,5.608084992575506,-4.222222222222223,3.333333333333332
B0_persistence,year_horizon,2020,120,20,5.8055555555555545,7.128667563757473,-5.638888888888888,5.277777777777779
B0_persistence,year_horizon,2021,15,27,0.7613168724279838,1.0530075376069128,-0.4732510288065844,0.5555555555555571
B0_persistence,year_horizon,2021,30,25,1.5777777777777784,1.953155092360772,-1.0000000000000002,1.6666666666666643
B0_persistence,year_horizon,2021,60,21,3.0158730158730163,3.6410036667589543,-2.1693121693121693,2.7777777777777786
B0_persistence,year_horizon,2021,90,20,4.333333333333334,5.055250296034368,-3.7777777777777772,3.888888888888893
B0_persistence,year_horizon,2021,120,20,5.638888888888889,6.367112646780338,-5.527777777777778,6.1111111111111125
B0_persistence,year_horizon,2022,15,27,1.5020576131687244,1.9801253002895607,-0.10288065843621402,1.1111111111111107
B0_persistence,year_horizon,2022,30,25,2.6222222222222222,3.162277660168379,-0.311111111111111,2.7777777777777786
B0_persistence,year_horizon,2022,60,22,4.292929292929293,5.162890984914362,-0.6565656565656565,3.333333333333334
B0_persistence,year_horizon,2022,90,20,5.3888888888888875,6.655082528172744,-0.6666666666666666,5.555555555555555
B0_persistence,year_horizon,2022,120,20,6.194444444444445,7.27226254126842,-0.4722222222222223,5.555555555555557
B0_persistence,year_horizon,2023,15,31,0.842293906810036,1.0884791855957145,-0.4121863799283153,1.1111111111111072
B0_persistence,year_horizon,2023,30,29,1.6091954022988508,1.973644999722533,-0.8429118773946359,1.6666666666666643
B0_persistence,year_horizon,2023,60,25,2.8222222222222224,3.5468643776694146,-1.5333333333333332,2.7777777777777786
B0_persistence,year_horizon,2023,90,24,4.097222222222222,5.0575392933425345,-2.6620370370370368,3.8888888888888857
B0_persistence,year_horizon,2023,120,24,5.486111111111112,6.617294027539776,-4.050925925925925,5.0
B0_persistence,year_horizon,2024,15,31,1.2365591397849462,1.4425131836989773,-0.5555555555555556,1.1111111111111145
B0_persistence,year_horizon,2024,30,29,1.781609195402299,2.1217718324108885,-1.0919540229885059,1.6666666666666643
B0_persistence,year_horizon,2024,60,27,2.901234567901235,3.324748891233391,-2.3251028806584357,2.2222222222222214
B0_persistence,year_horizon,2024,90,26,4.273504273504273,4.935481167928246,-3.888888888888889,4.166666666666668
B0_persistence,year_horizon,2024,120,25,5.755555555555556,6.495012331411326,-5.355555555555555,5.555555555555557
B1_ambient_1to1,overall,ALL,ALL,611,2.4204400800145485,3.288785182894825,-1.4057101291143845,1.6666666666666679
B1_ambient_1to1,year,2020,ALL,113,2.463126843657817,3.3082471297263645,-1.823992133726647,1.666666666666668
B1_ambient_1to1,year,2021,ALL,113,2.094395280235989,2.8347163416613026,-1.4945919370698133,1.6666666666666643
B1_ambient_1to1,year,2022,ALL,114,3.094541910331384,4.118467155779405,-0.9600389863547758,2.2222222222222214
B1_ambient_1to1,year,2023,ALL,133,2.3308270676691736,3.3569201693366177,-1.2447786131996657,1.1111111111111145
B1_ambient_1to1,year,2024,ALL,138,2.1819645732689215,2.733953819836071,-1.5136876006441227,1.6666666666666679
B1_ambient_1to1,horizon,ALL,15,143,0.9829059829059834,1.3584464823381324,-0.2991452991452991,1.1111111111111072
B1_ambient_1to1,horizon,ALL,30,133,1.6833751044277363,2.1069739173663007,-0.6390977443609023,1.6666666666666643
B1_ambient_1to1,horizon,ALL,60,116,2.6101532567049817,3.2570289448963643,-1.364942528735632,2.2222222222222214
B1_ambient_1to1,horizon,ALL,90,110,3.3989898989898992,4.209377058289649,-2.2575757575757573,2.7777777777777786
B1_ambient_1to1,horizon,ALL,120,109,4.016309887869522,4.860146256364519,-2.9765545361875634,3.3333333333333357
B1_ambient_1to1,year_horizon,2020,15,27,1.1316872427983544,1.469861839480328,-0.4732510288065844,1.1111111111111107
B1_ambient_1to1,year_horizon,2020,30,25,1.8,2.0757268546965997,-0.8666666666666667,1.6666666666666643
B1_ambient_1to1,year_horizon,2020,60,21,2.486772486772487,3.028378417196653,-1.7460317460317456,2.2222222222222214
B1_ambient_1to1,year_horizon,2020,90,20,3.305555555555555,4.188829943587624,-2.9166666666666674,2.222222222222225
B1_ambient_1to1,year_horizon,2020,120,20,4.222222222222221,5.13400668984352,-3.833333333333333,3.888888888888891
B1_ambient_1to1,year_horizon,2021,15,27,0.6378600823045274,0.8350462505227585,-0.22633744855967078,0.5555555555555571
B1_ambient_1to1,year_horizon,2021,30,25,1.1777777777777783,1.5194215923530385,-0.5555555555555557,1.1111111111111143
B1_ambient_1to1,year_horizon,2021,60,21,2.3280423280423284,2.7962349760262044,-1.3756613756613756,2.222222222222225
B1_ambient_1to1,year_horizon,2021,90,20,3.2500000000000013,3.753599095913083,-2.4722222222222223,2.7777777777777803
B1_ambient_1to1,year_horizon,2021,120,20,3.8055555555555562,4.3902951333623,-3.5277777777777777,3.0555555555555554
B1_ambient_1to1,year_horizon,2022,15,27,1.419753086419753,1.927468518024197,-0.22633744855967078,1.1111111111111107
B1_ambient_1to1,year_horizon,2022,30,25,2.511111111111111,3.053029258674241,-0.5555555555555555,2.2222222222222214
B1_ambient_1to1,year_horizon,2022,60,22,3.863636363636364,4.585819650081673,-1.2878787878787874,3.333333333333332
B1_ambient_1to1,year_horizon,2022,90,20,4.333333333333333,5.417734937393288,-1.6666666666666672,3.6111111111111125
B1_ambient_1to1,year_horizon,2022,120,20,3.999999999999999,5.246986201385598,-1.388888888888889,2.777777777777777
B1_ambient_1to1,year_horizon,2023,15,31,0.6989247311827962,1.0027838590349665,-0.26881720430107525,0.5555555555555571
B1_ambient_1to1,year_horizon,2023,30,29,1.4176245210727974,1.7568209223157663,-0.574712643678161,1.1111111111111127
B1_ambient_1to1,year_horizon,2023,60,25,2.4,3.154459903684087,-1.0666666666666667,1.6666666666666679
B1_ambient_1to1,year_horizon,2023,90,24,3.425925925925926,4.315251925085572,-1.8981481481481477,3.0555555555555554
B1_ambient_1to1,year_horizon,2023,120,24,4.375,5.332320505681241,-2.847222222222222,4.722222222222221
B1_ambient_1to1,year_horizon,2024,15,31,1.0573476702508966,1.3349750943701573,-0.30465949820788524,1.1111111111111107
B1_ambient_1to1,year_horizon,2024,30,29,1.5708812260536402,1.8797389382430774,-0.6513409961685825,1.6666666666666643
B1_ambient_1to1,year_horizon,2024,60,27,2.0987654320987663,2.4521017365482978,-1.3991769547325101,2.2222222222222214
B1_ambient_1to1,year_horizon,2024,90,26,2.8418803418803416,3.295728047309632,-2.371794871794872,2.7777777777777786
B1_ambient_1to1,year_horizon,2024,120,25,3.688888888888889,4.1425226405127225,-3.2444444444444445,3.8888888888888857
M0,overall,ALL,ALL,611,2.022957527471962,2.749436893458114,-0.08073901483256118,1.3949287173409441
M0,year,2020,ALL,113,1.8919520417089257,2.3159427620373303,-0.3194995016773702,1.7395229984632072
M0,year,2021,ALL,113,1.4364811258210926,1.9489336378951625,0.10019716152414966,1.1116991603452564
M0,year,2022,ALL,114,3.1699817436151867,4.144974116021477,-0.7356151202980242,2.5
M0,year,2023,ALL,133,2.0788720380245116,2.8360407041929165,0.1874062206545376,1.4282825710991882
M0,year,2024,ALL,138,1.609030445833952,2.0056959826709138,0.24916465754739298,1.3097631570580701
M0,horizon,ALL,15,143,1.0568638983275458,1.4220102500519156,-0.021036549629703263,0.7981867082554279
M0,horizon,ALL,30,133,1.6212433083265234,2.1324621768529366,-0.04144913114509052,1.1574548232128719
M0,horizon,ALL,60,116,2.317830227784084,3.0583000400907654,-0.08446958116165926,1.702157532348037
M0,horizon,ALL,90,110,2.7482107823327464,3.4987997554846157,-0.12378220073539886,2.2241545401700344
M0,horizon,ALL,120,109,2.734850085665563,3.4445577301702848,-0.1595969130982015,2.2019137453632442
M0,year_horizon,2020,15,27,1.1516971085839105,1.4525821619257988,-0.16558958252935946,0.9237881368526069
M0,year_horizon,2020,30,25,1.6398031854912376,1.905744037802653,-0.14612421658483454,1.4662346222003277
M0,year_horizon,2020,60,21,1.9674697059409805,2.3265479785516314,-0.19379112368391238,1.9780102106525104
M0,year_horizon,2020,90,20,2.4433746323690153,2.7843873070684104,-0.48884657692445865,2.2995164600815574
M0,year_horizon,2020,120,20,2.5757661335960607,3.078910589961046,-0.7066437205388965,2.1870252787767654
M0,year_horizon,2021,15,27,0.6341806424462462,0.8388387068865717,0.15598598463865235,0.554967506321415
M0,year_horizon,2021,30,25,1.1261843933859719,1.3673129606892496,0.2141255682546936,0.834410281083519
M0,year_horizon,2021,60,21,1.7789407783785687,2.2160657902288654,0.18357683218292709,1.4953454233614973
M0,year_horizon,2021,90,20,1.9182710696752132,2.609151955621316,0.07312725215900873,1.146209642197809
M0,year_horizon,2021,120,20,2.0660851148815653,2.491908168231826,-0.17800700292018448,1.5804255744078248
M0,year_horizon,2022,15,27,1.6133229107977443,2.118774746393711,-0.2266386820762525,1.189034082322316
M0,year_horizon,2022,30,25,2.608005465351506,3.412794039616288,-0.5045876390717333,1.9828037758125814
M0,year_horizon,2022,60,22,4.130246595605242,4.984970471816466,-1.2168141383369475,3.759145026951474
M0,year_horizon,2022,90,20,4.698571065380099,5.428536994946601,-1.351966084159638,5.326060148887574
M0,year_horizon,2022,120,20,3.389060856794361,4.528498560915835,-0.5658477797258495,3.3518375728133796
M0,year_horizon,2023,15,31,0.7761686061752566,1.0154021972114784,0.03339203253051477,0.7842866484725051
M0,year_horizon,2023,30,29,1.2709201740629907,1.6382485061281957,0.07195400347802228,1.0647673990093496
M0,year_horizon,2023,60,25,2.2587468189830733,2.9043842628810608,0.35343659303682984,1.7364874568168935
