pair_id,year,session_id,t0_utc,t0_local,future_utc,future_local,requested_horizon_min,actual_horizon_min,horizon_error_min,track_temp_0_c,ambient_temp_0_c,thermal_gap_0_c,track_rate_0_c_per_min,rate_lookback_min,rate_source_utc,rate_source_track_c,rate_valid,future_track_temp_c,future_ambient_temp_c,delta_track_temp_c,delta_ambient_temp_c,source_row_0,source_row_future,solar_elevation_0_deg,future_solar_elevation_deg,delta_solar_elevation_deg,solar_elevation_mean_deg
2020_2020-08-15_day1_000_h15,2020,2020_2020-08-15_day1,2020-08-15 12:15:00+00:00,2020-08-15 12:15:00+00:00,2020-08-15 12:30:00+00:00,2020-08-15 12:30:00+00:00,15,15.0,0.0,26.666666666666668,21.11111111111111,5.555555555555557,,,,,False,27.22222222222222,21.666666666666668,0.5555555555555536,0.5555555555555571,325,326,13.715250808670334,16.580173189403112,2.8649223807327786,15.147711999036723
2020_2020-08-15_day1_000_h30,2020,2020_2020-08-15_day1,2020-08-15 12:15:00+00:00,2020-08-15 12:15:00+00:00,2020-08-15 12:45:00+00:00,2020-08-15 12:45:00+00:00,30,30.0,0.0,26.666666666666668,21.11111111111111,5.555555555555557,,,,,False,27.77777777777778,22.22222222222222,1.1111111111111107,1.1111111111111107,325,327,13.715250808670334,19.454503215602088,5.7392524069317545,16.58487701213621
2020_2020-08-15_day1_000_h60,2020,2020_2020-08-15_day1,2020-08-15 12:15:00+00:00,2020-08-15 12:15:00+00:00,2020-08-15 13:15:00+00:00,2020-08-15 13:15:00+00:00,60,60.0,0.0,26.666666666666668,21.11111111111111,5.555555555555557,,,,,False,30.0,23.88888888888889,3.333333333333332,2.7777777777777786,325,329,13.715250808670334,25.212144766674427,11.496893958004094,19.46369778767238
2020_2020-08-15_day1_001_h15,2020,2020_2020-08-15_day1,2020-08-15 12:30:00+00:00,2020-08-15 12:30:00+00:00,2020-08-15 12:45:00+00:00,2020-08-15 12:45:00+00:00,15,15.0,0.0,27.22222222222222,21.666666666666668,5.555555555555554,0.0370370370370369,15.0,2020-08-15 12:15:00+00:00,26.666666666666668,True,27.77777777777778,22.22222222222222,0.5555555555555571,0.5555555555555536,326,327,16.580173189403112,19.454503215602088,2.874330026198976,18.0173382025026
2020_2020-08-15_day1_001_h30,2020,2020_2020-08-15_day1,2020-08-15 12:30:00+00:00,2020-08-15 12:30:00+00:00,2020-08-15 13:00:00+00:00,2020-08-15 13:00:00+00:00,30,30.0,0.0,27.22222222222222,21.666666666666668,5.555555555555554,0.0370370370370369,15.0,2020-08-15 12:15:00+00:00,26.666666666666668,True,28.88888888888889,23.333333333333332,1.666666666666668,1.6666666666666643,326,328,16.580173189403112,22.33348178550625,5.753308596103139,19.45682748745468
2020_2020-08-15_day1_001_h60,2020,2020_2020-08-15_day1,2020-08-15 12:30:00+00:00,2020-08-15 12:30:00+00:00,2020-08-15 13:30:00+00:00,2020-08-15 13:30:00+00:00,60,60.0,0.0,27.22222222222222,21.666666666666668,5.555555555555554,0.0370370370370369,15.0,2020-08-15 12:15:00+00:00,26.666666666666668,True,31.11111111111111,23.88888888888889,3.8888888888888897,2.2222222222222214,326,330,16.580173189403112,28.085204849664713,11.5050316602616,22.332689019533913
2020_2020-08-15_day1_002_h15,2020,2020_2020-08-15_day1,2020-08-15 12:45:00+00:00,2020-08-15 12:45:00+00:00,2020-08-15 13:00:00+00:00,2020-08-15 13:00:00+00:00,15,15.0,0.0,27.77777777777778,22.22222222222222,5.555555555555557,0.0370370370370371,15.0,2020-08-15 12:30:00+00:00,27.22222222222222,True,28.88888888888889,23.333333333333332,1.1111111111111107,1.1111111111111107,327,328,19.454503215602088,22.33348178550625,2.878978569904163,20.89399250055417
2020_2020-08-15_day1_002_h30,2020,2020_2020-08-15_day1,2020-08-15 12:45:00+00:00,2020-08-15 12:45:00+00:00,2020-08-15 13:15:00+00:00,2020-08-15 13:15:00+00:00,30,30.0,0.0,27.77777777777778,22.22222222222222,5.555555555555557,0.0370370370370371,15.0,2020-08-15 12:30:00+00:00,27.22222222222222,True,30.0,23.88888888888889,2.2222222222222214,1.666666666666668,327,329,19.454503215602088,25.212144766674427,5.757641551072339,22.333323991138258
2020_2020-08-15_day1_002_h120,2020,2020_2020-08-15_day1,2020-08-15 12:45:00+00:00,2020-08-15 12:45:00+00:00,2020-08-15 14:45:00+00:00,2020-08-15 14:45:00+00:00,120,120.0,0.0,27.77777777777778,22.22222222222222,5.555555555555557,0.0370370370370371,15.0,2020-08-15 12:30:00+00:00,27.22222222222222,True,37.22222222222222,25.555555555555557,9.444444444444445,3.3333333333333357,327,331,19.454503215602088,42.13841094426483,22.68390772866274,30.796457079933457
2020_2020-08-15_day1_003_h15,2020,2020_2020-08-15_day1,2020-08-15 13:00:00+00:00,2020-08-15 13:00:00+00:00,2020-08-15 13:15:00+00:00,2020-08-15 13:15:00+00:00,15,15.0,0.0,28.88888888888889,23.333333333333332,5.555555555555557,0.074074074074074,15.0,2020-08-15 12:45:00+00:00,27.77777777777778,True,30.0,23.88888888888889,1.1111111111111107,0.5555555555555571,328,329,22.33348178550625,25.212144766674427,2.8786629811681763,23.77281327609034
