pair_id,model,calibration,held_out_year,horizon_min,actual,predicted,lower80,upper80,lower90,upper90,calibration_n
2020_2020-08-15_day1_000_h15,M1_no_solar,pooled,2020,15,0.5555555555555536,1.065791395729014,-2.660589462413055,3.7399691666744044,-3.824332123239893,4.757514654084879,535
2020_2020-08-15_day1_001_h15,M1_no_solar,pooled,2020,15,0.5555555555555571,1.0657913957290113,-2.6605894624130575,3.7399691666744017,-3.8243321232398957,4.757514654084877,535
2020_2020-08-15_day1_002_h15,M1_no_solar,pooled,2020,15,1.1111111111111107,1.4974728522320766,-2.228908005909992,4.171650623177467,-3.3926506667368304,5.189196110587942,535
2020_2020-08-15_day1_003_h15,M1_no_solar,pooled,2020,15,1.1111111111111107,1.065791395729014,-2.660589462413055,3.7399691666744044,-3.824332123239893,4.757514654084879,535
2020_2020-08-15_day1_004_h15,M1_no_solar,pooled,2020,15,1.1111111111111107,0.6140377546742338,-3.112343103467835,3.2882155256196244,-4.276085764294673,4.305761013030099,535
2020_2020-08-15_day1_006_h15,M1_no_solar,pooled,2020,15,1.1111111111111145,1.2766788221632186,-2.4497020359788504,3.9508565931086093,-3.613444696805688,4.968402080519084,535
2020_2020-08-15_day1_007_h15,M1_no_solar,pooled,2020,15,1.1111111111111072,0.4133159091570899,-3.313064948984979,3.0874936801024804,-4.476807609811817,4.105039167512955,535
2020_2020-08-15_day1_008_h15,M1_no_solar,pooled,2020,15,1.1111111111111145,0.8048529965567242,-2.9215278615853446,3.4790307675021146,-4.085270522412182,4.49657625491259,535
2020_2020-08-15_day1_009_h15,M1_no_solar,pooled,2020,15,1.1111111111111072,0.3530993555019467,-3.373281502640122,3.0272771264473373,-4.537024163466961,4.0448226138578125,535
2020_2020-08-15_day1_010_h15,M1_no_solar,pooled,2020,15,1.6666666666666714,0.7446364429015837,-2.981744415240485,3.418814213846974,-4.145487076067323,4.43635970125745,535
2020_2020-08-15_day1_011_h15,M1_no_solar,pooled,2020,15,3.3333333333333286,1.136173530301218,-2.590207327840851,3.8103513012466084,-3.753949988667689,4.827896788657084,535
2020_2020-08-15_day1_012_h15,M1_no_solar,pooled,2020,15,1.1111111111111145,0.1925218790882318,-3.533858979053837,2.866699650033622,-4.697601639880675,3.8842451374440974,535
2020_2020-08-15_day1_013_h15,M1_no_solar,pooled,2020,15,1.1111111111111072,0.152377509984803,-3.574003348157266,2.8265552809301933,-4.737746008984104,3.8441007683406685,535
2020_2020-08-15_day1_014_h15,M1_no_solar,pooled,2020,15,1.1111111111111145,0.1122331408813743,-3.6141477172606944,2.786410911826765,-4.777890378087533,3.80395639923724,535
2020_2020-08-15_day1_015_h15,M1_no_solar,pooled,2020,15,0.5555555555555571,0.5037702282810084,-3.2226106298610606,3.177947999226399,-4.386353290687898,4.195493486636874,535
2020_2020-08-15_day1_016_h15,M1_no_solar,pooled,2020,15,1.1111111111111072,0.9354516847840768,-2.790929173357992,3.6096294557294675,-3.95467183418483,4.627174943139942,535
2020_2020-08-15_day1_017_h15,M1_no_solar,pooled,2020,15,1.6666666666666714,0.0720887717779455,-3.6542920863641233,2.746266542723336,-4.8180347471909615,3.763812030133811,535
2020_2020-08-15_day1_018_h15,M1_no_solar,pooled,2020,15,-3.3333333333333357,0.0118722181228022,-3.7145086400192664,2.686049989068193,-4.878251300846105,3.703595476478668,535
2020_2020-08-15_day1_019_h15,M1_no_solar,pooled,2020,15,1.1111111111111145,-0.7310575875730428,-4.457438445715112,1.9431201833723475,-5.6211811065419495,2.9606656707828227,535
2020_2020-08-15_day1_020_h15,M1_no_solar,pooled,2020,15,2.7777777777777715,0.4836980437292966,-3.242682814412772,3.157875814674687,-4.40642547523961,4.175421302085162,535
2020_2020-08-15_day1_021_h15,M1_no_solar,pooled,2020,15,-3.3333333333333286,-0.0282721509806265,-3.7546530091226953,2.645905619964764,-4.9183956699495335,3.663451107375239,535
2020_2020-08-15_day1_022_h15,M1_no_solar,pooled,2020,15,0.0,0.0921609563296598,-3.634219901812409,2.76633872727505,-4.797962562639247,3.7838842146855254,535
2020_2020-08-15_day1_023_h15,M1_no_solar,pooled,2020,15,0.5555555555555571,-0.3395205001734059,-4.065901358315474,2.3346572707719844,-5.229644019142313,3.3522027581824596,535
2020_2020-08-15_day1_024_h15,M1_no_solar,pooled,2020,15,2.2222222222222214,0.4836980437292966,-3.242682814412772,3.157875814674687,-4.40642547523961,4.175421302085162,535
2020_2020-08-15_day1_025_h15,M1_no_solar,pooled,2020,15,1.1111111111111072,0.8551629465772164,-2.8712179115648526,3.529340717522607,-4.03496057239169,4.546886204933082,535
2020_2020-08-15_day1_026_h15,M1_no_solar,pooled,2020,15,0.0,0.8551629465772165,-2.871217911564852,3.529340717522607,-4.03496057239169,4.546886204933082,535
