pair_id,year,session_id,t0_utc,t0_local,future_utc,future_local,requested_horizon_min,actual_horizon_min,horizon_error_min,track_temp_0_c,ambient_temp_0_c,thermal_gap_0_c,track_rate_0_c_per_min,rate_lookback_min,rate_source_utc,rate_source_track_c,rate_valid,future_track_temp_c,future_ambient_temp_c,delta_track_temp_c,delta_ambient_temp_c,source_row_0,source_row_future
2020_2020-08-15_day1_000_h15,2020,2020_2020-08-15_day1,2020-08-15 12:15:00+00:00,2020-08-15 12:15:00+00:00,2020-08-15 12:30:00+00:00,2020-08-15 12:30:00+00:00,15,15.0,0.0,26.666666666666668,21.11111111111111,5.555555555555557,,,,,False,27.22222222222222,21.666666666666668,0.5555555555555536,0.5555555555555571,325,326
2020_2020-08-15_day1_000_h30,2020,2020_2020-08-15_day1,2020-08-15 12:15:00+00:00,2020-08-15 12:15:00+00:00,2020-08-15 12:45:00+00:00,2020-08-15 12:45:00+00:00,30,30.0,0.0,26.666666666666668,21.11111111111111,5.555555555555557,,,,,False,27.77777777777778,22.22222222222222,1.1111111111111107,1.1111111111111107,325,327
2020_2020-08-15_day1_000_h60,2020,2020_2020-08-15_day1,2020-08-15 12:15:00+00:00,2020-08-15 12:15:00+00:00,2020-08-15 13:15:00+00:00,2020-08-15 13:15:00+00:00,60,60.0,0.0,26.666666666666668,21.11111111111111,5.555555555555557,,,,,False,30.0,23.88888888888889,3.333333333333332,2.7777777777777786,325,329
2020_2020-08-15_day1_001_h15,2020,2020_2020-08-15_day1,2020-08-15 12:30:00+00:00,2020-08-15 12:30:00+00:00,2020-08-15 12:45:00+00:00,2020-08-15 12:45:00+00:00,15,15.0,0.0,27.22222222222222,21.666666666666668,5.555555555555554,0.0370370370370369,15.0,2020-08-15 12:15:00+00:00,26.666666666666668,True,27.77777777777778,22.22222222222222,0.5555555555555571,0.5555555555555536,326,327
2020_2020-08-15_day1_001_h30,2020,2020_2020-08-15_day1,2020-08-15 12:30:00+00:00,2020-08-15 12:30:00+00:00,2020-08-15 13:00:00+00:00,2020-08-15 13:00:00+00:00,30,30.0,0.0,27.22222222222222,21.666666666666668,5.555555555555554,0.0370370370370369,15.0,2020-08-15 12:15:00+00:00,26.666666666666668,True,28.88888888888889,23.333333333333332,1.6666666666666679,1.6666666666666643,326,328
2020_2020-08-15_day1_001_h60,2020,2020_2020-08-15_day1,2020-08-15 12:30:00+00:00,2020-08-15 12:30:00+00:00,2020-08-15 13:30:00+00:00,2020-08-15 13:30:00+00:00,60,60.0,0.0,27.22222222222222,21.666666666666668,5.555555555555554,0.0370370370370369,15.0,2020-08-15 12:15:00+00:00,26.666666666666668,True,31.11111111111111,23.88888888888889,3.8888888888888893,2.2222222222222214,326,330
2020_2020-08-15_day1_002_h15,2020,2020_2020-08-15_day1,2020-08-15 12:45:00+00:00,2020-08-15 12:45:00+00:00,2020-08-15 13:00:00+00:00,2020-08-15 13:00:00+00:00,15,15.0,0.0,27.77777777777778,22.22222222222222,5.555555555555557,0.03703703703703714,15.0,2020-08-15 12:30:00+00:00,27.22222222222222,True,28.88888888888889,23.333333333333332,1.1111111111111107,1.1111111111111107,327,328
2020_2020-08-15_day1_002_h30,2020,2020_2020-08-15_day1,2020-08-15 12:45:00+00:00,2020-08-15 12:45:00+00:00,2020-08-15 13:15:00+00:00,2020-08-15 13:15:00+00:00,30,30.0,0.0,27.77777777777778,22.22222222222222,5.555555555555557,0.03703703703703714,15.0,2020-08-15 12:30:00+00:00,27.22222222222222,True,30.0,23.88888888888889,2.2222222222222214,1.6666666666666679,327,329
2020_2020-08-15_day1_002_h120,2020,2020_2020-08-15_day1,2020-08-15 12:45:00+00:00,2020-08-15 12:45:00+00:00,2020-08-15 14:45:00+00:00,2020-08-15 14:45:00+00:00,120,120.0,0.0,27.77777777777778,22.22222222222222,5.555555555555557,0.03703703703703714,15.0,2020-08-15 12:30:00+00:00,27.22222222222222,True,37.22222222222222,25.555555555555557,9.444444444444443,3.3333333333333357,327,331
2020_2020-08-15_day1_003_h15,2020,2020_2020-08-15_day1,2020-08-15 13:00:00+00:00,2020-08-15 13:00:00+00:00,2020-08-15 13:15:00+00:00,2020-08-15 13:15:00+00:00,15,15.0,0.0,28.88888888888889,23.333333333333332,5.555555555555557,0.07407407407407404,15.0,2020-08-15 12:45:00+00:00,27.77777777777778,True,30.0,23.88888888888889,1.1111111111111107,0.5555555555555571,328,329
2020_2020-08-15_day1_003_h30,2020,2020_2020-08-15_day1,2020-08-15 13:00:00+00:00,2020-08-15 13:00:00+00:00,2020-08-15 13:30:00+00:00,2020-08-15 13:30:00+00:00,30,30.0,0.0,28.88888888888889,23.333333333333332,5.555555555555557,0.07407407407407404,15.0,2020-08-15 12:45:00+00:00,27.77777777777778,True,31.11111111111111,23.88888888888889,2.2222222222222214,0.5555555555555571,328,330
2020_2020-08-15_day1_003_h120,2020,2020_2020-08-15_day1,2020-08-15 13:00:00+00:00,2020-08-15 13:00:00+00:00,2020-08-15 15:00:00+00:00,2020-08-15 15:00:00+00:00,120,120.0,0.0,28.88888888888889,23.333333333333332,5.555555555555557,0.07407407407407404,15.0,2020-08-15 12:45:00+00:00,27.77777777777778,True,38.333333333333336,26.666666666666668,9.444444444444446,3.3333333333333357,328,332
2020_2020-08-15_day1_004_h15,2020,2020_2020-08-15_day1,2020-08-15 13:15:00+00:00,2020-08-15 13:15:00+00:00,2020-08-15 13:30:00+00:00,2020-08-15 13:30:00+00:00,15,15.0,0.0,30.0,23.88888888888889,6.111111111111111,0.07407407407407404,15.0,2020-08-15 13:00:00+00:00,28.88888888888889,True,31.11111111111111,23.88888888888889,1.1111111111111107,0.0,329,330
