held_out_year,horizon_min,intercept,beta_delta_ambient,beta_thermal_gap,train_n,test_n
2020,15,0.834831784743092,0.777026621705516,-0.03612993219308589,124,29
2020,30,1.7237366977537392,0.9193159746222613,-0.0758609426974258,117,27
2020,60,3.6044260843648552,1.255558493063165,-0.16035211798595475,104,23
2020,90,5.00880055464438,1.4545107155781394,-0.21719011534460617,96,21
2020,120,5.105204268503368,1.6320075474343878,-0.2104115472115546,94,21
2021,15,0.9684553095214353,0.7708339418033875,-0.03878185548417923,124,29
2021,30,2.0295024694345036,0.9413738786583479,-0.08392039810822403,116,28
2021,60,4.217081741577526,1.2763462321767294,-0.17848640018019252,103,24
2021,90,6.0270433327505515,1.5448901244738706,-0.25598985665281926,95,22
2021,120,6.060349047371251,1.7229101566178933,-0.25270309761777393,94,21
2022,15,1.1094660063464397,0.6860112233337444,-0.04296299702235816,124,29
2022,30,1.990543109459992,0.9206478812781164,-0.07801271042343126,117,27
2022,60,3.634181938675665,1.3333397295212037,-0.14645681840289876,103,24
2022,90,6.418842535688681,1.2505592229178422,-0.2566719714241973,95,22
2022,120,8.212943700666541,1.0929284528377896,-0.3162686074191486,94,21
2023,15,0.8437627452251845,0.8166506315773641,-0.03698221150255789,120,33
2023,30,1.7457871350074468,0.9375096048030842,-0.07925153438612992,113,31
2023,60,3.5766558442014675,1.2574998650925555,-0.16510211344489317,100,27
2023,90,5.002299744890404,1.4784826944627616,-0.22630874588821603,92,25
2023,120,4.833358284540503,1.6390004304521724,-0.20147803103709727,90,25
2024,15,0.7632550534408368,0.8419813223575318,-0.03021590087125095,120,33
2024,30,1.603615254476276,1.0079293116665113,-0.06712917973542824,113,31
2024,60,3.554214528722097,1.3320896458604858,-0.15481696085192495,98,29
2024,90,5.306941918849925,1.643051604695039,-0.23235975828203556,90,27
2024,120,5.26338206572226,1.846392079635146,-0.22219446259133552,88,27
