pair_id,held_out_year,horizon_min,model,actual,predicted,residual_c,abs_residual_c
2020_2020-08-15_day1_000_h15,2020,15,M1_no_solar,0.5555555555555536,1.065791395729014,-0.5102358401734604,0.5102358401734604
2020_2020-08-15_day1_001_h15,2020,15,M1_no_solar,0.5555555555555571,1.0657913957290113,-0.5102358401734541,0.5102358401734541
2020_2020-08-15_day1_002_h15,2020,15,M1_no_solar,1.1111111111111107,1.4974728522320766,-0.3863617411209659,0.3863617411209659
2020_2020-08-15_day1_003_h15,2020,15,M1_no_solar,1.1111111111111107,1.065791395729014,0.04531971538209678,0.04531971538209678
2020_2020-08-15_day1_004_h15,2020,15,M1_no_solar,1.1111111111111107,0.6140377546742338,0.4970733564368769,0.4970733564368769
2020_2020-08-15_day1_006_h15,2020,15,M1_no_solar,1.1111111111111145,1.2766788221632186,-0.1655677110521041,0.1655677110521041
2020_2020-08-15_day1_007_h15,2020,15,M1_no_solar,1.1111111111111072,0.4133159091570899,0.6977952019540172,0.6977952019540172
2020_2020-08-15_day1_008_h15,2020,15,M1_no_solar,1.1111111111111145,0.8048529965567242,0.30625811455439034,0.30625811455439034
2020_2020-08-15_day1_009_h15,2020,15,M1_no_solar,1.1111111111111072,0.3530993555019467,0.7580117556091605,0.7580117556091605
2020_2020-08-15_day1_010_h15,2020,15,M1_no_solar,1.6666666666666714,0.7446364429015837,0.9220302237650877,0.9220302237650877
2020_2020-08-15_day1_011_h15,2020,15,M1_no_solar,3.3333333333333286,1.136173530301218,2.1971598030321107,2.1971598030321107
2020_2020-08-15_day1_012_h15,2020,15,M1_no_solar,1.1111111111111145,0.1925218790882318,0.9185892320228827,0.9185892320228827
2020_2020-08-15_day1_013_h15,2020,15,M1_no_solar,1.1111111111111072,0.152377509984803,0.9587336011263041,0.9587336011263041
2020_2020-08-15_day1_014_h15,2020,15,M1_no_solar,1.1111111111111145,0.1122331408813743,0.9988779702297402,0.9988779702297402
2020_2020-08-15_day1_015_h15,2020,15,M1_no_solar,0.5555555555555571,0.5037702282810084,0.051785327274548765,0.051785327274548765
2020_2020-08-15_day1_016_h15,2020,15,M1_no_solar,1.1111111111111072,0.9354516847840768,0.17565942632703035,0.17565942632703035
2020_2020-08-15_day1_017_h15,2020,15,M1_no_solar,1.6666666666666714,0.0720887717779455,1.594577894888726,1.594577894888726
2020_2020-08-15_day1_018_h15,2020,15,M1_no_solar,-3.3333333333333357,0.0118722181228022,-3.345205551456138,3.345205551456138
2020_2020-08-15_day1_019_h15,2020,15,M1_no_solar,1.1111111111111145,-0.7310575875730428,1.8421686986841572,1.8421686986841572
2020_2020-08-15_day1_020_h15,2020,15,M1_no_solar,2.7777777777777715,0.4836980437292966,2.294079734048475,2.294079734048475
2020_2020-08-15_day1_021_h15,2020,15,M1_no_solar,-3.3333333333333286,-0.0282721509806265,-3.305061182352702,3.305061182352702
2020_2020-08-15_day1_022_h15,2020,15,M1_no_solar,0.0,0.0921609563296598,-0.0921609563296598,0.0921609563296598
2020_2020-08-15_day1_023_h15,2020,15,M1_no_solar,0.5555555555555571,-0.3395205001734059,0.895076055728963,0.895076055728963
2020_2020-08-15_day1_024_h15,2020,15,M1_no_solar,2.2222222222222214,0.4836980437292966,1.7385241784929248,1.7385241784929248
2020_2020-08-15_day1_025_h15,2020,15,M1_no_solar,1.1111111111111072,0.8551629465772164,0.2559481645338908,0.2559481645338908
2020_2020-08-15_day1_026_h15,2020,15,M1_no_solar,0.0,0.8551629465772165,-0.8551629465772165,0.8551629465772165
2020_2020-08-15_day1_027_h15,2020,15,M1_no_solar,-2.2222222222222214,-0.8314185103316117,-1.3908037118906096,1.3908037118906096
2020_2020-08-15_day1_028_h15,2020,15,M1_no_solar,0.0,0.0720887717779454,-0.0720887717779454,0.0720887717779454
2020_2020-08-15_day1_029_h15,2020,15,M1_no_solar,1.1111111111111145,-0.3595926847251175,1.470703795836232,1.470703795836232
2020_2020-08-15_day1_000_h15,2020,15,M2b_mean_solar,0.5555555555555536,0.5685693953817927,-0.01301383982623916,0.01301383982623916
2020_2020-08-15_day1_001_h15,2020,15,M2b_mean_solar,0.5555555555555571,0.6148838947801436,-0.05932833922458647,0.05932833922458647
