pair_id,year,horizon_min,current_track_temp_c,current_ambient_temp_c,thermal_gap_0_c,delta_ambient_temp_c,solar_elevation_mean_deg,actual_delta_track_temp_c,model_expected_delta_track_temp_c,deterministic_physical_delta_speed_mph,expected_delta_speed_mph,median_delta_speed_mph,lower_80_mph,upper_80_mph,lower_90_mph,upper_90_mph,p_improve,mc_sd_mph,n_mc,track_model,track_uncertainty,coefficient_uncertainty,performance_uncertainty,ambient_input_semantic
2020_2020-08-15_day1_000_h15,2020,15,26.666666666666668,21.11111111111111,5.555555555555557,0.5555555555555571,15.147711999036725,0.5555555555555536,0.671993170346461,0.08418037593389749,0.0827349702904942,0.08146700956922096,-0.661569182356723,0.8304514626262478,-1.1315769968286176,1.3148037513948294,0.5704,1.051448207490425,20000,M2b_mean_solar,horizon_specific_symmetrized_LOYO_residual,paired_bootstrap_draw,symmetrized_centered_LOYO_residual,realized_future_ambient_conditional_replay
2020_2020-08-15_day1_000_h30,2020,30,26.666666666666668,21.11111111111111,5.555555555555557,1.1111111111111107,16.58487701213621,1.1111111111111107,1.450332551138456,0.16420890668282612,0.1510961134176256,0.16161791572611145,-0.596975692733568,0.8789836325610754,-1.0674189343199247,1.3539688103449103,0.6311,1.056224379115908,20000,M2b_mean_solar,horizon_specific_symmetrized_LOYO_residual,paired_bootstrap_draw,symmetrized_centered_LOYO_residual,realized_future_ambient_conditional_replay
2020_2020-08-15_day1_000_h60,2020,60,26.666666666666668,21.11111111111111,5.555555555555557,2.7777777777777786,19.46369778767238,3.333333333333332,4.361439367799629,0.38180351426335074,0.37886676540439496,0.37268059676724824,-0.3433576581074975,1.1790385600588185,-0.8554433584267248,1.6194758700710985,0.77115,1.0533592248578607,20000,M2b_mean_solar,horizon_specific_symmetrized_LOYO_residual,paired_bootstrap_draw,symmetrized_centered_LOYO_residual,realized_future_ambient_conditional_replay
2020_2020-08-15_day1_001_h15,2020,15,27.22222222222222,21.666666666666668,5.555555555555554,0.5555555555555536,18.0173382025026,0.5555555555555571,0.7170889143859098,0.08241980029167742,0.0897464760879142,0.07905497432534353,-0.6360651498151195,0.8169609335037564,-1.1181613124029313,1.2916308439699902,0.573,1.0335161927809626,20000,M2b_mean_solar,horizon_specific_symmetrized_LOYO_residual,paired_bootstrap_draw,symmetrized_centered_LOYO_residual,realized_future_ambient_conditional_replay
2020_2020-08-15_day1_001_h30,2020,30,27.22222222222222,21.666666666666668,5.555555555555554,1.6666666666666643,19.45682748745468,1.666666666666668,2.1376443549248174,0.24779123032862266,0.24387654871975392,0.24212121164567185,-0.4896842048096938,0.9928262663222346,-0.9909626823871177,1.472234346292457,0.6975,1.0540644181498822,20000,M2b_mean_solar,horizon_specific_symmetrized_LOYO_residual,paired_bootstrap_draw,symmetrized_centered_LOYO_residual,realized_future_ambient_conditional_replay
2020_2020-08-15_day1_001_h60,2020,60,27.22222222222222,21.666666666666668,5.555555555555554,2.2222222222222214,22.332689019533913,3.8888888888888897,3.782765912363508,0.2939798584477359,0.285459129195241,0.2869074317957977,-0.473792108563657,1.0632842934841298,-0.9592306314238692,1.4961547848152645,0.71915,1.0470063505915868,20000,M2b_mean_solar,horizon_specific_symmetrized_LOYO_residual,paired_bootstrap_draw,symmetrized_centered_LOYO_residual,realized_future_ambient_conditional_replay
2020_2020-08-15_day1_002_h15,2020,15,27.77777777777778,22.22222222222222,5.555555555555557,1.1111111111111107,20.89399250055417,1.1111111111111107,1.2269323428125871,0.17293063804845557,0.16521603039225216,0.17174856055904347,-0.5756636342174006,0.882409371827326,-1.0464648537780123,1.3766374602696667,0.6413,1.0348212114504263,20000,M2b_mean_solar,horizon_specific_symmetrized_LOYO_residual,paired_bootstrap_draw,symmetrized_centered_LOYO_residual,realized_future_ambient_conditional_replay
2020_2020-08-15_day1_002_h30,2020,30,27.77777777777778,22.22222222222222,5.555555555555557,1.666666666666668,22.333323991138258,2.2222222222222214,2.2387947286830383,0.24384223496257895,0.24868954298941498,0.24693739073164345,-0.503166512300316,1.004939629775304,-1.0015646555252926,1.4461167570492937,0.6959,1.0408169153183116,20000,M2b_mean_solar,horizon_specific_symmetrized_LOYO_residual,paired_bootstrap_draw,symmetrized_centered_LOYO_residual,realized_future_ambient_conditional_replay
2020_2020-08-15_day1_002_h120,2020,120,27.77777777777778,22.22222222222222,5.555555555555557,3.3333333333333357,30.796457079933457,9.444444444444445,7.76358241611908,0.35939655081190214,0.3575117536880997,0.35484179783016745,-0.4119274678866288,1.1634966091674264,-0.8912755497546833,1.6095303346008334,0.7597,1.0602895879525291,20000,M2b_mean_solar,horizon_specific_symmetrized_LOYO_residual,paired_bootstrap_draw,symmetrized_centered_LOYO_residual,realized_future_ambient_conditional_replay
2020_2020-08-15_day1_003_h15,2020,15,28.88888888888889,23.333333333333332,5.555555555555557,0.5555555555555571,23.77281327609034,1.1111111111111107,0.8075353392305424,0.07888869606224158,0.08206591194694084,0.08186079960127929,-0.6468360362893237,0.798059022660046,-1.1307298507763226,1.2900189989049449,0.57395,1.0390557217529257,20000,M2b_mean_solar,horizon_specific_symmetrized_LOYO_residual,paired_bootstrap_draw,symmetrized_centered_LOYO_residual,realized_future_ambient_conditional_replay
