horizon_min,n,intercept_c,beta_delta_ambient_temp_c,beta_thermal_gap_0_c,beta_solar_elevation_mean_deg
15,153,0.24711536991458755,0.8363470300887929,-0.05000462163551215,0.015714849545556107
30,144,0.26615791094942653,1.0553783193831476,-0.10289983738935893,0.03516443480069808
60,127,0.10330668484227346,1.4171316204223818,-0.19686032619774954,0.072716112522804
90,117,0.6821451815052417,1.5920347102752432,-0.25380607821050866,0.08632102219219454
120,115,0.29754053002506,1.7676783478819087,-0.2616907932599928,0.0983106095276687
