year,session_id,session_name,report_name,raw_path,resolved_url,local_path,bytes,status
2018,5320,Qualifications - Day 1,Overall Results,INDYCAR/Documents/5320/2018-05-19/indycar-qualresults-Day1.pdf,http://www.imscdn.com/INDYCAR/Documents/5320/2018-05-19/indycar-qualresults-Day1.pdf,r6_regime_extension/evidence/official_reports_v2/2018_5320_indycar-qualresults-Day1.pdf,245909,DOWNLOADED
2018,5320,Qualifications - Day 1,Results,INDYCAR/Documents/5320/2018-05-20/indycar-results-quals-day1.pdf,http://www.imscdn.com/INDYCAR/Documents/5320/2018-05-20/indycar-results-quals-day1.pdf,r6_regime_extension/evidence/official_reports_v2/2018_5320_indycar-results-quals-day1.pdf,195230,DOWNLOADED
2018,5320,Qualifications - Day 1,Section Results,INDYCAR/Documents/5320/2018-05-19/indycar-sectionresults-quals-day1.pdf,http://www.imscdn.com/INDYCAR/Documents/5320/2018-05-19/indycar-sectionresults-quals-day1.pdf,r6_regime_extension/evidence/official_reports_v2/2018_5320_indycar-sectionresults-quals-day1.pdf,292880,DOWNLOADED
2018,5320,Qualifications - Day 1,Top Section Times,INDYCAR/Documents/5320/2018-05-19/indycar-topsectiontimes-quals-day1.pdf,http://www.imscdn.com/INDYCAR/Documents/5320/2018-05-19/indycar-topsectiontimes-quals-day1.pdf,r6_regime_extension/evidence/official_reports_v2/2018_5320_indycar-topsectiontimes-quals-day1.pdf,635929,DOWNLOADED
2019,5565,Qualifications - Day 1,Overall Results,INDYCAR/Documents/5565/2019-05-18/indycar-qualresults.pdf,http://www.imscdn.com/INDYCAR/Documents/5565/2019-05-18/indycar-qualresults.pdf,r6_regime_extension/evidence/official_reports_v2/2019_5565_indycar-qualresults.pdf,854371,DOWNLOADED
2019,5565,Qualifications - Day 1,Results,INDYCAR/Documents/5565/2019-05-18/indycar-results-quals-day1.pdf,http://www.imscdn.com/INDYCAR/Documents/5565/2019-05-18/indycar-results-quals-day1.pdf,r6_regime_extension/evidence/official_reports_v2/2019_5565_indycar-results-quals-day1.pdf,831356,DOWNLOADED
2019,5565,Qualifications - Day 1,Section Results,INDYCAR/Documents/5565/2019-05-18/indycar-sectionresults-quals-day1.pdf,http://www.imscdn.com/INDYCAR/Documents/5565/2019-05-18/indycar-sectionresults-quals-day1.pdf,r6_regime_extension/evidence/official_reports_v2/2019_5565_indycar-sectionresults-quals-day1.pdf,484107,DOWNLOADED
2019,5565,Qualifications - Day 1,Top Section Times,INDYCAR/Documents/5565/2019-05-18/indycar-topsectiontimes-quals-day1.pdf,http://www.imscdn.com/INDYCAR/Documents/5565/2019-05-18/indycar-topsectiontimes-quals-day1.pdf,r6_regime_extension/evidence/official_reports_v2/2019_5565_indycar-topsectiontimes-quals-day1.pdf,369040,DOWNLOADED
2025,6656,Qualifications - Day 1,Overall Results,INDYCAR/Documents/6656/2025-05-17/indycar-results-quals-day1.pdf,http://www.imscdn.com/INDYCAR/Documents/6656/2025-05-17/indycar-results-quals-day1.pdf,r6_regime_extension/evidence/official_reports_v2/2025_6656_indycar-results-quals-day1.pdf,914984,DOWNLOADED
2025,6656,Qualifications - Day 1,Results,INDYCAR/Documents/6656/2025-05-17/indycar-results-quals-day1.pdf,http://www.imscdn.com/INDYCAR/Documents/6656/2025-05-17/indycar-results-quals-day1.pdf,r6_regime_extension/evidence/official_reports_v2/2025_6656_indycar-results-quals-day1.pdf,914984,DOWNLOADED
2025,6656,Qualifications - Day 1,Section Results,INDYCAR/Documents/6656/2025-05-17/indycar-sectionresults-quals-day1.pdf,http://www.imscdn.com/INDYCAR/Documents/6656/2025-05-17/indycar-sectionresults-quals-day1.pdf,r6_regime_extension/evidence/official_reports_v2/2025_6656_indycar-sectionresults-quals-day1.pdf,1529456,DOWNLOADED
2025,6656,Qualifications - Day 1,Top Section Times,INDYCAR/Documents/6656/2025-05-17/indycar-topsectiontimes-quals-day1.pdf,http://www.imscdn.com/INDYCAR/Documents/6656/2025-05-17/indycar-topsectiontimes-quals-day1.pdf,r6_regime_extension/evidence/official_reports_v2/2025_6656_indycar-topsectiontimes-quals-day1.pdf,1160435,DOWNLOADED
2026,6835,Combined Qualifying,Overall Results,INDYCAR/Documents/5526/6835/indycar-results-quals-poleday.pdf,http://www.imscdn.com/INDYCAR/Documents/5526/6835/indycar-results-quals-poleday.pdf,r6_regime_extension/evidence/official_reports_v2/2026_6835_indycar-results-quals-poleday.pdf,596295,DOWNLOADED
2026,6835,Combined Qualifying,Results,INDYCAR/Documents/5526/6835/indycar-results-quals-poleday.pdf,http://www.imscdn.com/INDYCAR/Documents/5526/6835/indycar-results-quals-poleday.pdf,r6_regime_extension/evidence/official_reports_v2/2026_6835_indycar-results-quals-poleday.pdf,596295,DOWNLOADED
2026,6835,Combined Qualifying,Section Results,INDYCAR/Documents/5526/6835/indycar-sectionresults-quals-poleday.pdf,http://www.imscdn.com/INDYCAR/Documents/5526/6835/indycar-sectionresults-quals-poleday.pdf,r6_regime_extension/evidence/official_reports_v2/2026_6835_indycar-sectionresults-quals-poleday.pdf,473542,DOWNLOADED
2026,6835,Combined Qualifying,Top Section Times,INDYCAR/Documents/5526/6835/indycar-topsectiontimes-quals-poleday.pdf,http://www.imscdn.com/INDYCAR/Documents/5526/6835/indycar-topsectiontimes-quals-poleday.pdf,r6_regime_extension/evidence/official_reports_v2/2026_6835_indycar-topsectiontimes-quals-poleday.pdf,503014,DOWNLOADED
