year,analysis_file,root,car_number,record_index,history_start_index,history_end_index,lap1_s,lap2_s,lap3_s,lap4_s,fourlap_total_s,derived_speed_mph,flag1_count,candidate_start_ts,candidate_mid_ts,candidate_end_ts,candidate_start_utc,candidate_mid_utc,candidate_end_utc,candidate_mid_indianapolis,timestamp_quality,lap1_s_r,lap2_s_r,lap3_s_r,lap4_s_r,candidate_mid_r,timestamp_resolved,root_priority,candidate_id
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,39,0,1,4,39.4099,39.5814,39.7379,39.6911,158.4203,227.24360451280552,4,1558196920.427907,1558196999.638057,1558197078.848207,2019-05-18T16:28:40.427907+00:00,2019-05-18T16:29:59.638057+00:00,2019-05-18T16:31:18.848207+00:00,2019-05-18T12:29:59.638057-04:00,PARENT_END_DIRECT,39.4099,39.5814,39.7379,39.6911,1558196999.6,True,0,LEGACY_2019_39_12
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,20,0,0,3,40.5715,39.1257,39.2107,39.289,158.1969,227.56450979760032,4,1558192571.1971102,1558192650.2955601,1558192729.39401,2019-05-18T15:16:11.197110+00:00,2019-05-18T15:17:30.295560+00:00,2019-05-18T15:18:49.394010+00:00,2019-05-18T11:17:30.295560-04:00,PARENT_END_BACKCALC,40.5715,39.1257,39.2107,39.289,1558192650.3,True,0,LEGACY_2019_20_13
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,20,0,1,4,39.1257,39.2107,39.289,39.3404,156.9658,229.34932322837204,4,1558192611.76861,1558192690.25151,1558192768.73441,2019-05-18T15:16:51.768610+00:00,2019-05-18T15:18:10.251510+00:00,2019-05-18T15:19:28.734410+00:00,2019-05-18T11:18:10.251510-04:00,PARENT_END_DIRECT,39.1257,39.2107,39.289,39.3404,1558192690.3,True,0,LEGACY_2019_20_14
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,21,0,1,4,38.9948,39.1172,39.1649,39.1886,156.4655,230.08266998156145,4,1558192027.268142,1558192105.500892,1558192183.733642,2019-05-18T15:07:07.268142+00:00,2019-05-18T15:08:25.500892+00:00,2019-05-18T15:09:43.733642+00:00,2019-05-18T11:08:25.500892-04:00,PARENT_END_DIRECT,38.9948,39.1172,39.1649,39.1886,1558192105.5,True,0,LEGACY_2019_21_15
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,22,0,1,4,39.042,39.1539,39.1768,39.2483,156.621,229.85423410653743,4,1558196652.226107,1558196730.5366068,1558196808.847107,2019-05-18T16:24:12.226107+00:00,2019-05-18T16:25:30.536607+00:00,2019-05-18T16:26:48.847107+00:00,2019-05-18T12:25:30.536607-04:00,PARENT_END_DIRECT,39.042,39.1539,39.1768,39.2483,1558196730.5,True,0,LEGACY_2019_22_16
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,23,0,2,5,39.421,39.4892,39.4822,39.5611,157.9535,227.91517756808176,4,1558193775.783343,1558193854.760093,1558193933.736843,2019-05-18T15:36:15.783343+00:00,2019-05-18T15:37:34.760093+00:00,2019-05-18T15:38:53.736843+00:00,2019-05-18T11:37:34.760093-04:00,PARENT_END_DIRECT,39.421,39.4892,39.4822,39.5611,1558193854.8,True,0,LEGACY_2019_23_17
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,19,0,1,4,39.423,39.4593,39.5772,39.622,158.0815,227.73063261671984,4,1558195215.76386,1558195294.80461,1558195373.84536,2019-05-18T16:00:15.763860+00:00,2019-05-18T16:01:34.804610+00:00,2019-05-18T16:02:53.845360+00:00,2019-05-18T12:01:34.804610-04:00,PARENT_END_DIRECT,39.423,39.4593,39.5772,39.622,1558195294.8,True,0,LEGACY_2019_19_18
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,18,0,0,3,43.2298,39.1771,39.1713,39.6865,161.2647,223.23546318568165,4,1558192878.179266,1558192958.811616,1558193039.443966,2019-05-18T15:21:18.179266+00:00,2019-05-18T15:22:38.811616+00:00,2019-05-18T15:23:59.443966+00:00,2019-05-18T11:22:38.811616-04:00,PARENT_END_BACKCALC,43.2298,39.1771,39.1713,39.6865,1558192958.8,True,0,LEGACY_2019_18_19
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,18,0,1,4,39.1771,39.1713,39.6865,39.3078,157.3427,228.79993796979457,4,1558192921.409066,1558193000.080416,1558193078.751766,2019-05-18T15:22:01.409066+00:00,2019-05-18T15:23:20.080416+00:00,2019-05-18T15:24:38.751766+00:00,2019-05-18T11:23:20.080416-04:00,PARENT_END_DIRECT,39.1771,39.1713,39.6865,39.3078,1558193000.1,True,0,LEGACY_2019_18_20
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,30,0,0,3,41.7447,39.3392,39.4293,39.4969,160.0101,224.98579777151568,4,1558196304.4337862,1558196384.438836,1558196464.443886,2019-05-18T16:18:24.433786+00:00,2019-05-18T16:19:44.438836+00:00,2019-05-18T16:21:04.443886+00:00,2019-05-18T12:19:44.438836-04:00,PARENT_END_BACKCALC,41.7447,39.3392,39.4293,39.4969,1558196384.4,True,0,LEGACY_2019_30_21
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,30,0,1,4,39.3392,39.4293,39.4969,39.422,157.6874,228.29978806169677,4,1558196346.1784859,1558196425.0221858,1558196503.865886,2019-05-18T16:19:06.178486+00:00,2019-05-18T16:20:25.022186+00:00,2019-05-18T16:21:43.865886+00:00,2019-05-18T12:20:25.022186-04:00,PARENT_END_DIRECT,39.3392,39.4293,39.4969,39.422,1558196425.0,True,0,LEGACY_2019_30_22
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,33,0,1,4,39.259,39.4561,39.4936,39.497,157.7057,228.27329639955943,4,1558195801.1393461,1558195879.992196,1558195958.845046,2019-05-18T16:10:01.139346+00:00,2019-05-18T16:11:19.992196+00:00,2019-05-18T16:12:38.845046+00:00,2019-05-18T12:11:19.992196-04:00,PARENT_END_DIRECT,39.259,39.4561,39.4936,39.497,1558195880.0,True,0,LEGACY_2019_33_23
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,2,0,0,3,40.5748,39.1083,39.1758,39.1681,158.02700000000002,227.80917185037998,4,1558199226.586316,1558199305.599816,1558199384.613316,2019-05-18T17:07:06.586316+00:00,2019-05-18T17:08:25.599816+00:00,2019-05-18T17:09:44.613316+00:00,2019-05-18T13:08:25.599816-04:00,PARENT_END_BACKCALC,40.5748,39.1083,39.1758,39.1681,1558199305.6,True,0,LEGACY_2019_2_24
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,2,0,1,4,39.1083,39.1758,39.1681,39.2402,156.69240000000002,229.7494964656869,4,1558199267.1611161,1558199345.507316,1558199423.853516,2019-05-18T17:07:47.161116+00:00,2019-05-18T17:09:05.507316+00:00,2019-05-18T17:10:23.853516+00:00,2019-05-18T13:09:05.507316-04:00,PARENT_END_DIRECT,39.1083,39.1758,39.1681,39.2402,1558199345.5,True,0,LEGACY_2019_2_25
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,4,0,2,5,39.4579,39.5109,39.5662,39.5561,158.0911,227.7168037922438,4,1558207190.872086,1558207269.9176362,1558207348.963186,2019-05-18T19:19:50.872086+00:00,2019-05-18T19:21:09.917636+00:00,2019-05-18T19:22:28.963186+00:00,2019-05-18T15:21:09.917636-04:00,PARENT_END_DIRECT,39.4579,39.5109,39.5662,39.5561,1558207269.9,True,0,LEGACY_2019_4_26
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,7,0,0,3,40.7725,39.2987,39.4361,39.3971,158.9044,226.55131009588152,4,1558195490.5325239,1558195569.9847238,1558195649.436924,2019-05-18T16:04:50.532524+00:00,2019-05-18T16:06:09.984724+00:00,2019-05-18T16:07:29.436924+00:00,2019-05-18T12:06:09.984724-04:00,PARENT_END_BACKCALC,40.7725,39.2987,39.4361,39.3971,1558195570.0,True,0,LEGACY_2019_7_27
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,7,0,1,4,39.2987,39.4361,39.3971,39.4096,157.54149999999998,228.51121767915123,4,1558195531.305024,1558195610.075774,1558195688.846524,2019-05-18T16:05:31.305024+00:00,2019-05-18T16:06:50.075774+00:00,2019-05-18T16:08:08.846524+00:00,2019-05-18T12:06:50.075774-04:00,PARENT_END_DIRECT,39.2987,39.4361,39.3971,39.4096,1558195610.1,True,0,LEGACY_2019_7_28
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,48,0,3,6,39.3756,39.3756,39.4908,39.8213,158.0633,227.7568543741653,4,1558204736.115339,1558204815.146989,1558204894.178639,2019-05-18T18:38:56.115339+00:00,2019-05-18T18:40:15.146989+00:00,2019-05-18T18:41:34.178639+00:00,2019-05-18T14:40:15.146989-04:00,PARENT_END_BACKCALC,39.3756,39.3756,39.4908,39.8213,1558204815.1,True,0,LEGACY_2019_48_29
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,48,0,4,7,39.3756,39.4908,39.8213,39.7751,158.46280000000002,227.18265738078588,4,1558204775.490939,1558204854.722339,1558204933.953739,2019-05-18T18:39:35.490939+00:00,2019-05-18T18:40:54.722339+00:00,2019-05-18T18:42:13.953739+00:00,2019-05-18T14:40:54.722339-04:00,PARENT_END_DIRECT,39.3756,39.4908,39.8213,39.7751,1558204854.7,True,0,LEGACY_2019_48_30
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,12,0,2,5,39.0569,39.0969,39.1544,39.1584,156.4666,230.081052441863,4,1558194062.272881,1558194140.506181,1558194218.739481,2019-05-18T15:41:02.272881+00:00,2019-05-18T15:42:20.506181+00:00,2019-05-18T15:43:38.739481+00:00,2019-05-18T11:42:20.506181-04:00,PARENT_END_DIRECT,39.0569,39.0969,39.1544,39.1584,1558194140.5,True,0,LEGACY_2019_12_31
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,lap,10,0,4,7,39.518299999999996,39.5561,39.615,39.694,158.3834,227.29654749171945,4,1558214716.262412,1558214795.454112,1558214874.645812,2019-05-18T21:25:16.262412+00:00,2019-05-18T21:26:35.454112+00:00,2019-05-18T21:27:54.645812+00:00,2019-05-18T17:26:35.454112-04:00,PARENT_END_DIRECT,39.5183,39.5561,39.615,39.694,1558214795.5,True,0,LEGACY_2019_10_32
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,lap,15,0,1,4,39.753,41.3107,39.3761,39.4162,159.856,225.20268241417278,4,1558215985.271877,1558216065.199877,1558216145.127877,2019-05-18T21:46:25.271877+00:00,2019-05-18T21:47:45.199877+00:00,2019-05-18T21:49:05.127877+00:00,2019-05-18T17:47:45.199877-04:00,PARENT_END_BACKCALC,39.753,41.3107,39.3761,39.4162,1558216065.2,True,0,LEGACY_2019_15_33
