year,source_rank,car_number,driver_name,coverage_status
2018,1,3,"Castroneves, Helio",NO_TIMING_CAR
2018,2,20,"Carpenter, Ed",NO_TIMING_CAR
2018,3,22,"Pagenaud, Simon",NO_TIMING_CAR
2018,4,12,"Power, Will",NO_TIMING_CAR
2018,5,18,"Bourdais, Sebastien",MATCHED
2018,6,21,"Pigot, Spencer",NO_TIMING_CAR
2018,7,1,"Newgarden, Josef",NO_TIMING_CAR
2018,8,9,"Dixon, Scott",NO_TIMING_CAR
2018,9,13,"Patrick, Danica",MATCHED
2018,10,27,"Rossi, Alexander",NO_ACCEPTABLE_FINGERPRINT_MATCH
2018,11,14,"Kanaan, Tony",NO_TIMING_CAR
2018,12,4,"Leist, Matheus",MATCHED
2018,13,10,"Jones, Ed",NO_TIMING_CAR
2018,14,28,"Hunter-Reay, Ryan",NO_TIMING_CAR
2018,15,29,"Munoz, Carlos",NO_TIMING_CAR
2018,16,66,"Hildebrand, JR",MATCHED
2018,17,98,"Andretti, Marco",MATCHED
2018,18,7,"Howard, Jay",MATCHED
2018,19,24,"Karam, Sage",NO_TIMING_CAR
2018,20,6,"Wickens, Robert",NO_TIMING_CAR
2018,21,32,"Kaiser, Kyle",MATCHED
2018,22,25,"Wilson, Stefan",MATCHED
2018,23,88,"Chaves, Gabby",NO_TIMING_CAR
2018,24,26,"Veach, Zach",MATCHED
2018,25,23,"Kimball, Charlie",NO_TIMING_CAR
2018,26,19,"Claman De Melo,",NO_TIMING_CAR
2018,27,60,"ZacharyHarvey, Jack",NO_TIMING_CAR
2018,28,59,"Chilton, Max",MATCHED
2018,29,30,"Sato, Takuma",NO_TIMING_CAR
2018,30,15,"Rahal, Graham",NO_TIMING_CAR
2018,31,64,"Servia, Oriol",NO_TIMING_CAR
2018,32,17,"Daly, Conor",NO_ACCEPTABLE_FINGERPRINT_MATCH
2018,33,33,"Davison, James",NO_TIMING_CAR
2018,34,9,"Dixon, Scott",NO_TIMING_CAR
2018,35,28,"Hunter-Reay, Ryan",NO_TIMING_CAR
2018,37,27,"Rossi, Alexander",MATCHED
2018,38,60,"Harvey, Jack",NO_TIMING_CAR
2018,39,15,"Rahal, Graham",NO_TIMING_CAR
2018,40,5,"Hinchcliffe, James",NO_TIMING_CAR
2018,41,17,"Daly, Conor",NO_ACCEPTABLE_FINGERPRINT_MATCH
2018,42,63,"Mann, Pippa",NO_TIMING_CAR
2018,43,63,"Mann, Pippa",NO_TIMING_CAR
2018,44,63,"Mann, Pippa",NO_TIMING_CAR
2018,45,17,"Daly, Conor",MATCHED
2019,1,21,"Pigot, Spencer",MATCHED
2019,2,12,"Power, Will",MATCHED
2019,3,22,"Pagenaud, Simon",MATCHED
