year,file,page,line_no,clock_tokens,raw_line
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,23,8,10:56,"2 63 Mann, Pippa D/H/F 10:56.9118 2.422 9"
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,23,9,14:33,"3 64 Servia, Oriol D/H/F 14:33.4065 1.822 7"
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,23,10,18:29,"4 17 Daly, Conor D/H/F 18:29.0401 1.435 9"
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,23,11,19:38,"5 5 Hinchcliffe, James D/H/F 19:38.9855 0.133 4"
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,23,8,11:24,"2 42 King, Jordan (R) D/H/F 11:24.5240 2.324 1"
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,23,9,12:53,"3 32 Kaiser, Kyle D/C/F 12:53.3120 0.364 10"
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,23,10,15:20,"4 81 Hanley, Ben (R) D/C/F 15:20.0771 0.196 11"
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,23,11,18:42,"5 66 Alonso, Fernando D/C/F 18:42.8319 1.417 16"
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,23,12,19:21,"6 3 Castroneves, Helio D/C/F 19:21.2170 0.133 5"
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,23,13,20:38,"7 4 Leist, Matheus D/C/F 20:38.9212 0.329 5"
2025,2025_6656_indycar-topsectiontimes-quals-day1.pdf,40,11,08:28,"5 28 Ericsson, Marcus D/H/F 08:28.9185 0.387 10"
2025,2025_6656_indycar-topsectiontimes-quals-day1.pdf,40,12,09:57,"6 7 Lundgaard, Christian D/C/F 09:57.5080 0.106 5"
2025,2025_6656_indycar-topsectiontimes-quals-day1.pdf,40,13,10:30,"7 18 Veekay, Rinus D/H/F 10:30.5948 0.376 11"
2025,2025_6656_indycar-topsectiontimes-quals-day1.pdf,40,14,11:11,"8 77 Robb, Sting Ray D/C/F 11:11.2683 0.202 5"
2025,2025_6656_indycar-topsectiontimes-quals-day1.pdf,40,15,11:16,"9 75 Sato, Takuma D/H/F 11:16.4525 0.106 5"
2025,2025_6656_indycar-topsectiontimes-quals-day1.pdf,40,16,11:38,"10 12 Power, Will D/C/F 11:38.8048 0.201 11"
2025,2025_6656_indycar-topsectiontimes-quals-day1.pdf,40,17,12:45,"11 24 Harvey, Jack D/C/F 12:45.5795 0.085 5"
2025,2025_6656_indycar-topsectiontimes-quals-day1.pdf,40,18,13:05,"12 27 Kirkwood, Kyle D/H/F 13:05.4203 0.199 5"
2025,2025_6656_indycar-topsectiontimes-quals-day1.pdf,40,19,16:27,"13 20 Rossi, Alexander D/C/F 16:27.8289 0.347 11"
2025,2025_6656_indycar-topsectiontimes-quals-day1.pdf,40,20,17:01,"14 6 Siegel, Nolan (R) D/C/F 17:01.1269 0.135 5"
