year,file,page,line_no,drivers,clock_tokens,context
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,1,8,Carpenter,,"Section: Lap Length: 2.500000 mile(s) || Rank Car Driver C/E/T Time Speed Lap || 1 20 Carpenter, Ed D/C/F 00:39.2557 229.266 0 || 2 3 Castroneves, Helio D/C/F 00:39.2828 229.108 1 || 3 22 Pagenaud, Simon D/C/F 00:39.3977 228.440 1"
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,1,9,Castroneves,,"Rank Car Driver C/E/T Time Speed Lap || 1 20 Carpenter, Ed D/C/F 00:39.2557 229.266 0 || 2 3 Castroneves, Helio D/C/F 00:39.2828 229.108 1 || 3 22 Pagenaud, Simon D/C/F 00:39.3977 228.440 1 || 4 12 Power, Will D/C/F 00:39.4071 228.385 3"
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,1,11,Power,,"2 3 Castroneves, Helio D/C/F 00:39.2828 229.108 1 || 3 22 Pagenaud, Simon D/C/F 00:39.3977 228.440 1 || 4 12 Power, Will D/C/F 00:39.4071 228.385 3 || 5 18 Bourdais, Sebastien D/H/F 00:39.4156 228.336 0 || 6 21 Pigot, Spencer D/C/F 00:39.4239 228.288 1"
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,1,15,Rossi,,"6 21 Pigot, Spencer D/C/F 00:39.4239 228.288 1 || 7 1 Newgarden, Josef D/C/F 00:39.4263 228.274 0 || 8 27 Rossi, Alexander D/H/F 00:39.4294 228.256 5 || 9 9 Dixon, Scott D/H/F 00:39.4394 228.198 5 || 10 13 Patrick, Danica D/C/F 00:39.4684 228.031 0"
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,1,16,Dixon,,"7 1 Newgarden, Josef D/C/F 00:39.4263 228.274 0 || 8 27 Rossi, Alexander D/H/F 00:39.4294 228.256 5 || 9 9 Dixon, Scott D/H/F 00:39.4394 228.198 5 || 10 13 Patrick, Danica D/C/F 00:39.4684 228.031 0 || 11 4 Leist, Matheus (R) D/C/F 00:39.5120 227.779 0"
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,1,18,Leist,,"9 9 Dixon, Scott D/H/F 00:39.4394 228.198 5 || 10 13 Patrick, Danica D/C/F 00:39.4684 228.031 0 || 11 4 Leist, Matheus (R) D/C/F 00:39.5120 227.779 0 || 12 14 Kanaan, Tony D/C/F 00:39.5189 227.739 1 || 13 28 Hunter-Reay, Ryan D/H/F 00:39.5556 227.528 5"
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,1,20,Hunter-Reay,,"11 4 Leist, Matheus (R) D/C/F 00:39.5120 227.779 0 || 12 14 Kanaan, Tony D/C/F 00:39.5189 227.739 1 || 13 28 Hunter-Reay, Ryan D/H/F 00:39.5556 227.528 5 || 14 10 Jones, Ed D/H/F 00:39.5935 227.310 0 || 15 29 Munoz, Carlos D/H/F 00:39.6732 226.853 0"
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,1,23,Hildebrand,,"14 10 Jones, Ed D/H/F 00:39.5935 227.310 0 || 15 29 Munoz, Carlos D/H/F 00:39.6732 226.853 0 || 16 66 Hildebrand, JR D/C/F 00:39.6848 226.787 1 || 17 98 Andretti, Marco D/H/F 00:39.7218 226.576 0 || 18 26 Veach, Zach D/H/F 00:39.7337 226.508 0"
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,1,24,Andretti,,"15 29 Munoz, Carlos D/H/F 00:39.6732 226.853 0 || 16 66 Hildebrand, JR D/C/F 00:39.6848 226.787 1 || 17 98 Andretti, Marco D/H/F 00:39.7218 226.576 0 || 18 26 Veach, Zach D/H/F 00:39.7337 226.508 0 || 19 32 Kaiser, Kyle (R) D/C/F 00:39.7450 226.444 0"
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,1,25,Veach,,"16 66 Hildebrand, JR D/C/F 00:39.6848 226.787 1 || 17 98 Andretti, Marco D/H/F 00:39.7218 226.576 0 || 18 26 Veach, Zach D/H/F 00:39.7337 226.508 0 || 19 32 Kaiser, Kyle (R) D/C/F 00:39.7450 226.444 0 || 20 6 Wickens, Robert (R) D/H/F 00:39.7459 226.438 2"
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,1,29,Sato,,"20 6 Wickens, Robert (R) D/H/F 00:39.7459 226.438 2 || 21 23 Kimball, Charlie D/C/F 00:39.7501 226.415 0 || 22 30 Sato, Takuma D/H/F 00:39.7577 226.371 0 || 23 7 Howard, Jay D/H/F 00:39.7591 226.363 0 || 24 24 Karam, Sage D/C/F 00:39.7629 226.342 1"
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,1,31,Karam,,"22 30 Sato, Takuma D/H/F 00:39.7577 226.371 0 || 23 7 Howard, Jay D/H/F 00:39.7591 226.363 0 || 24 24 Karam, Sage D/C/F 00:39.7629 226.342 1 || 25 25 Wilson, Stefan D/H/F 00:39.7846 226.218 0 || 26 88 Chaves, Gabby D/C/F 00:39.7941 226.164 0"
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,1,34,Harvey,,"25 25 Wilson, Stefan D/H/F 00:39.7846 226.218 0 || 26 88 Chaves, Gabby D/C/F 00:39.7941 226.164 0 || 27 60 Harvey, Jack D/H/F 00:39.7996 226.133 5 || 28 19 Claman De Melo, Zachary (R) D/H/F 00:39.8091 226.079 0 || 29 59 Chilton, Max D/C/F 00:39.8524 225.833 1"
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,1,36,Chilton,,"27 60 Harvey, Jack D/H/F 00:39.7996 226.133 5 || 28 19 Claman De Melo, Zachary (R) D/H/F 00:39.8091 226.079 0 || 29 59 Chilton, Max D/C/F 00:39.8524 225.833 1 || 30 33 Davison, James D/C/F 00:39.9033 225.545 0 || 31 15 Rahal, Graham D/H/F 00:39.9082 225.518 3"
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,1,38,Rahal,,"29 59 Chilton, Max D/C/F 00:39.8524 225.833 1 || 30 33 Davison, James D/C/F 00:39.9033 225.545 0 || 31 15 Rahal, Graham D/H/F 00:39.9082 225.518 3 || 32 64 Servia, Oriol D/H/F 00:39.9216 225.442 8 || 33 5 Hinchcliffe, James D/H/F 00:39.9378 225.350 0"
