year,anchor_text,url,status,http_status,local_path,bytes,sha256,notes
2021,Open Test,https://doctorindy.com/wp-content/uploads/2021/05/2021-indycar-results-opentest3.pdf,FAILED,429,,,,429 Client Error: Too Many Requests for url: https://doctorindy.com/wp-content/uploads/2021/05/2021-indycar-results-opentest3.pdf
2021,Opening Day Practice – 1st session,https://doctorindy.com/wp-content/uploads/2021/05/2021-indycar-results-p1.pdf,FAILED,429,,,,429 Client Error: Too Many Requests for url: https://doctorindy.com/wp-content/uploads/2021/05/2021-indycar-results-p1.pdf
2021,Opening Day Practice – 2nd Session,https://doctorindy.com/wp-content/uploads/2021/05/2021-indycar-results-p2.pdf,FAILED,429,,,,429 Client Error: Too Many Requests for url: https://doctorindy.com/wp-content/uploads/2021/05/2021-indycar-results-p2.pdf
2021,Practice Day 2,https://doctorindy.com/wp-content/uploads/2021/05/2021-indycar-results-p3.pdf,FAILED,429,,,,429 Client Error: Too Many Requests for url: https://doctorindy.com/wp-content/uploads/2021/05/2021-indycar-results-p3.pdf
2021,Folds of Honor Practice Day,https://doctorindy.com/wp-content/uploads/2021/05/2021-indycar-results-p4.pdf,FAILED,429,,,,429 Client Error: Too Many Requests for url: https://doctorindy.com/wp-content/uploads/2021/05/2021-indycar-results-p4.pdf
2021,Fast Friday Practice,https://doctorindy.com/wp-content/uploads/2021/05/2021-indycar-results-p5.pdf,FAILED,429,,,,429 Client Error: Too Many Requests for url: https://doctorindy.com/wp-content/uploads/2021/05/2021-indycar-results-p5.pdf
2021,Carb Day Practice,https://doctorindy.com/wp-content/uploads/2021/05/2021-indycar-results-carb-pf.pdf,FAILED,429,,,,429 Client Error: Too Many Requests for url: https://doctorindy.com/wp-content/uploads/2021/05/2021-indycar-results-carb-pf.pdf
2021,Combined Practice Results,https://doctorindy.com/wp-content/uploads/2021/05/2021-indycar-results-carb-pcomb-pf.pdf,FAILED,429,,,,429 Client Error: Too Many Requests for url: https://doctorindy.com/wp-content/uploads/2021/05/2021-indycar-results-carb-pcomb-pf.pdf
2024,Race Top Section Results,https://doctorindy.com/wp-content/uploads/2024/04/indycar-topsectiontimes-race-05-26-2024.pdf,FAILED,429,,,,429 Client Error: Too Many Requests for url: https://doctorindy.com/wp-content/uploads/2024/04/indycar-topsectiontimes-race-05-26-2024.pdf
2024,Friday 5/17/2024: Qualifying Draw Order,https://doctorindy.com/wp-content/uploads/2024/04/indycar-qualorder-2024Indy500.pdf,FAILED,429,,,,429 Client Error: Too Many Requests for url: https://doctorindy.com/wp-content/uploads/2024/04/indycar-qualorder-2024Indy500.pdf
2024,Saturday 5/18/2024: Morning Practice,https://doctorindy.com/wp-content/uploads/2024/04/indycar-results-p6-05-18-2024-morn.pdf,FAILED,429,,,,429 Client Error: Too Many Requests for url: https://doctorindy.com/wp-content/uploads/2024/04/indycar-results-p6-05-18-2024-morn.pdf
2024,Saturday 5/18/2024: Time Trials – Day 1,https://doctorindy.com/wp-content/uploads/2024/04/indycar-results-quals-day1-05-18-2024.pdf,DOWNLOADED,200,weather/evidence/downloads/2024/indycar-results-quals-day1-05-18-2024.pdf,899358,088f2c2ad775b0e84d029f5e0a48a0a35a6de907c179c0ce5eca6c635810a700,
2024,Sunday 5/19/2024: Morning Practice,https://doctorindy.com/wp-content/uploads/2024/04/indycar-results-p7-05-19-2024.pdf,FAILED,429,,,,429 Client Error: Too Many Requests for url: https://doctorindy.com/wp-content/uploads/2024/04/indycar-results-p7-05-19-2024.pdf
2024,Sunday 5/19/2024: Top 12 Qualifying,https://doctorindy.com/wp-content/uploads/2024/04/indycar-results-quals-poleday-05-19-2024-sun.pdf,FAILED,429,,,,429 Client Error: Too Many Requests for url: https://doctorindy.com/wp-content/uploads/2024/04/indycar-results-quals-poleday-05-19-2024-sun.pdf
2024,Sunday 5/19/2024: Last Chance Qualifying,https://doctorindy.com/wp-content/uploads/2024/04/indycar-results-quals-poleday-lastchance-05-19-2024-sun.pdf,FAILED,429,,,,429 Client Error: Too Many Requests for url: https://doctorindy.com/wp-content/uploads/2024/04/indycar-results-quals-poleday-lastchance-05-19-2024-sun.pdf
2024,Sunday 5/19/2024: Firestone Fast Six Qualifying,https://doctorindy.com/wp-content/uploads/2024/04/indycar-results-quals-poleday-fast6-05-19-2024-sun.pdf,FAILED,429,,,,429 Client Error: Too Many Requests for url: https://doctorindy.com/wp-content/uploads/2024/04/indycar-results-quals-poleday-fast6-05-19-2024-sun.pdf
2024,Monday 5/20/2024: Post-Qualifying Practice,https://doctorindy.com/wp-content/uploads/2024/04/indycar-results-p8-05-20-2024.pdf,FAILED,429,,,,429 Client Error: Too Many Requests for url: https://doctorindy.com/wp-content/uploads/2024/04/indycar-results-p8-05-20-2024.pdf
2024,Race Section Results,https://doctorindy.com/wp-content/uploads/2024/04/indycar-sectionresults-race-05-26-2024.pdf,FAILED,429,,,,429 Client Error: Too Many Requests for url: https://doctorindy.com/wp-content/uploads/2024/04/indycar-sectionresults-race-05-26-2024.pdf
2024,Wednesday 4/10/2024,https://doctorindy.com/wp-content/uploads/2024/04/04-10-2024-indycar-results-pcomb-p2.pdf,FAILED,429,,,,429 Client Error: Too Many Requests for url: https://doctorindy.com/wp-content/uploads/2024/04/04-10-2024-indycar-results-pcomb-p2.pdf
2024,Schedule,https://doctorindy.com/wp-content/uploads/2024/04/indycar-weekendschedule-V1-500QR24-2024.pdf,FAILED,429,,,,429 Client Error: Too Many Requests for url: https://doctorindy.com/wp-content/uploads/2024/04/indycar-weekendschedule-V1-500QR24-2024.pdf
2024,Tuesday 5/14/2024: Opening Day Practice,https://doctorindy.com/wp-content/uploads/2024/04/indycar-results-p1-05-14-2024.pdf,FAILED,429,,,,429 Client Error: Too Many Requests for url: https://doctorindy.com/wp-content/uploads/2024/04/indycar-results-p1-05-14-2024.pdf
2024,Wednesday 5/15/2024: Practice,https://doctorindy.com/wp-content/uploads/2024/04/indycar-results-p3-05-15-2024.pdf,FAILED,429,,,,429 Client Error: Too Many Requests for url: https://doctorindy.com/wp-content/uploads/2024/04/indycar-results-p3-05-15-2024.pdf
2024,Thursday 5/16/2024: Practice,https://doctorindy.com/wp-content/uploads/2024/04/indycar-results-p4-05-16-2024.pdf,FAILED,429,,,,429 Client Error: Too Many Requests for url: https://doctorindy.com/wp-content/uploads/2024/04/indycar-results-p4-05-16-2024.pdf
2024,Friday 5/17/2024: Fast Friday Practice,https://doctorindy.com/wp-content/uploads/2024/04/indycar-results-p5-05-17-2024.pdf,FAILED,429,,,,429 Client Error: Too Many Requests for url: https://doctorindy.com/wp-content/uploads/2024/04/indycar-results-p5-05-17-2024.pdf
2024,Qualifying Procedure,https://doctorindy.com/wp-content/uploads/2024/04/indycar-qual-explainer-2024Indy500.pdf,FAILED,429,,,,429 Client Error: Too Many Requests for url: https://doctorindy.com/wp-content/uploads/2024/04/indycar-qual-explainer-2024Indy500.pdf
2024,Friday 5/24/2024: Carb Day Practice,https://doctorindy.com/wp-content/uploads/2024/04/indycar-results-pf-05-24-2024.pdf,FAILED,429,,,,429 Client Error: Too Many Requests for url: https://doctorindy.com/wp-content/uploads/2024/04/indycar-results-pf-05-24-2024.pdf
2024,Combined Practice Results,https://doctorindy.com/wp-content/uploads/2024/04/indycar-results-pcomb-pf-05-25-2024.pdf,FAILED,429,,,,429 Client Error: Too Many Requests for url: https://doctorindy.com/wp-content/uploads/2024/04/indycar-results-pcomb-pf-05-25-2024.pdf
2024,Sunday 5/26/2024: Race Results – Lap 200,https://doctorindy.com/wp-content/uploads/2024/04/indycar-officialraceresults-05-26-2024.pdf,FAILED,429,,,,429 Client Error: Too Many Requests for url: https://doctorindy.com/wp-content/uploads/2024/04/indycar-officialraceresults-05-26-2024.pdf
