anchor_text,url,domain,file_type,relevance_score,matched_keywords
2025 Indy GP Race,https://ptscin.com/wp-content/uploads/2025/06/2025-Indy-GP-Race.png,ptscin.com,PAGE_OR_OTHER,1,indy
2026 Indy GP Qualifying,https://ptscin.com/wp-content/uploads/2026/05/2026-Indy-GP-Quals-1.png,ptscin.com,PAGE_OR_OTHER,1,indy
2026 Indy GP Race,https://ptscin.com/wp-content/uploads/2026/05/2026-Indy-GP-Race-1.png,ptscin.com,PAGE_OR_OTHER,1,indy
livetiming.net/firestone,http://livetiming.net/firestone,livetiming.net,PAGE_OR_OTHER,1,firestone
,https://ptscin.com,ptscin.com,PAGE_OR_OTHER,0,
2014 Barber Qualifying,https://ptscin.com/wp-content/uploads/2025/06/2014-Barber-Quals.png,ptscin.com,PAGE_OR_OTHER,0,
2014 Barber Race,https://ptscin.com/wp-content/uploads/2025/06/2014-Barber-Race.png,ptscin.com,PAGE_OR_OTHER,0,
2014 Detroit Group 1 Qualifying 2,https://ptscin.com/wp-content/uploads/2025/06/Detroit-Qual2-Grp1.png,ptscin.com,PAGE_OR_OTHER,0,
2014 Detroit Group 2 Qualifying 2,https://ptscin.com/wp-content/uploads/2025/06/Detroit-Qual2-Grp2.png,ptscin.com,PAGE_OR_OTHER,0,
2014 Detroit Qualifying 1,https://ptscin.com/wp-content/uploads/2025/06/Detroit-Qual1.bmp,ptscin.com,PAGE_OR_OTHER,0,
2014 Detroit Race 1,https://ptscin.com/wp-content/uploads/2025/06/2014-Chevy-Dual-in-Detroit-Race-1-Chart.png,ptscin.com,PAGE_OR_OTHER,0,
2014 Detroit Race 2,https://ptscin.com/wp-content/uploads/2025/06/2014-Chevy-Dual-in-Detroit-Race-2-Chart.png,ptscin.com,PAGE_OR_OTHER,0,
2014 Houston Group 1 Qualifying 2,https://ptscin.com/wp-content/uploads/2025/06/GP-HOUSTON-RACE-2-Qualifying-Chart-Grp1.png,ptscin.com,PAGE_OR_OTHER,0,
2014 Houston Group 2 Qualifying 2,https://ptscin.com/wp-content/uploads/2025/06/GP-HOUSTON-RACE-2-Qualifying-Chart-Grp2.png,ptscin.com,PAGE_OR_OTHER,0,
2014 Houston Qualifying 1,https://ptscin.com/wp-content/uploads/2025/06/GP-HOUSTON-RACE-1-Qualifying-Chart.png,ptscin.com,PAGE_OR_OTHER,0,
2014 Houston Race 1,https://ptscin.com/wp-content/uploads/2025/06/GP-HOUSTON-RACE-1-Tire-Chart.png,ptscin.com,PAGE_OR_OTHER,0,
2014 Houston Race 2,https://ptscin.com/wp-content/uploads/2025/06/GP-HOUSTON-RACE-2-Tire-Chart.png,ptscin.com,PAGE_OR_OTHER,0,
2014 Long Beach Qualifying,https://ptscin.com/wp-content/uploads/2025/06/Long-Beach-Quals-1.png,ptscin.com,PAGE_OR_OTHER,0,
2014 Long Beach Race,https://ptscin.com/wp-content/uploads/2025/06/Toyota-GP-of-Long-Beach-Race.png,ptscin.com,PAGE_OR_OTHER,0,
2014 Mid-Ohio Race,https://ptscin.com/wp-content/uploads/2025/06/Mid-Ohio-2014-Tire-Chart.png,ptscin.com,PAGE_OR_OTHER,0,
2014 Sonoma Qualifying,https://ptscin.com/wp-content/uploads/2025/06/Sonoma-Qualifying-1.png,ptscin.com,PAGE_OR_OTHER,0,
