year,source_domain,page_title,url,matched_keywords,temperature_values,time_values,matched_sentence,raw_text_path,review_status,notes
2022,www.indycar.com,Paddock Buzz: Sato Sneaks into Fast 12 after Eventful Day,https://www.indycar.com/news/2022/05/05-21-buzz,weather,,1:00 PM ET; 6:00 PM ET; 2:30 PM ET,"Paddock Buzz: Sato Sneaks into Fast 12 after Eventful Day Skip to Main Content 2026 Schedule How to Follow Add to Calendar Download 2026 Schedule INDY NXT Schedule Previous Races Aug 30 1:00 PM ET Snap-on Milwaukee Mile 250 Milwaukee Mile West Allis, Wisconsin 2026 Winner Pato O'Ward 2026 Winner Pato O'Ward (R2) Race Recap Aug 30 6:00 PM ET Snap-on Makers and Fixers 250 Milwaukee Mile West Allis, Wisconsin 2026 Winner Pato O'Ward 2026 Winner Pato O'Ward (R1) Race Recap Sep 6 2:30 PM ET Mission Foods Grand Prix of Monterey WeatherTech Raceway Laguna Seca Monterey, California 2026 Winner Scott McLaughlin 2026 Winner Scott McLaughlin Race Recap Close Menu Toggle Menu Schedule 2026 Schedule How to Follow Add to Calendar Download 2026 Schedule INDY NXT Schedule Results Results By Race Results By Driver Results By Season Standings Championship NTT P1 Award Rookie of the Year Firestone Pit Stop Performance Engine Manufacturer Fan Central How to Follow INDYCAR App INDYCAR Radio Photo Galleries Fantasy Racing Chrome Web Extension INDYCAR Nation INDYCAR 101 INDYCAR 101 Home Meet the IR-28 The Basics What Makes INDYCAR Different?",weather/evidence/raw_pages/2022_www.indycar.com_news_2022_05_05-21-buzz.txt,UNREVIEWED,
2022,www.indycar.com,Paddock Buzz: Sato Sneaks into Fast 12 after Eventful Day,https://www.indycar.com/news/2022/05/05-21-buzz,track temperature; track temp,85,,The track temperature was 85 degrees when qualifying opened at 11 a.m.,weather/evidence/raw_pages/2022_www.indycar.com_news_2022_05_05-21-buzz.txt,UNREVIEWED,
2024,www.indycar.com,Paddock Buzz: VeeKay Dazzles with Late Dash into Top 12,https://www.indycar.com/news/2024/05/05-18-buzz,weather,,1:00 PM ET; 6:00 PM ET; 2:30 PM ET,"Paddock Buzz: VeeKay Dazzles with Late Dash into Top 12 Skip to Main Content 2026 Schedule How to Follow Add to Calendar Download 2026 Schedule INDY NXT Schedule Previous Races Aug 30 1:00 PM ET Snap-on Milwaukee Mile 250 Milwaukee Mile West Allis, Wisconsin 2026 Winner Pato O'Ward 2026 Winner Pato O'Ward (R2) Race Recap Aug 30 6:00 PM ET Snap-on Makers and Fixers 250 Milwaukee Mile West Allis, Wisconsin 2026 Winner Pato O'Ward 2026 Winner Pato O'Ward (R1) Race Recap Sep 6 2:30 PM ET Mission Foods Grand Prix of Monterey WeatherTech Raceway Laguna Seca Monterey, California 2026 Winner Scott McLaughlin 2026 Winner Scott McLaughlin Race Recap Close Menu Toggle Menu Schedule 2026 Schedule How to Follow Add to Calendar Download 2026 Schedule INDY NXT Schedule Results Results By Race Results By Driver Results By Season Standings Championship NTT P1 Award Rookie of the Year Firestone Pit Stop Performance Engine Manufacturer Fan Central How to Follow INDYCAR App INDYCAR Radio Photo Galleries Fantasy Racing Chrome Web Extension INDYCAR Nation INDYCAR 101 INDYCAR 101 Home Meet the IR-28 The Basics What Makes INDYCAR Different?",weather/evidence/raw_pages/2024_www.indycar.com_news_2024_05_05-18-buzz.txt,UNREVIEWED,
