year,source_line_no,source_rank,car_number,driver_name,cet,lap1_s,lap2_s,lap3_s,lap4_s,total_time,average_speed_mph,status,tail_raw,raw_line,timed_lap_count,complete_four_lap,zero_lap,partial_attempt,car_key,driver_key,entrant_key,record_index_for_entrant,records_for_entrant,complete_attempts_for_entrant,has_repeat_complete_attempt,chronology_verified,source_order_semantics
2019,45,40,66,"Alonso, Fernando",D/C/F,39.4738,39.6072,39.6613,39.6916,02:38.4339,227.224,Bumped,Day 1 Bumped,"40 66 Alonso, Fernando D/C/F 39.4738 39.6072 39.6613 39.6916 02:38.4339 227.224 Day 1 Bumped",4,True,False,False,66,alonsofernando,alonsofernando__66,1,5,4,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
2019,52,47,66,"Alonso, Fernando",D/C/F,39.51,39.5596,39.7772,39.7435,02:38.5903,227.0,Bumped,Day 1 Bumped,"47 66 Alonso, Fernando D/C/F 39.5100 39.5596 39.7772 39.7435 02:38.5903 227.000 Day 1 Bumped",4,True,False,False,66,alonsofernando,alonsofernando__66,2,5,4,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
2019,67,62,66,"Alonso, Fernando",D/C/F,39.3935,39.7859,40.249,0.0,01:59.4284,226.077,Waved Off,Day 1 Waved Off,"62 66 Alonso, Fernando D/C/F 39.3935 39.7859 40.2490 0.0000 01:59.4284 226.077 Day 1 Waved Off",3,False,False,True,66,alonsofernando,alonsofernando__66,3,5,4,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
2019,74,69,66,"Alonso, Fernando",D/C/F,39.6527,39.9934,40.0639,40.21,02:39.9200,225.113,Bumped,Day 1 Bumped,"69 66 Alonso, Fernando D/C/F 39.6527 39.9934 40.0639 40.2100 02:39.9200 225.113 Day 1 Bumped",4,True,False,False,66,alonsofernando,alonsofernando__66,4,5,4,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
2019,75,70,66,"Alonso, Fernando",D/C/F,39.6191,39.6813,39.7358,41.3816,02:40.4178,224.414,Failed Attempt,Day 1 Failed Attempt,"70 66 Alonso, Fernando D/C/F 39.6191 39.6813 39.7358 41.3816 02:40.4178 224.414 Day 1 Failed Attempt",4,True,False,False,66,alonsofernando,alonsofernando__66,5,5,4,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
2019,17,12,3,"Castroneves, Helio",D/C/F,39.2083,39.3775,39.46,39.4879,02:37.5337,228.523,VALID_OR_UNLABELED,Day 1,"12 3 Castroneves, Helio D/C/F 39.2083 39.3775 39.4600 39.4879 02:37.5337 228.523 Day 1",4,True,False,False,3,castroneveshelio,castroneveshelio__3,1,2,2,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
2019,40,35,3,"Castroneves, Helio",D/C/F,39.3339,39.4492,39.4705,39.5304,02:37.7840,228.16,Failed Attempt,Day 1 Failed Attempt,"35 3 Castroneves, Helio D/C/F 39.3339 39.4492 39.4705 39.5304 02:37.7840 228.160 Day 1 Failed Attempt",4,True,False,False,3,castroneveshelio,castroneveshelio__3,2,2,2,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
2019,55,50,59,"Chilton, Max",D/C/F,39.5426,39.6306,39.7471,39.716,02:38.6363,226.934,Withdrawn,Day 1 Withdrawn,"50 59 Chilton, Max D/C/F 39.5426 39.6306 39.7471 39.7160 02:38.6363 226.934 Day 1 Withdrawn",4,True,False,False,59,chiltonmax,chiltonmax__59,1,3,3,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
2019,64,59,59,"Chilton, Max",D/C/F,39.6466,39.7373,39.799,39.86,02:39.0429,226.354,Failed Attempt,Day 1 Failed Attempt,"59 59 Chilton, Max D/C/F 39.6466 39.7373 39.7990 39.8600 02:39.0429 226.354 Day 1 Failed Attempt",4,True,False,False,59,chiltonmax,chiltonmax__59,2,3,3,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
2019,65,60,59,"Chilton, Max",D/C/F,39.6954,39.7075,39.7335,39.9297,02:39.0661,226.321,Failed Attempt,Day 1 Failed Attempt,"60 59 Chilton, Max D/C/F 39.6954 39.7075 39.7335 39.9297 02:39.0661 226.321 Day 1 Failed Attempt",4,True,False,False,59,chiltonmax,chiltonmax__59,3,3,3,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
