check_id,year,entity_type,severity,pass_fail,affected_count,reason,affected_identifiers
ATTEMPT_UUID_UNIQUE,ALL,ATTEMPT,BLOCKING,PASS,0,Canonical attempt UUIDs must be unique,
CLASS_A_EXACTLY_FOUR_LAPS,ALL,ATTEMPT,BLOCKING,PASS,0,Class A must have exactly four complete qualifying laps,
NO_ZERO_FILLED_LAPS,ALL,LAP,BLOCKING,PASS,0,Missing laps are omitted rather than zero-filled,
SECTION_RECONSTRUCTION_WITHIN_FROZEN_TOLERANCE,ALL,LAP,BLOCKING,PASS,0,Only section groups passing the format-specific rule may create reconstructed laps,
PARTIAL_SECTION_OBSERVATIONS_PRESERVED,ALL,SECTION,INFO,PASS,31,Partial official source-report laps remain section evidence and do not create complete laps,d8f3d4d6-6f33-5dbd-80ed-75cd29056b63:source_lap=7|f0b1cd27-f6b6-51e1-b91c-159cdeca670d:source_lap=11|59dbbaed-31a4-576f-ae4e-a507faf360c3:source_lap=7|63886d30-e3e7-575f-a896-d317da3b03c2:source_lap=7|45b8b79d-e1a3-5be5-b9f2-04f6fe36320c:source_lap=11|eda9cf9f-a821-5b18-9ef9-84f838678dfc:source_lap=8|fe1f030c-0baa-54f3-8c55-6ad8fd58f371:source_lap=9|49fbc16c-9d6c-5076-a96b-2b64ebe2bbac:source_lap=8|a453921d-72c6-5030-aea8-b3500366bce1:source_lap=14|f72a4ad2-cc9e-5aae-a17b-6afc989208f3:source_lap=19|dd861da8-2808-5250-a9ca-b0d6cd1a136f:source_lap=8|6022e0ee-320a-5cc2-9a1f-de9ee4552b64:source_lap=8|39b9e374-3daa-551c-8478-eb7d1f44f74e:source_lap=8|c4594c6a-a280-5ab3-865f-7da469cc26fa:source_lap=8|9f01c29b-9065-53ec-8e2f-27c95ba69f0a:source_lap=7|9ef8122c-6313-510b-9d16-813050842537:source_lap=8|ce3385d5-652c-5485-8ae9-aa95231574ad:source_lap=4|bb599e9f-cbdc-5c79-9791-ce325ef01086:source_lap=2|100ef01c-38fa-59f4-a91f-a9a703ed7d2c:source_lap=6|bc323143-126d-5650-815e-a8a6635437b3:source_lap=13|c3b3df7f-41cc-5c26-b09e-ec23b8860365:source_lap=4|800cac62-19f0-5021-a1f2-0f648d96ff75:source_lap=4|b00ea2c4-0065-5682-8f57-f58c18792485:source_lap=4|173091e2-e51e-57a9-abe8-450b15b29a25:source_lap=4|1af8c8bf-f788-56f3-81be-80e9e6e4c1af:source_lap=4|b8ca157e-4b17-5bdb-9141-e069ade27377:source_lap=4|61d8f402-6fb4-5481-a6db-c58bf162a7ed:source_lap=4|bb305266-c60f-5f5b-b658-92109cb4b844:source_lap=4|4f126848-0ee3-52a0-a894-8fff915b81c2:source_lap=4|7081f00a-f41a-5e96-9687-e9390599c81b:source_lap=4|25c1b067-a56b-5a78-83c8-504169b5fe90:source_lap=4
FAILED_SECTION_CANDIDATES_DISABLED,ALL,SECTION,WARNING,PASS,36,Complete candidates outside the frozen tolerance remain preserved but unreconstructed,023498ed-8531-5851-92d7-648da1ee81d8:source_lap=7|e08cf8c7-c355-5562-a554-bc9115dc6cde|22ef35a6-a32f-5566-90ed-bfd3b7da6328|4a8c5ef8-d767-5c3d-a162-b390803e5809|18b0bf8c-510a-558b-8517-345929fce7a1|71ab56a8-42e8-5728-ad4a-cabb4e237fbb|39afff59-9e6d-5f24-b1ba-103e3aff4217|1407fa25-1016-5162-822b-850a97ce43d9:source_lap=2|0e4b80ca-a5c4-5ee8-989c-a331a8ec58c3|3fd999c1-4637-5ee4-8d68-c3732b67d1c4|e2a0566a-4feb-5220-98c5-33727e3640f1:source_lap=1|e2a0566a-4feb-5220-98c5-33727e3640f1:source_lap=2|bbe9e755-eea6-5922-ae30-83baee48ac62|c5b1dbf4-3e6d-5eb8-9fc8-cf64b4cbbcc5|cd818af5-4efb-59a4-918b-3e6f4cbb30d5|81101133-0b83-5e00-a124-88c672441658|9a55bce8-3d74-5695-9352-e5ca5d453bdc|fe477b73-e383-51ae-8bf4-c143e1ecd409|ba6d61dd-c7b7-563a-9472-0c7313beb229|0e423366-5519-54b4-96f2-38a8c8501789|6614d9ce-2361-555f-9643-4a693cc0dac9|67b947aa-b98f-5489-90f5-f2630c0200f9|218dca12-46e6-52f4-8e7d-6a4999a568dc|b9a5a8b7-2e1e-5d0b-8a00-11b451207c0d|b3bd7fcb-3ec5-59c5-9c55-d93bd1db86bb|6c2b2eac-8365-5cf4-a53f-472521160bdd|4afcc3ba-9bc7-5dcc-8489-1b241ce8f2ae|da382ef1-8a14-55c3-9fcd-4129d8dddf01:source_lap=1|da382ef1-8a14-55c3-9fcd-4129d8dddf01:source_lap=3|97c22da4-8dd0-594c-a462-98b4f6e4b57e|95af879b-eb1f-55c6-b9f1-ac33e165017b|cb462fa0-97aa-5139-9c89-21e2b2588ed9|19202474-187d-5fb8-a2c4-16a9b00e1f52|b93c0584-f5a1-50e1-a5ea-5c5939908b7e|51b88b85-4d6b-5873-bd25-7cc2f5057e0a|c602d018-95f8-5b8f-90c5-aa43fbb8e417
EVIDENCE_SOURCE_FOREIGN_KEYS,ALL,EVIDENCE,BLOCKING,PASS,0,Every evidence item references a registered source,
DERIVED_LINEAGE_COMPLETE,ALL,PROVENANCE,BLOCKING,PASS,0,Derived values require null direct evidence and reproducible lineage,
DIRECT_RECONSTRUCTED_MANUAL_EVIDENCE_PRESENT,ALL,PROVENANCE,BLOCKING,PASS,0,Observed reconstructed and manual assertions require real registered evidence,
RECONSTRUCTED_MANUAL_RULE_PRESENT,ALL,PROVENANCE,BLOCKING,PASS,0,Reconstructed and manual assertions require a versioned rule,
