year,check_id,check_pass,affected_count,reason_code,affected_identifiers
2022,KNOWN_OFFICIAL_ATTEMPTS_DISPOSITIONED,false,44,OFFICIAL_ATTEMPTS_WITHOUT_MATCHED_CHRONOLOGY,cef4544c-d721-54eb-bf70-ce8535756a5e|e2318f1b-020c-5e41-abb3-2159a17b3a27|8c6dd650-69c2-52af-8840-a92c88cb517e|e10faf3a-59f8-5528-9a9b-1ea63c1322c9|a21e6e46-405e-5d8b-933f-63c35adeec21|98dc390f-b38c-5384-b51e-9f479c8859a6|db54aa3f-0c36-5472-94f1-5c4555dd1a53|6bdde501-b1fc-5382-8f09-3918fb5aa07e|a49549a1-2253-5bd5-9923-b0b7fdbb20d7|ed8e8f45-6cb1-51cb-a3a7-3aa60a373517|e614cc7e-1b9a-5642-8a8c-06eb73a962a5|21e8c99e-b04c-516d-85a8-ccfbaed7ff46|85c917fa-1c7a-52cb-a47f-468b4bdae9a5|83034975-303c-57b1-9190-95bc705d3941|50c1a7df-b227-5216-ba4d-c391ee794a68|782b5ff7-fb2c-5c01-9209-dfd3f4cb289b|0ac03a4b-263a-56b8-bf3f-4996c2968118|f63416c8-d69c-5ec9-b8bc-1a26aae11c44|8fa25fec-e5a6-5844-b3d7-f67c9dc91378|b3147013-0fda-5982-bea1-85788019ef89|49123354-e908-58a8-a865-3e57e6184f5c|2c453335-3a19-5653-8d5c-79d94db93028|63982b5e-7639-5140-a6a2-702a77c2fc85|c8097625-d9cf-5926-bba2-649d12e5c0e0|784d352d-2b04-566e-8aef-19317c10d0fa|43d9c081-67f5-5d6f-8b48-9db0ac683a6c|90eea27e-6e83-5e24-8428-811eae3ff157|ee83729a-9032-52de-886d-f56814a402d2|ce3385d5-652c-5485-8ae9-aa95231574ad|bb599e9f-cbdc-5c79-9791-ce325ef01086|b1fff6ff-974e-5d54-b847-db825d74fd15|488dda2c-a88d-5f03-95ca-3decb53cd2c9|3f221659-74ff-5901-97dc-08071a734690|d2ae8749-6312-5afd-b193-dd23dc071124|1e2facfd-2c67-5b5a-9556-04ef28eeb0d8|619575d3-e7eb-5cce-886f-0a8485b98eba|3cd6d98a-da75-5822-8dae-05e83ad8457c|8e0c8731-4ddc-515a-949e-7902dd01eaeb|c044edbc-0f6c-5aab-bdef-9c4156b50617|01896a4f-c482-5093-a806-89bc4273641d|88fe3936-d77d-5a12-bdd7-0104979729da|a395f440-40c9-5b57-82bb-b5353a862b0f|f2811627-1280-5eea-845c-6057e526aaea|4778bf12-3fb5-5321-b4ae-9dc2f0880c25
2022,NO_DUPLICATE_CANONICAL_ATTEMPT,true,0,DUPLICATE_ATTEMPT_ID,
2022,NO_WITHIN_CAR_ORDER_CONFLICT,true,0,DUPLICATE_ATTEMPT_KEY,
2022,NO_CRITICAL_TIMESTAMP_CONFLICT,true,0,,
2022,NO_UNEXPLAINED_REPLAY_ONLY_ATTEMPT,true,0,,
2022,NO_UNRESOLVED_CORE_WINDOW_GAP,true,0,,
2022,SOURCE_CONFLICTS_EXPLICIT,true,0,,
2023,KNOWN_OFFICIAL_ATTEMPTS_DISPOSITIONED,false,85,OFFICIAL_ATTEMPTS_WITHOUT_MATCHED_CHRONOLOGY,f684d582-76d7-5411-83d0-39af174901c3|14c2e6a1-d204-5d45-adf6-473781a78254|096ff05c-1785-53cf-be2f-65bbb6ce7cd1|5d48192b-5510-5e99-b8c1-6f8dbd074ad7|3a0bcd66-fa08-5944-bf0b-5ec6c5a10f91|d1af19f4-254b-5058-b545-543906d4584e|dd0ff96a-0d57-5ba5-8691-ebf2359edec4|86528548-acb2-5972-a3cd-583a1a3f0514|cda49858-f649-523a-85fb-8d53847f80bf|79d389ee-b055-582a-8985-c09472aa4d69|5ff6581d-9433-56e7-89ca-1cba397b1eb5|6913fe23-0965-51fa-8577-ee1007d0f88d|55035890-97e8-57a3-a2e1-4845f4b05eb9|d208b8e3-e26b-5e24-9235-a7bc3437ab10|970e09d9-9783-53a2-ac70-f2117bee1d09|6ac7f239-a4c8-58cb-b816-ca8512d9e76b|100ef01c-38fa-59f4-a91f-a9a703ed7d2c|c86d0077-2b68-5d21-8710-1ed94d3da903|19a014d1-8e9c-5310-a9ef-9ea6b3e3f3cf|f9447c70-a844-5937-8f80-cf8d2fce9771|a0403bbb-d597-5780-bb01-764b8a6d60c9|09fab927-89b4-520d-aad1-456ac5f4f11a|cf5e2385-35ca-51eb-a4d9-6ab7da79af04|801c0897-ff3b-5c53-8a26-f5c6d21b22be|111ee81b-a11a-5ab8-b5a4-9eadb4f12a70|ab6f7ab5-b6ba-5e02-9560-f89bd35b575c|6ae025d8-4be3-5efa-ab70-c02c7b475629|333cf68d-54d9-5559-ac70-c73c27086892|66a44749-a775-58cd-858d-98e243eba973|939cb422-2442-550d-9cc5-80f8c372c5d7|9c85ad9a-de5a-5a03-9262-9ef6823db9e8|ad6c40ac-4389-5426-b8e5-1d130ac9da81|55b6b39a-d64a-5a38-9dbc-84a9faac294b|67f2af5c-ca4c-55e7-8c2a-5361873b43cc|8e15632d-6932-5877-a861-34ed691706e1|04dd64f3-9175-537b-b611-47d98856e4b7|fdb7fb74-bf21-54a6-8668-36c035e40628|f9f206a7-b2ab-5eb9-8805-0d279c65164d|ba018dfd-9f05-5b0d-adf9-6fee90441a6d|2b14c17d-769c-504e-819b-55270bb93b13|506daaba-7e0d-53d8-b6ec-c466d0af30b3|09f4cf1e-3fb8-5bfc-808c-b733eb495b54|fce06089-154b-512e-a547-fd144ec0961c|dda33fdd-49c8-5082-a03d-252bf1a6fa49|b33e0cec-e805-5abd-897a-65b4bd5a164a|0051ca1a-7c05-591e-9776-995fe0689445|fc192c12-6b92-5281-8d13-2697b4a4acc9|8c566bb4-09fa-5bd9-82f1-071edcd16788|8c59b9a2-1944-5300-b4ff-cdc8fafbdc38|bc323143-126d-5650-815e-a8a6635437b3|525ce801-b5f8-5253-8308-1168ecc06140|d0b7a0c6-086c-53e9-8b7a-ef2ad8f92578|886cda01-1c72-527d-b27e-97ca915f57fb|368dae23-2a23-508f-9f4a-968aafca6e0d|94ddc0d9-ad14-53ef-acdc-7dbbb9f2ac67|11a85bb9-a5f7-54be-afd7-706bdf4d7c8c|c03ab2f1-c1c2-590f-b1af-3a639fddebaa|42d64630-9541-5086-8ac4-faa32bc37e7e|3982bfeb-b062-5d85-ac65-0ba52f189ec5|f10d3a91-6f0d-59f0-9ea9-4db5cf6e44b9|54bd105a-3662-54c0-83e5-97a95e43e1de|c8919a56-98b9-5688-90ea-6aa29ed080e0|4e8f59ee-2017-5f6b-870a-8398a96b4eb9|29072f66-113f-50fd-9d79-f9256821f878|d3cf5026-1b00-5bfb-8172-34a03ecce358|e676cc29-ed11-5299-abcd-0696a7eb4668|aaf63a9f-e624-503d-accf-8f1798a60779|b817b1da-3d3e-5619-bf2d-926dc0e7bfd0|f504e7df-42b4-563e-a2a2-529b0200caba|5d44896c-c256-5478-aa5d-74307895b1b0|b5b7648e-1c41-583d-bcd6-29d0392c46a5|7d60bb86-6562-54bb-b274-1e7b707149cf|eddc7e1d-b0e2-52e1-a6c1-a4f18d0682dc|c805f613-009d-53c6-a793-d354344ba37a|945afc8b-1f85-54cf-a7c0-a36c707605f6|d33be8ba-5d7b-5466-b620-11f5b907071f|27242849-b5f5-5519-aab2-aba36bc29b46|f4a963bf-49ef-541d-8ce0-742b6b02f2b4|8b65d76e-1fe5-5a74-814f-3f18e282da51|e1ec0551-73d2-567c-b806-24a928d89c9e|6d879c45-8d0a-5f3e-8231-8af530bf9285|f7e8b948-2fd0-5183-971b-aaea5c66c226|f5a86cce-909c-5b00-b81c-4d940ee8e36c|7f0d5508-4e22-59b0-abc5-cb8cf7f9cc2f|023498ed-8531-5851-92d7-648da1ee81d8
2023,NO_DUPLICATE_CANONICAL_ATTEMPT,true,0,DUPLICATE_ATTEMPT_ID,
2023,NO_WITHIN_CAR_ORDER_CONFLICT,true,0,DUPLICATE_ATTEMPT_KEY,
2023,NO_CRITICAL_TIMESTAMP_CONFLICT,true,0,,
2023,NO_UNEXPLAINED_REPLAY_ONLY_ATTEMPT,true,0,,
2023,NO_UNRESOLVED_CORE_WINDOW_GAP,false,1,KNOWN_REPLAY_COVERAGE_GAP,12d0b251-6746-5294-ae6f-25c0c6a1b2c5
2023,SOURCE_CONFLICTS_EXPLICIT,true,0,,
2024,KNOWN_OFFICIAL_ATTEMPTS_DISPOSITIONED,false,68,OFFICIAL_ATTEMPTS_WITHOUT_MATCHED_CHRONOLOGY,4440ce15-ba43-554c-842f-0116f2faf94b|c0840a65-4e3a-58d4-8c44-1af20af00863|b8ca157e-4b17-5bdb-9141-e069ade27377|b00ea2c4-0065-5682-8f57-f58c18792485|61c1e429-5f49-5a6a-a7cd-58dfd7893778|107348b8-b02f-55df-a98e-2fb1942250dc|ae5fc451-f8e7-53f2-aeb0-2d119f29fcf0|592e992b-5103-52a6-b623-e25e826386bc|31b7c177-37e7-5f95-82da-58b902d61269|1918bf96-47b4-5e0b-afc4-1d3a7254a703|20ffbd55-492b-5cbf-989b-b42c4b8bd2c7|411accca-4d36-5e24-a0fe-6db5a36714c5|a31aaceb-bf6d-5c61-a607-3022328ecc2c|173091e2-e51e-57a9-abe8-450b15b29a25|eedcdd73-d218-5ab6-a4d2-c18478503d31|25c1b067-a56b-5a78-83c8-504169b5fe90|c3b3df7f-41cc-5c26-b09e-ec23b8860365|800cac62-19f0-5021-a1f2-0f648d96ff75|7081f00a-f41a-5e96-9687-e9390599c81b|f67e0165-0d7c-5cc9-9076-3a4e6354bcab|61d8f402-6fb4-5481-a6db-c58bf162a7ed|bbf879f3-b407-5099-8ff9-3f4c67ad6bf7|4f126848-0ee3-52a0-a894-8fff915b81c2|565841ef-1d29-5831-b720-dfb22d5a969b|bb305266-c60f-5f5b-b658-92109cb4b844|1af8c8bf-f788-56f3-81be-80e9e6e4c1af|d1cffcb4-c7e0-5ec5-8fdb-d540dcba7eb3|07a24fa9-8029-5417-a33d-baa04f5cdf19|789fe98a-840f-5c97-860a-f6678037e6be|2122fcb1-992b-5480-b45c-d7e48ddcf229|94fd8504-23c9-5c19-b0b6-e5f03790cc7b|1e58447e-195b-5aab-b720-7d8cd9090436|fd5283e0-98dd-56b4-8731-1cdc87fbd6b9|2c6a50e6-564c-5b01-bb51-6a1d93ae56d7|0e91e69c-e932-525e-b3ea-74fe3d55dd41|5c278e99-19d1-5e85-8f4a-80b809055515|880ead45-fa05-5821-a46c-dabd2176f2df|0ea71424-032e-5cc5-8235-319c546b48b2|0f2cc359-94dc-54ba-aeb0-dea660441547|f172d26d-2ebf-5b64-b109-6c83a2062894|529dc15d-8c6a-5aa9-bbe5-98c344bd5b8a|a6f827ba-f7fd-5632-aa50-9e648038770a|2da8b7bc-3138-5803-942e-2dd3a542e6a4|b0fea442-416e-5edd-88b3-b430ad75ba1a|368def8f-7a28-54d4-9393-3450cb254203|e51bc773-d8e6-5354-b5a6-b655f74dd604|aace8bfa-a08d-503d-b6f2-627ee9f4eb45|3d289b10-a31f-577f-a681-49f88ef62337|593951bf-c35d-57ed-99ba-3aca33173abf|9c3e9262-c431-5cd6-a825-1390b530a69e|57d1f314-d70f-5dc5-8939-c39e7e310a5b|784ddf4e-b91d-52c3-94b5-b506c4330bd0|a35ce313-843f-5587-beac-84b4cc89b330|4dd5503f-e6f0-5a9a-af16-56b230f4a602|7a43b661-45d0-568a-a5a0-cb277271477b|6ff45585-fb1d-530f-9185-8b2474335069|f3afb84c-e701-50f7-aece-f715b96b5be0|b4791937-d75b-5408-8c3c-2a59daa81554|0cb1b370-25ae-58b2-88a3-8d079ec339cc|bededfd7-e083-51cf-8aae-7f88003dc545|6182a763-98dd-5182-84f6-9ec63290d578|5f797729-5c3e-57f6-a678-7daba88cd24f|e91f9ace-30e9-55fa-9bfe-2167aa6c9e03|42d1de2a-1c6d-53a2-9654-bfd5d8bc3b1c|754665b3-46c1-5228-8fac-5296b0dad1e0|1407fa25-1016-5162-822b-850a97ce43d9|e2a0566a-4feb-5220-98c5-33727e3640f1|da382ef1-8a14-55c3-9fcd-4129d8dddf01
2024,NO_DUPLICATE_CANONICAL_ATTEMPT,true,0,DUPLICATE_ATTEMPT_ID,
2024,NO_WITHIN_CAR_ORDER_CONFLICT,true,0,DUPLICATE_ATTEMPT_KEY,
2024,NO_CRITICAL_TIMESTAMP_CONFLICT,true,0,,
2024,NO_UNEXPLAINED_REPLAY_ONLY_ATTEMPT,false,20,UNMATCHED_CAPTURE_OCCASION,
2024,NO_UNRESOLVED_CORE_WINDOW_GAP,true,0,,
2024,SOURCE_CONFLICTS_EXPLICIT,true,0,,
