wait_minutes,target_time_utc,forecast_ambient_c,delta_ambient_c,expected_delta_track_c,track_uncertainty_sd_c,expected_physical_delta_speed_mph,median_total_delta_speed_mph,q10_delta_speed_mph,q90_delta_speed_mph,q05_delta_speed_mph,q95_delta_speed_mph,p_improve,expected_future_speed_mph,median_future_speed_mph
0.0,2025-05-17 17:18:30.521000+00:00,21.79661790123457,0.0,0.0,0.0,0.0,0.0,-0.7687547502819057,0.7199597912553156,-1.2722536368737916,1.1702080190504822,0.48005,230.335,230.335
1.0,2025-05-17 17:19:30.521000+00:00,21.833654938271607,0.03703703703703809,0.07093617128812256,0.09709999999999999,0.004635389705458586,0.0028918949865442637,-0.7603007097750979,0.7270375033963383,-1.2590339751322734,1.1804351003029137,0.5109,230.33963538970548,230.33789189498654
2.0,2025-05-17 17:20:30.521000+00:00,21.87069197530864,0.07407407407407263,0.14187234257623912,0.19419999999999998,0.009226477236171858,0.005877252740013727,-0.7531392662761457,0.7353545747463128,-1.2460656760451978,1.1898495210691256,0.5117,230.3442264772362,230.34087725274003
3.0,2025-05-17 17:21:30.521000+00:00,21.90772901234568,0.11111111111111072,0.21280851386436167,0.2913,0.013689982153724543,0.009231886118979647,-0.7444390089430393,0.7422436487186664,-1.22790785654156,1.1989512086718663,0.51375,230.34868998215373,230.344231886119
4.0,2025-05-17 17:22:30.521000+00:00,21.944766049382718,0.1481481481481488,0.28374468515248424,0.38839999999999997,0.01845793751622976,0.012149151337581678,-0.7391952131112905,0.7455739914005516,-1.2245246702998143,1.2040284510555574,0.51515,230.35345793751623,230.3471491513376
5.0,2025-05-17 17:23:30.521000+00:00,21.981803086419752,0.18518518518518334,0.35468085644060077,0.48549999999999993,0.023284223981073292,0.016622347179097365,-0.7368840046631222,0.7548177623453937,-1.2044743362618482,1.2143669083577615,0.51885,230.3582842239811,230.3516223471791
6.0,2025-05-17 17:24:30.521000+00:00,22.01884012345679,0.22222222222222143,0.42561702772872334,0.5826,0.027816670140063615,0.021358200986915453,-0.7286048815539213,0.7580219064385133,-1.1984613321709674,1.222474708286478,0.5233,230.36281667014006,230.35635820098693
7.0,2025-05-17 17:25:30.521000+00:00,22.05587716049383,0.2592592592592595,0.4965531990168459,0.6797,0.032066867776295464,0.02501844486534008,-0.7231759680124152,0.7639851586323582,-1.1948204977211692,1.2286974466626905,0.52515,230.36706686777632,230.36001844486535
8.0,2025-05-17 17:26:30.521000+00:00,22.092914197530863,0.29629629629629406,0.5674893703049625,0.7767999999999999,0.03689050411164562,0.028175755408192074,-0.7165844772050042,0.7665715046042011,-1.1838979704760664,1.2372413058174756,0.5279,230.37189050411166,230.3631757554082
9.0,2025-05-17 17:27:30.521000+00:00,22.1299512345679,0.33333333333333215,0.6384255415930851,0.8738999999999999,0.041282060068838076,0.03219271849149072,-0.7159656768793279,0.7719131648501212,-1.1916488196585688,1.2443469437974053,0.53035,230.37628206006886,230.3671927184915
10.0,2025-05-17 17:28:30.521000+00:00,22.16698827160494,0.37037037037037024,0.7093617128812075,0.9709999999999999,0.04626288095198297,0.039152215620060646,-0.7100071865947316,0.7737818364061108,-1.1860016700725364,1.258250069071877,0.53485,230.381262880952,230.37415221562006
11.0,2025-05-17 17:29:30.521000+00:00,22.204025308641974,0.4074074074074048,0.7802978841693241,1.0680999999999998,0.05077158570658626,0.0415778140539015,-0.7065181141355665,0.7785695960974085,-1.184483107691405,1.256728759508455,0.53825,230.3857715857066,230.37657781405392
12.0,2025-05-17 17:30:30.521000+00:00,22.22222222222222,0.42560432098765233,0.8193986248833596,1.1652,0.05269762165395498,0.04306189106377867,-0.7049472777644962,0.7814284677241619,-1.1891280646818332,1.2583344075045837,0.5386,230.38769762165396,230.3780618910638
13.0,2025-05-17 17:31:30.521000+00:00,22.22222222222222,0.42560432098765233,0.8277508102455545,1.2623,0.052015040157044334,0.042008430010371606,-0.7092568121389512,0.7829937467485445,-1.1855871238073177,1.2575602673869464,0.53765,230.38701504015705,230.3770084300104
14.0,2025-05-17 17:32:30.521000+00:00,22.22222222222222,0.42560432098765233,0.8361029956077494,1.3594,0.05269463556253686,0.04246549260389352,-0.7116500592169589,0.7824146180357023,-1.174143525278301,1.2556123152404464,0.538,230.38769463556255,230.3774654926039
15.0,2025-05-17 17:33:30.521000+00:00,22.22222222222222,0.42560432098765233,0.8444551809699442,1.4565,0.05195979806641733,0.04234506454491903,-0.7078567946070666,0.7815413053177079,-1.1831261439174707,1.2651735102230681,0.54035,230.3869597980664,230.37734506454493
16.0,2025-05-17 17:34:30.521000+00:00,22.22222222222222,0.42560432098765233,0.852807366332139,1.4894399999999999,0.051724325045618275,0.043409414601315324,-0.7074423974702758,0.7786585718988607,-1.189544517301129,1.2615117519852994,0.53765,230.38672432504563,230.37840941460132
17.0,2025-05-17 17:35:30.521000+00:00,22.22222222222222,0.42560432098765233,0.8611595516943339,1.5223799999999998,0.05061577134267992,0.04273698668836347,-0.7044348321490649,0.7771057992901494,-1.1851838492655522,1.2598377094756275,0.53795,230.38561577134269,230.37773698668838
18.0,2025-05-17 17:36:30.521000+00:00,22.22222222222222,0.42560432098765233,0.8695117370565287,1.5553199999999998,0.05165592817331435,0.04187312988956201,-0.7106422528869162,0.778183362422704,-1.1818144577125234,1.2565229581683905,0.53655,230.38665592817333,230.37687312988956
19.0,2025-05-17 17:37:30.521000+00:00,22.22222222222222,0.42560432098765233,0.8778639224187237,1.58826,0.05093482671194072,0.04069681730913856,-0.7069651865390691,0.7755597923923953,-1.1837413449533374,1.2601592010104792,0.5355,230.38593482671195,230.37569681730915
20.0,2025-05-17 17:38:30.521000+00:00,22.22222222222222,0.42560432098765233,0.8862161077809184,1.6212,0.05025565613956233,0.04164389460777898,-0.7082224631927031,0.7781514376495143,-1.1899972967531909,1.2579961259069592,0.53445,230.38525565613958,230.37664389460778
21.0,2025-05-17 17:39:30.521000+00:00,22.22222222222222,0.42560432098765233,0.8945682931431134,1.65414,0.04925453910905114,0.03939739887588196,-0.7136388292861013,0.7801522775115399,-1.1922237199264876,1.2559756279021441,0.53465,230.38425453910907,230.37439739887589
22.0,2025-05-17 17:40:30.521000+00:00,22.22222222222222,0.42560432098765233,0.9029204785053082,1.68708,0.049349035415251555,0.04071007691986639,-0.7135227337973861,0.7824919037835785,-1.1825796720079602,1.2746003704329598,0.5346,230.38434903541526,230.3757100769199
23.0,2025-05-17 17:41:30.521000+00:00,22.22222222222222,0.42560432098765233,0.911272663867503,1.7200199999999999,0.049969866839436466,0.04159370730271306,-0.7117512562001699,0.78224237889043,-1.1926319490866453,1.2556613169281547,0.53505,230.38496986683944,230.37659370730273
24.0,2025-05-17 17:42:30.521000+00:00,22.22222222222222,0.42560432098765233,0.9196248492296979,1.7529599999999999,0.049618513271188804,0.03972427440661337,-0.7127915473848397,0.7823035560953213,-1.195939588415406,1.2608432772046272,0.53675,230.3846185132712,230.37472427440662
25.0,2025-05-17 17:43:30.521000+00:00,22.22222222222222,0.42560432098765233,0.9279770345918927,1.7858999999999998,0.0491568758650405,0.04164988318736075,-0.7149580718489434,0.7764688725919083,-1.1790270915581875,1.2539884654503566,0.5356,230.38415687586505,230.37664988318735
