year,check,status,value,details
2020,ROW_COUNT,PASS,32,
2020,TIME_COVERAGE,PASS,,2020-08-15 08:15:00 -> 2020-08-15 16:50:00
2020,DUPLICATE_TIMESTAMPS,PASS,0,
2020,MEDIAN_INTERVAL_MIN,INFO,15.0,
2020,MAX_INTERVAL_MIN,WARN,75.0,>30min gaps=1; >60min gaps=1
2020,MISSING_ambient_f,PASS,0,0.00%
2020,MISSING_ambient_c,PASS,0,0.00%
2020,MISSING_track_f,PASS,0,0.00%
2020,MISSING_track_c,PASS,0,0.00%
2020,MISSING_humidity,PASS,0,0.00%
2020,MISSING_wind,PASS,0,0.00%
2020,MISSING_pressure,PASS,0,0.00%
2020,MISSING_sensor_1_f,PASS,0,0.00%
2020,MISSING_sensor_2_f,PASS,0,0.00%
2020,MISSING_sensor_3_f,PASS,0,0.00%
2020,MISSING_sensor_4_f,PASS,0,0.00%
2020,MISSING_sensor_avg_f,PASS,0,0.00%
2020,RANGE_ambient_f,PASS,0,"expected [-20, 130]"
2020,RANGE_track_f,PASS,0,"expected [-20, 180]"
2020,RANGE_humidity,PASS,0,"expected [0, 1.05]"
2020,RANGE_wind,PASS,0,"expected [0, 100]"
2020,RANGE_pressure,PASS,0,"expected [25, 32]"
2020,RANGE_sensor_1_f,PASS,0,"expected [-20, 180]"
2020,RANGE_sensor_2_f,PASS,0,"expected [-20, 180]"
2020,RANGE_sensor_3_f,PASS,0,"expected [-20, 180]"
2020,RANGE_sensor_4_f,PASS,0,"expected [-20, 180]"
2020,RANGE_sensor_avg_f,PASS,0,"expected [-20, 180]"
2020,TRACK_SENSOR_AVG_MAE_F,INFO,0.2359375000000008,median_abs_diff=0.25; max_abs_diff=0.5; corr=0.9998788239006784
2020,SENSOR_SPREAD_F,INFO,14.999999999999993,max=37.60000000000001; >10F=21; >20F=11
2020,FC_CONSISTENCY_ambient_f_ambient_c,PASS,0.0,
2020,FC_CONSISTENCY_track_f_track_c,PASS,0.0,
2020,WIND_DIRECTION_VALUES,INFO,11,E; ENE; ESE; N; NE; NNE; NNW; S; SE; SSW; WNW
2021,ROW_COUNT,PASS,33,
2021,TIME_COVERAGE,PASS,,2021-05-22 08:45:00 -> 2021-05-22 17:50:00
2021,DUPLICATE_TIMESTAMPS,PASS,0,
2021,MEDIAN_INTERVAL_MIN,INFO,15.0,
2021,MAX_INTERVAL_MIN,WARN,75.0,>30min gaps=1; >60min gaps=1
2021,MISSING_ambient_f,PASS,0,0.00%
2021,MISSING_ambient_c,PASS,0,0.00%
2021,MISSING_track_f,PASS,0,0.00%
