json_path,value,endpoint
$.series[8],2011 CLIPSAL 500 Adelaide,/replays/series
$.series[9],2018 Adelaide 500 - Supercars,/replays/series
$.series[27],2022 iRacing Daytona 500,/replays/series
$.series[28],2022 iRacing Fixed Indy 500,/replays/series
$.series[29],2022 iRacing Indy 500,/replays/series
$.series[32],2022 Open-Wheels 500,/replays/series
$.series[52],2023 NTI Townsville 500,/replays/series
$.series[54],2023 Penrite Oil Sandown 500,/replays/series
$.series[59],2023 Thrifty Newcastle 500,/replays/series
$.series[61],2023 VAILO Adelaide 500,/replays/series
$.series[63],2024 Boost Mobile Gold Coast 500,/replays/series
$.series[73],2024 VAILO Adelaide 500,/replays/series
$.series[74],2025 AIRTOUCH 500 AT THE BEND,/replays/series
$.series[76],2025 Boost Mobile Gold Coast 500,/replays/series
$.series[87],2025 NTI Townsville 500,/replays/series
$.series[88],2025 Penrite Oil Sandown 500,/replays/series
$.series[90],2025 Thrifty Sydney 500 Opening Round,/replays/series
$.series[91],2026 AIRTOUCH 500 AT THE BEND,/replays/series
$.series[95],2026 Dunlop Sydney 500,/replays/series
$.series[104],2026 NTI Townsville 500,/replays/series
$.series[290],DMV NES 500,/replays/series
$.series[512],IGTC Indianapolis 8 Hour,/replays/series
$.series[532],Indianapolis 8 Hour,/replays/series
$.series[533],Indianapolis 8 Hour / GT World Challenge America,/replays/series
$.series[534],Indianapolis 8 Hour presented by aws,/replays/series
$.series[536],IndyCar,/replays/series
$.series[537],IndyCar iRacing Series,/replays/series
$.series[538],Indy Lights,/replays/series
$.series[539],Indy Pro 2000,/replays/series
$.series[540],Indy Pro 2000 Championship,/replays/series
$.series[541],INDY PRO 2000 CHAMPIONSHIP,/replays/series
$.series[555],iRacing Fixed 500,/replays/series
$.series[556],iRacing IndyCar Open,/replays/series
$.series[557],iRacing IndyCar Open Series,/replays/series
$.series[597],Lionheart IndyCar Series,/replays/series
$.series[598],Lionheart IndyCar Series S10,/replays/series
$.series[694],Open-Wheels 500 Mile Race,/replays/series
$[2].filename,https://s3.us-east-005.backblazeb2.com/t71-archive/2025-09-12 02-52 2025 AIRTOUCH 500 AT THE BEND - 2025 Trico Trans Am Series - Practice 2.zip,/replays
$[2].analysisFilename,https://s3.us-east-005.backblazeb2.com/t71-archive/2025-09-12 02-52 2025 AIRTOUCH 500 AT THE BEND - 2025 Trico Trans Am Series - Practice 2.json,/replays
$[2].series,2025 AIRTOUCH 500 AT THE BEND,/replays
$[19].filename,https://s3.us-east-005.backblazeb2.com/t71-archive/2026-07-12 02-57 2026 NTI Townsville 500 - 2026 TOYOTA GAZOO Racing Australia GR CUP - Race 3.zip,/replays
$[19].analysisFilename,https://s3.us-east-005.backblazeb2.com/t71-archive/2026-07-12 02-57 2026 NTI Townsville 500 - 2026 TOYOTA GAZOO Racing Australia GR CUP - Race 3.json,/replays
$[19].series,2026 NTI Townsville 500,/replays
$[20].filename,https://s3.us-east-005.backblazeb2.com/t71-archive/2023-03-10 01-47 2023 Thrifty Newcastle 500 - 2023 Repco Supercars Championship - Practice 2.zip,/replays
$[20].analysisFilename,https://s3.us-east-005.backblazeb2.com/t71-archive/2023-03-10 01-47 2023 Thrifty Newcastle 500 - 2023 Repco Supercars Championship - Practice 2.json,/replays
$[20].series,2023 Thrifty Newcastle 500,/replays
$[21].filename,https://s3.us-east-005.backblazeb2.com/t71-archive/2023-03-11 23-22 2023 Thrifty Newcastle 500 - 2023 Dunlop Super2 & Super3 Series - Qualifying - Race 2.zip,/replays
$[21].analysisFilename,https://s3.us-east-005.backblazeb2.com/t71-archive/2023-03-11 23-22 2023 Thrifty Newcastle 500 - 2023 Dunlop Super2 & Super3 Series - Qualifying - Race 2.json,/replays
$[21].series,2023 Thrifty Newcastle 500,/replays
$[30].filename,https://s3.us-east-005.backblazeb2.com/t71-archive/2024-09-14 18-12 IndyCar - Big Machine Music City Grand Prix - Qualifications.zip,/replays
$[30].analysisFilename,https://s3.us-east-005.backblazeb2.com/t71-archive/2024-09-14 18-12 IndyCar - Big Machine Music City Grand Prix - Qualifications.json,/replays
$[30].series,IndyCar,/replays
$[32].filename,https://s3.us-east-005.backblazeb2.com/t71-archive/2026-09-13 00-37 2026 AIRTOUCH 500 AT THE BEND - 2026 Repco Supercars Championship - Warm Up.zip,/replays
$[32].analysisFilename,https://s3.us-east-005.backblazeb2.com/t71-archive/2026-09-13 00-37 2026 AIRTOUCH 500 AT THE BEND - 2026 Repco Supercars Championship - Warm Up.json,/replays
$[32].series,2026 AIRTOUCH 500 AT THE BEND,/replays
$[55].series,IndyCar,/replays
$[55].description,104th Indianapolis 500 - Race,/replays
$[59].series,IndyCar,/replays
$[59].description,102nd Indianapolis 500 - Practice 8,/replays
$[94].filename,https://s3.us-east-005.backblazeb2.com/t71-archive/2024-08-31 17-17 NASCAR Cup Series - Cook Out 500 Busch Pole Qualifying - Final Round - Qualifying.zip,/replays
$[94].analysisFilename,https://s3.us-east-005.backblazeb2.com/t71-archive/2024-08-31 17-17 NASCAR Cup Series - Cook Out 500 Busch Pole Qualifying - Final Round - Qualifying.json,/replays
$[94].description,Cook Out 500 Busch Pole Qualifying - Final Round - Qualifying,/replays
$[117].filename,https://s3.us-east-005.backblazeb2.com/t71-archive/2023-03-11 02-12 2023 Thrifty Newcastle 500 - 2023 Dunlop Super2 & Super3 Series - Race 1.zip,/replays
$[117].analysisFilename,https://s3.us-east-005.backblazeb2.com/t71-archive/2023-03-11 02-12 2023 Thrifty Newcastle 500 - 2023 Dunlop Super2 & Super3 Series - Race 1.json,/replays
$[117].series,2023 Thrifty Newcastle 500,/replays
$[117].startTime,1678500758,/replays
$[120].filename,https://s3.us-east-005.backblazeb2.com/t71-archive/2025-07-19 18-32 IndyCar - Ontario Honda Dealers Indy Toronto - Qualifications - Segment 3 _ Firestone Fast 6.zip,/replays
$[120].analysisFilename,https://s3.us-east-005.backblazeb2.com/t71-archive/2025-07-19 18-32 IndyCar - Ontario Honda Dealers Indy Toronto - Qualifications - Segment 3 _ Firestone Fast 6.json,/replays
$[120].series,IndyCar,/replays
$[120].description,Ontario Honda Dealers Indy Toronto - Qualifications - Segment 3 / Firestone Fast 6,/replays
$[130].series,Lionheart IndyCar Series,/replays
$[131].series,Lionheart IndyCar Series,/replays
$[132].series,Lionheart IndyCar Series,/replays
$[146].id,0266c40e-a07e-4500-93e7-1f8293dd31a6_1,/replays
$[148].series,IndyCar,/replays
$[148].description,104th Indianapolis 500 - Qualifying,/replays
$[149].series,IndyCar,/replays
$[149].description,104th Indianapolis 500 - Qualifying,/replays
$[183].filename,https://s3.us-east-005.backblazeb2.com/t71-archive/2025-05-17 14-57 IndyCar - 109th Running of the Indianapolis 500 - Qualifications - Day One.zip,/replays
$[183].analysisFilename,https://s3.us-east-005.backblazeb2.com/t71-archive/2025-05-17 14-57 IndyCar - 109th Running of the Indianapolis 500 - Qualifications - Day One.json,/replays
$[183].series,IndyCar,/replays
$[183].description,109th Running of the Indianapolis 500 - Qualifications - Day One,/replays
$[206].startTime,1785073500,/replays
$[212].filename,https://s3.us-east-005.backblazeb2.com/t71-archive/2024-10-04 17-57 Mustang Challenge - Indianapolis 8 Hour Presented By AWS - Race 2.zip,/replays
$[212].analysisFilename,https://s3.us-east-005.backblazeb2.com/t71-archive/2024-10-04 17-57 Mustang Challenge - Indianapolis 8 Hour Presented By AWS - Race 2.json,/replays
$[212].description,Indianapolis 8 Hour Presented By AWS - Race 2,/replays
$[224].filename,https://s3.us-east-005.backblazeb2.com/t71-archive/2024-04-20 18-22 IndyCar - Streets of Long Beach - Qualifications - Segment 3 _ Firestone Fast 6.zip,/replays
$[224].analysisFilename,https://s3.us-east-005.backblazeb2.com/t71-archive/2024-04-20 18-22 IndyCar - Streets of Long Beach - Qualifications - Segment 3 _ Firestone Fast 6.json,/replays
$[224].series,IndyCar,/replays
$[239].filename,https://s3.us-east-005.backblazeb2.com/t71-archive/2026-04-19 16-57 IndyCar - ACURA Grand Prix of Long Beach - Warm-up.zip,/replays
$[239].analysisFilename,https://s3.us-east-005.backblazeb2.com/t71-archive/2026-04-19 16-57 IndyCar - ACURA Grand Prix of Long Beach - Warm-up.json,/replays
$[239].series,IndyCar,/replays
$[248].series,IndyCar,/replays
$[249].filename,https://s3.us-east-005.backblazeb2.com/t71-archive/2024-05-20 16-57 IndyCar - 108th Running of the Indianapolis 500 - Practice 8.zip,/replays
$[249].analysisFilename,https://s3.us-east-005.backblazeb2.com/t71-archive/2024-05-20 16-57 IndyCar - 108th Running of the Indianapolis 500 - Practice 8.json,/replays
$[249].series,IndyCar,/replays
$[249].description,108th Running of the Indianapolis 500 - Practice 8,/replays
$[259].filename,https://s3.us-east-005.backblazeb2.com/t71-archive/2023-03-11 23-42 2023 Thrifty Newcastle 500 - 2023 Dunlop Super2 & Super3 Series - Qualifying - Race 2.zip,/replays
$[259].analysisFilename,https://s3.us-east-005.backblazeb2.com/t71-archive/2023-03-11 23-42 2023 Thrifty Newcastle 500 - 2023 Dunlop Super2 & Super3 Series - Qualifying - Race 2.json,/replays
$[259].series,2023 Thrifty Newcastle 500,/replays
$[279].description,Indianapolis Motor Speedway RC - Race 1,/replays
$[297].series,IndyCar,/replays
$[330].filename,https://s3.us-east-005.backblazeb2.com/t71-archive/2026-04-19 21-54 IndyCar - ACURA Grand Prix of Long Beach - Race.zip,/replays
$[330].analysisFilename,https://s3.us-east-005.backblazeb2.com/t71-archive/2026-04-19 21-54 IndyCar - ACURA Grand Prix of Long Beach - Race.json,/replays
$[330].series,IndyCar,/replays
$[337].filename,https://s3.us-east-005.backblazeb2.com/t71-archive/2025-09-13 06-07 2025 AIRTOUCH 500 AT THE BEND - 2025 Porsche Paynter Dixon Carrera Cup Australia - Race 1.zip,/replays
