year,attempt_count,complete_attempts,partial_attempts,section_only_attempts,chronology_only_attempts,repeated_attempt_count_where_supportable,usable_timestamps,unresolved_timestamp_counts,chronology_status,performance_core_eligible_count,chronology_core_eligible_count,robustness_supporting_count
2020,63,46,12,4,1,25,0,63,PARTIAL,46,0,4
2021,60,51,8,1,0,23,54,6,PARTIAL,51,0,55
2022,44,40,0,0,4,8,0,44,FAIL,0,0,44
2023,85,69,15,1,0,34,0,85,PARTIAL,69,0,1
2024,77,54,17,3,3,4,8,69,PARTIAL,54,0,9
