horizon_min,variant,n_scenarios,mean_mc_sd_mph,median_mc_sd_mph,mean_pi80_width_mph,median_pi80_width_mph,mean_pi90_width_mph,median_pi90_width_mph
15,COEFFICIENT_ONLY,153,0.028688256123390987,0.02407038620173417,0.07161771833859952,0.06042094574891581,0.0923529700667374,0.07728517889012448
15,FULL,153,1.0402211192663486,1.0388989353038667,1.4667207137753209,1.4663353058951745,2.4222422652163806,2.4204234775935296
15,NO_COEFFICIENT,153,1.0389301673598024,1.0381896050603439,1.461980219359824,1.4615777312177378,2.418785541216579,2.4189436363051726
15,NO_RESIDUAL,153,0.07074244904859416,0.06611051490357596,0.1404547228830178,0.1267632257925367,0.20882432837742232,0.19284693514282622
15,NO_TRACK,153,1.038409366780955,1.0371166029502428,1.464045302054081,1.4645659414367949,2.4045989845698275,2.408359271210434
15,RESIDUAL_ONLY,153,1.0377182576051054,1.0367768897717435,1.4534099535356302,1.4399195825106312,2.376565531473665,2.3404160381009644
15,TRACK_ONLY,153,0.05037672868099165,0.05037583281332196,0.11648564020339856,0.11639353879174819,0.14885750421876787,0.14853331483846188
30,COEFFICIENT_ONLY,144,0.0406308468081945,0.02733015041013706,0.1009791161170439,0.06879777343377091,0.1305363963556333,0.08732871260009295
30,FULL,144,1.0466865153432456,1.0482444056824685,1.4787799545312166,1.4758385905774387,2.4393105888655886,2.437672006708582
30,NO_COEFFICIENT,144,1.043902872859213,1.0457108203700884,1.4572874636802011,1.456904675196259,2.4309557653363654,2.4320793417464603
30,NO_RESIDUAL,144,0.10346476575521212,0.09479780780067516,0.21379372126671667,0.18927728885126266,0.3123792838321049,0.28508667334457705
30,NO_TRACK,144,1.0428041784244,1.0448800561306524,1.4677937489023738,1.4658233034532466,2.4194784791220254,2.4231571226090174
30,RESIDUAL_ONLY,144,1.041306011495519,1.042822847824531,1.4502207405273573,1.4399195825106312,2.394344312520088,2.3404160381009644
30,TRACK_ONLY,144,0.0741884931515401,0.07420406926808354,0.1676948319413579,0.16714825090429103,0.21766966338002436,0.21618023981787265
60,COEFFICIENT_ONLY,127,0.06287424902013322,0.05208970218070063,0.15612101527345854,0.1278827219235652,0.20173653264877237,0.16842002268952588
60,FULL,127,1.0524222475144582,1.0502872097554692,1.5161022874838237,1.5067925389456527,2.461383036460836,2.455349962091341
60,NO_COEFFICIENT,127,1.0466583739049742,1.0459604975050414,1.470370544190805,1.4699387496585827,2.439647447677504,2.440195281732924
60,NO_RESIDUAL,127,0.14592880169436392,0.13652251458961326,0.3051805981581535,0.27773092930326654,0.44982199101245496,0.4177002774314852
60,NO_TRACK,127,1.0447986335947024,1.043035792204487,1.474564159265921,1.4653803577764948,2.429834686400693,2.426212902169011
60,RESIDUAL_ONLY,127,1.0414859117752144,1.04080407181817,1.4568633438734087,1.4399195825106312,2.3822788466725737,2.3404160381009644
60,TRACK_ONLY,127,0.10278858721935354,0.1028251404867786,0.2410437987815465,0.2409977016870749,0.3258147316540205,0.32919654065475557
90,COEFFICIENT_ONLY,117,0.0807713103966438,0.06042639116682682,0.20032394931820569,0.14896786779805612,0.2588955771211566,0.19323967506775191
90,FULL,117,1.0538635528690077,1.0514537429387225,1.5448357597295252,1.5303949486451907,2.479550389833776,2.4664178693018988
90,NO_COEFFICIENT,117,1.0449314402256902,1.0442175057112797,1.47442778753258,1.4749045272612071,2.4418313443189392,2.442950768534467
90,NO_RESIDUAL,117,0.17733541649299228,0.1625329928154733,0.37264525299805573,0.33133213943492307,0.5361659140168574,0.48945417051965506
90,NO_TRACK,117,1.0429585925417353,1.0402002017940921,1.477134653994606,1.4647694396240294,2.4341068580872145,2.424278715636963
90,RESIDUAL_ONLY,117,1.0376360949895704,1.0372922049817033,1.452097469720688,1.4399195825106312,2.379707961886777,2.3404160381009644
90,TRACK_ONLY,117,0.12254408666974194,0.12250711221354176,0.2881546377692966,0.2887266277644937,0.36509905588707314,0.36620718030370447
120,COEFFICIENT_ONLY,115,0.09289459102881446,0.08063420518508145,0.2282276890932587,0.19239263601527445,0.2962394354636692,0.2522939570287068
120,FULL,115,1.0564753114701513,1.0532398240740386,1.5677386735324428,1.5520944788833344,2.493500700808092,2.482023525287995
120,NO_COEFFICIENT,115,1.0459629574078841,1.0446682957302995,1.4810067118493249,1.4794340451995098,2.448636020156102,2.4457616937397884
120,NO_RESIDUAL,115,0.198568301812997,0.18543603979312906,0.42655095742566534,0.3964918640997195,0.6067311049234474,0.5659823986514223
120,NO_TRACK,115,1.0431547857850132,1.039648574933782,1.4774219678979557,1.4605367455939464,2.4378403527590025,2.4264213910185526
120,RESIDUAL_ONLY,115,1.0368626256694058,1.0358026472526298,1.4471751807658895,1.4399195825106312,2.3688113404517983,2.3404160381009644
120,TRACK_ONLY,115,0.137018175343479,0.13704790522177224,0.3148687774966526,0.3148464083588295,0.43924358744704983,0.44166742088919425
