pair_id,year,horizon_min,variant,track_uncertainty_on,coefficient_uncertainty_on,performance_residual_on,point_delta_track_c,delta_ambient_temp_c,mc_mean_mph,mc_median_mph,mc_sd_mph,pi80_low_mph,pi80_high_mph,pi90_low_mph,pi90_high_mph,pi80_width_mph,pi90_width_mph,n_mc
2020_2020-08-15_day1_000_h15,2020,15,FULL,True,True,True,0.671993170346461,0.5555555555555571,0.08131555562965669,0.08040334762359747,1.045923062240699,-0.6555679034603477,0.8034608799523306,-1.1440815195092353,1.3104465720901697,1.4590287834126783,2.454528091599405,20000
2020_2020-08-15_day1_000_h15,2020,15,TRACK_ONLY,True,False,False,0.671993170346461,0.5555555555555571,0.08389241496418681,0.08431717096782601,0.051051979663206876,0.02699238359500135,0.14136836827279364,0.009913718514666561,0.15844703335312843,0.1143759846777923,0.14853331483846188,20000
2020_2020-08-15_day1_000_h15,2020,15,COEFFICIENT_ONLY,False,True,False,0.671993170346461,0.5555555555555571,0.08422557491459293,0.07802750512322312,0.030543089630425135,0.05156819810081606,0.1262645743114665,0.04495685627687365,0.1424530879648555,0.07469637621065045,0.09749623168798185,20000
2020_2020-08-15_day1_000_h15,2020,15,RESIDUAL_ONLY,False,False,True,0.671993170346461,0.5555555555555571,0.08159579460756189,0.08418037593389749,1.0428497643090913,-0.6357794153214181,0.8041401671892131,-1.188073260939894,1.2543883949843797,1.4399195825106312,2.4424616559242738,20000
2020_2020-08-15_day1_000_h15,2020,15,NO_TRACK,False,True,True,0.671993170346461,0.5555555555555571,0.08164099358825733,0.07893725163404805,1.0437324056501682,-0.6540919925393821,0.8033598381171139,-1.1285071314111743,1.3035865398594697,1.4574518306564959,2.432093671270644,20000
2020_2020-08-15_day1_000_h15,2020,15,NO_COEFFICIENT,True,False,True,0.671993170346461,0.5555555555555571,0.0813078336378512,0.08427789626309182,1.044302483737168,-0.6468722843207121,0.8049414292159013,-1.1409180898131468,1.3033003106879815,1.4518137135366134,2.4442184005011285,20000
2020_2020-08-15_day1_000_h15,2020,15,NO_RESIDUAL,True,True,False,0.671993170346461,0.5555555555555571,0.08390013695599229,0.07370795813377995,0.06987205647501873,0.024903595484125796,0.16074944570547747,0.0007923164103656646,0.20437143530238142,0.13584585022135168,0.20357911889201574,20000
2020_2020-08-15_day1_000_h30,2020,30,FULL,True,True,True,1.450332551138456,1.1111111111111107,0.16878258270184143,0.16453608360925298,1.0533747634348893,-0.5760250576194726,0.9162282371811558,-1.0555654857027017,1.3751046506576503,1.4922532948006284,2.430670136360352,20000
2020_2020-08-15_day1_000_h30,2020,30,TRACK_ONLY,True,False,False,1.450332551138456,1.1111111111111107,0.16374560055256893,0.1644461265961506,0.0740856121467457,0.07915548952552481,0.2461797952720197,0.05611878677388979,0.27229902659176247,0.16702430574649488,0.21618023981787268,20000
2020_2020-08-15_day1_000_h30,2020,30,COEFFICIENT_ONLY,False,True,False,1.450332551138456,1.1111111111111107,0.16431940677419712,0.1520624013995661,0.059240620674288175,0.10190250078714713,0.24546931194166335,0.08896099199578403,0.2758320495374169,0.14356681115451622,0.18687105754163288,20000
