year,status,records
2018,Failed Attempt,2
2018,No Attempt,2
2018,On Bubble,1
2018,Retired,4
2018,VALID_OR_UNLABELED,32
2018,Waved Off,3
2018,Withdrawn,4
2019,Bumped,8
2019,Failed Attempt,12
2019,No Attempt,1
2019,Retired,9
2019,VALID_OR_UNLABELED,30
2019,Waved Off,7
2019,Withdrawn,6
2025,Bumped,4
2025,Failed Attempt,12
2025,Retired,15
2025,VALID_OR_UNLABELED,31
2025,Waved Off,11
2026,VALID_OR_UNLABELED,33
