thermal_gap_state,ambient_trajectory,solar_state,horizon_min,expected_delta_speed_mph,median_delta_speed_mph,p_improve,lower_80_mph,upper_80_mph,lower_90_mph,upper_90_mph,pi80_width_mph,pi90_width_mph,model_expected_delta_track_temp_c,_gap,_ambient,_solar
HIGH_GAP,COOLING,HIGH_SOLAR,120,-0.3253791541869208,-0.3183905886917867,0.2622,-1.127652976490073,0.415125615074415,-1.5424987929383704,0.9053728014474632,1.5427785915644878,2.4478715943858336,-2.829777142153766,HIGH_GAP,COOLING,HIGH_SOLAR
HIGH_GAP,COOLING,LOW_SOLAR,120,-0.2746569498986452,-0.2741042445687613,0.28936,-1.075707411525596,0.4834465871199603,-1.5097395340261257,0.9791208183774928,1.5591539986455565,2.488860352403618,-4.123530109150455,HIGH_GAP,COOLING,LOW_SOLAR
HIGH_GAP,COOLING,MEDIAN_SOLAR,120,-0.309710578473828,-0.3012522492357057,0.27088,-1.1152589188993194,0.4523257118070143,-1.5454510559873624,0.9305868787786408,1.5675846307063337,2.476037934766003,-3.3194349689784985,HIGH_GAP,COOLING,MEDIAN_SOLAR
HIGH_GAP,NEUTRAL,HIGH_SOLAR,120,-0.0420808582569107,-0.0383241949006976,0.4674,-0.8207574069236987,0.7199597912557286,-1.2731428279057049,1.1891666495010176,1.5407171981794274,2.4623094774067225,1.0983969642504778,HIGH_GAP,NEUTRAL,HIGH_SOLAR
HIGH_GAP,NEUTRAL,LOW_SOLAR,120,0.010798742683889,0.0063211502001371,0.50786,-0.7505268119868825,0.7719569709672702,-1.2148864314824237,1.2425881445030784,1.5224837829541529,2.457474575985502,-0.1953560027462106,HIGH_GAP,NEUTRAL,LOW_SOLAR
HIGH_GAP,NEUTRAL,MEDIAN_SOLAR,120,-0.0151741149644989,-0.0172956346479934,0.48488,-0.7867242405840554,0.7643511505612,-1.254808586312576,1.2266422889607305,1.5510753911452553,2.4814508752733064,0.6087391374257454,HIGH_GAP,NEUTRAL,MEDIAN_SOLAR
HIGH_GAP,WARMING,HIGH_SOLAR,120,0.1703226537105744,0.1728293963455641,0.63736,-0.5936480011318473,0.948440188745349,-1.0748443701101904,1.4013151583335892,1.5420881898771963,2.4761595284437794,4.044527544053661,HIGH_GAP,WARMING,HIGH_SOLAR
HIGH_GAP,WARMING,LOW_SOLAR,120,0.2247877895085147,0.2167255846861669,0.6704,-0.5303727900023033,1.0084898197248866,-1.0038945209180674,1.44510284339451,1.53886260972719,2.4489973643125778,2.750774577056973,HIGH_GAP,WARMING,LOW_SOLAR
HIGH_GAP,WARMING,MEDIAN_SOLAR,120,0.1933707347524075,0.1909292029711885,0.65048,-0.5819631397200209,0.9813603688800948,-1.0538282043872171,1.447288271063157,1.5633235086001156,2.501116475450374,3.554869717228929,HIGH_GAP,WARMING,MEDIAN_SOLAR
LOW_GAP,COOLING,HIGH_SOLAR,120,-0.4629769569863687,-0.4335914359909223,0.20552,-1.324746972949037,0.3075676540765324,-1.7732741046550324,0.805291684946625,1.6323146270255695,2.578565789601657,0.2232821125461495,LOW_GAP,COOLING,HIGH_SOLAR
