scenario,horizon_min,support_status,independently_calibrated_horizon,extrapolated,current_track_c,current_ambient_c,future_ambient_c,delta_ambient_c,thermal_gap_0_c,solar_elevation_mean_deg,expected_delta_track_c,expected_future_track_c,expected_delta_speed_mph,median_delta_speed_mph,p_improve,lower_80_mph,upper_80_mph,lower_90_mph,upper_90_mph,mc_sd_mph,n_mc_source
cooling,0,CURRENT_STATE_BOUNDARY,False,False,40.0,24.0,24.0,0.0,16.0,,0.0,40.0,0.0,0.0,,,,,,,50000
cooling,15,CALIBRATED_ANCHOR,True,False,40.0,24.0,23.75,-0.25,16.0,61.18640345702444,0.1994897907850283,40.19948979078503,-0.0544315536353253,-0.0557440825275245,0.44594,-0.7825399933542839,0.687916638260756,-1.2754334234061775,1.1501643176869822,1.0476911326110077,50000
cooling,16,INTERPOLATED_OPERATIONAL,False,False,40.0,24.0,23.733333333333334,-0.26666666666666666,16.0,61.25436076212339,0.2048239281625328,40.20482392816253,-0.057634204172613425,-0.059087685882952316,0.44339866666666666,-0.7859864248897185,0.6857492141310901,-1.2784821960382926,1.1481292998229036,1.0480035524592208,50000
cooling,17,INTERPOLATED_OPERATIONAL,False,False,40.0,24.0,23.716666666666665,-0.2833333333333333,16.0,61.32231806722234,0.21015806554003733,40.21015806554004,-0.06083685470990155,-0.062431289238380136,0.4408573333333333,-0.789432856425153,0.6835817900014242,-1.2815309686704077,1.1460942819588247,1.0483159723074342,50000
cooling,18,INTERPOLATED_OPERATIONAL,False,False,40.0,24.0,23.7,-0.3,16.0,61.390275372321284,0.21549220291754184,40.215492202917545,-0.06403950524718968,-0.06577489259380796,0.438316,-0.7928792879605876,0.6814143658717583,-1.2845797413025228,1.144059264094746,1.0486283921556474,50000
cooling,19,INTERPOLATED_OPERATIONAL,False,False,40.0,24.0,23.683333333333334,-0.31666666666666665,16.0,61.458232677420234,0.22082634029504633,40.22082634029505,-0.0672421557844778,-0.06911849594923578,0.4357746666666667,-0.7963257194960222,0.6792469417420923,-1.287628513934638,1.1420242462306671,1.0489408120038608,50000
cooling,20,INTERPOLATED_OPERATIONAL,False,False,40.0,24.0,23.666666666666668,-0.3333333333333333,16.0,61.526189982519185,0.22616047767255085,40.22616047767255,-0.07044480632176593,-0.0724620993046636,0.43323333333333336,-0.7997721510314567,0.6770795176124265,-1.290677286566753,1.1399892283665884,1.049253231852074,50000
cooling,21,INTERPOLATED_OPERATIONAL,False,False,40.0,24.0,23.65,-0.35,16.0,61.594147287618135,0.23149461505005536,40.23149461505006,-0.07364745685905406,-0.07580570266009141,0.430692,-0.8032185825668913,0.6749120934827605,-1.2937260591988682,1.1379542105025096,1.0495656517002874,50000
cooling,22,INTERPOLATED_OPERATIONAL,False,False,40.0,24.0,23.633333333333333,-0.36666666666666664,16.0,61.662104592717085,0.23682875242755988,40.23682875242756,-0.07685010739634218,-0.07914930601551924,0.4281506666666667,-0.8066650141023258,0.6727446693530946,-1.2967748318309833,1.1359191926384309,1.0498780715485005,50000
cooling,23,INTERPOLATED_OPERATIONAL,False,False,40.0,24.0,23.616666666666667,-0.3833333333333333,16.0,61.73006189781603,0.2421628898050644,40.242162889805066,-0.08005275793363031,-0.08249290937094705,0.42560933333333334,-0.8101114456377605,0.6705772452234287,-1.2998236044630982,1.133884174774352,1.050190491396714,50000
cooling,24,INTERPOLATED_OPERATIONAL,False,False,40.0,24.0,23.6,-0.4,16.0,61.79801920291498,0.2474970271825689,40.24749702718257,-0.08325540847091843,-0.08583651272637488,0.423068,-0.813557877173195,0.6684098210937628,-1.3028723770952133,1.1318491569102733,1.0505029112449271,50000
cooling,25,INTERPOLATED_OPERATIONAL,False,False,40.0,24.0,23.583333333333332,-0.4166666666666667,16.0,61.86597650801393,0.25283116456007343,40.25283116456008,-0.08645805900820656,-0.0891801160818027,0.42052666666666666,-0.8170043087086296,0.6662423969640968,-1.3059211497273284,1.1298141390461944,1.0508153310931405,50000
cooling,26,INTERPOLATED_OPERATIONAL,False,False,40.0,24.0,23.566666666666666,-0.43333333333333335,16.0,61.93393381311288,0.2581653019375779,40.25816530193758,-0.0896607095454947,-0.09252371943723052,0.4179853333333333,-0.8204507402440642,0.664074972834431,-1.3089699223594435,1.1277791211821158,1.0511277509413537,50000
cooling,27,INTERPOLATED_OPERATIONAL,False,False,40.0,24.0,23.55,-0.45,16.0,62.00189111821183,0.26349943931508246,40.26349943931508,-0.09286336008278281,-0.09586732279265833,0.41544400000000004,-0.8238971717794987,0.661907548704765,-1.3120186949915587,1.1257441033180369,1.051440170789567,50000
cooling,28,INTERPOLATED_OPERATIONAL,False,False,40.0,24.0,23.533333333333335,-0.4666666666666667,16.0,62.06984842331077,0.26883357669258695,40.268833576692586,-0.09606601062007095,-0.09921092614808616,0.4129026666666667,-0.8273436033149333,0.6597401245750991,-1.3150674676236738,1.1237090854539582,1.0517525906377803,50000
cooling,29,INTERPOLATED_OPERATIONAL,False,False,40.0,24.0,23.516666666666666,-0.48333333333333334,16.0,62.137805728409724,0.2741677140700915,40.274167714070096,-0.09926866115735906,-0.10255452950351397,0.41036133333333336,-0.8307900348503678,0.6575727004454331,-1.3181162402557889,1.1216740675898793,1.0520650104859937,50000
cooling,30,CALIBRATED_ANCHOR,True,False,40.0,24.0,23.5,-0.5,16.0,62.205763033508674,0.279501851447596,40.2795018514476,-0.1024713116946472,-0.1058981328589418,0.40782,-0.8342364663858024,0.6554052763157673,-1.321165012887904,1.1196390497258006,1.0523774303342068,50000
cooling,31,INTERPOLATED_OPERATIONAL,False,False,40.0,24.0,23.483333333333334,-0.5166666666666667,16.0,62.259717944521405,0.2761008847652822,40.276100884765285,-0.1058245352179623,-0.10898283374565927,0.40559866666666666,-0.8393675935430756,0.6519252365865513,-1.3244766530075687,1.1169277443326464,1.0522370227128899,50000
cooling,32,INTERPOLATED_OPERATIONAL,False,False,40.0,24.0,23.466666666666665,-0.5333333333333333,16.0,62.313672855534136,0.2726999180829685,40.27269991808297,-0.10917775874127739,-0.11206753463237674,0.40337733333333337,-0.8444987207003487,0.6484451968573355,-1.3277882931272331,1.1142164389394922,1.052096615091573,50000
cooling,33,INTERPOLATED_OPERATIONAL,False,False,40.0,24.0,23.45,-0.55,16.0,62.36762776654686,0.26929895140065474,40.26929895140066,-0.11253098226459249,-0.1151522355190942,0.401156,-0.849629847857622,0.6449651571281195,-1.3310999332468978,1.111505133546338,1.051956207470256,50000
cooling,34,INTERPOLATED_OPERATIONAL,False,False,40.0,24.0,23.433333333333334,-0.5666666666666667,16.0,62.42158267755959,0.26589798471834103,40.26589798471834,-0.11588420578790759,-0.11823693640581168,0.39893466666666666,-0.8547609750148951,0.6414851173989036,-1.3344115733665625,1.1087938281531837,1.0518157998489392,50000
cooling,35,INTERPOLATED_OPERATIONAL,False,False,40.0,24.0,23.416666666666668,-0.5833333333333334,16.0,62.47553758857232,0.26249701803602726,40.26249701803603,-0.11923742931122268,-0.12132163729252915,0.39671333333333336,-0.8598921021721683,0.6380050776696876,-1.337723213486227,1.1060825227600295,1.0516753922276223,50000
cooling,36,INTERPOLATED_OPERATIONAL,False,False,40.0,24.0,23.4,-0.6,16.0,62.529492499585054,0.2590960513537135,40.259096051353715,-0.12259065283453778,-0.12440633817924662,0.394492,-0.8650232293294414,0.6345250379404718,-1.3410348536058916,1.1033712173668755,1.0515349846063053,50000
cooling,37,INTERPOLATED_OPERATIONAL,False,False,40.0,24.0,23.383333333333333,-0.6166666666666667,16.0,62.58344741059778,0.2556950846713998,40.2556950846714,-0.12594387635785287,-0.1274910390659641,0.39227066666666666,-0.8701543564867146,0.6310449982112558,-1.3443464937255563,1.1006599119737213,1.0513945769849884,50000
cooling,38,INTERPOLATED_OPERATIONAL,False,False,40.0,24.0,23.366666666666667,-0.6333333333333333,16.0,62.63740232161051,0.252294117989086,40.25229411798909,-0.12929709988116797,-0.13057573995268157,0.39004933333333336,-0.8752854836439878,0.6275649584820399,-1.3476581338452207,1.097948606580567,1.0512541693636714,50000
cooling,39,INTERPOLATED_OPERATIONAL,False,False,40.0,24.0,23.35,-0.65,16.0,62.69135723262324,0.24889315130677228,40.248893151306774,-0.13265032340448307,-0.13366044083939904,0.387828,-0.880416610801261,0.6240849187528239,-1.3509697739648854,1.0952373011874128,1.0511137617423545,50000
cooling,40,INTERPOLATED_OPERATIONAL,False,False,40.0,24.0,23.333333333333332,-0.6666666666666666,16.0,62.74531214363597,0.24549218462445854,40.24549218462446,-0.13600354692779817,-0.1367451417261165,0.38560666666666665,-0.8855477379585341,0.6206048790236081,-1.35428141408455,1.0925259957942586,1.0509733541210378,50000
cooling,41,INTERPOLATED_OPERATIONAL,False,False,40.0,24.0,23.316666666666666,-0.6833333333333333,16.0,62.799267054648695,0.2420912179421448,40.242091217942146,-0.13935677045111325,-0.13982984261283396,0.38338533333333336,-0.8906788651158073,0.6171248392943921,-1.3575930542042145,1.0898146904011043,1.0508329464997208,50000
cooling,42,INTERPOLATED_OPERATIONAL,False,False,40.0,24.0,23.3,-0.7,16.0,62.853221965661426,0.23869025125983107,40.23869025125983,-0.14270999397442835,-0.14291454349955143,0.381164,-0.8958099922730804,0.6136447995651761,-1.3609046943238792,1.0871033850079501,1.0506925388784039,50000
cooling,43,INTERPOLATED_OPERATIONAL,False,False,40.0,24.0,23.283333333333335,-0.7166666666666667,16.0,62.90717687667416,0.23528928457751733,40.23528928457752,-0.14606321749774345,-0.1459992443862689,0.37894266666666665,-0.9009411194303537,0.6101647598359602,-1.3642163344435438,1.084392079614796,1.050552131257087,50000
cooling,44,INTERPOLATED_OPERATIONAL,False,False,40.0,24.0,23.266666666666666,-0.7333333333333333,16.0,62.96113178768689,0.2318883178952036,40.231888317895205,-0.14941644102105855,-0.14908394527298638,0.37672133333333335,-0.9060722465876269,0.6066847201067443,-1.3675279745632083,1.0816807742216417,1.05041172363577,50000
cooling,45,INTERPOLATED_OPERATIONAL,False,False,40.0,24.0,23.25,-0.75,16.0,63.01508669869961,0.22848735121288982,40.22848735121289,-0.15276966454437366,-0.15216864615970385,0.3745,-0.9112033737449,0.6032046803775284,-1.370839614682873,1.0789694688284874,1.050271316014453,50000
