scenario,horizon_min,field,pass,source_value,curve_value
cooling,15,expected_delta_speed_mph,True,-0.0544315536353253,-0.0544315536353253
cooling,15,median_delta_speed_mph,True,-0.0557440825275245,-0.0557440825275245
cooling,15,p_improve,True,0.44594,0.44594
cooling,15,lower_80_mph,True,-0.7825399933542839,-0.7825399933542839
cooling,15,upper_80_mph,True,0.687916638260756,0.687916638260756
cooling,15,lower_90_mph,True,-1.2754334234061775,-1.2754334234061775
cooling,15,upper_90_mph,True,1.1501643176869822,1.1501643176869822
cooling,15,expected_delta_track_c,True,0.1994897907850283,0.1994897907850283
cooling,30,expected_delta_speed_mph,True,-0.1024713116946472,-0.1024713116946472
cooling,30,median_delta_speed_mph,True,-0.1058981328589418,-0.1058981328589418
cooling,30,p_improve,True,0.40782,0.40782
cooling,30,lower_80_mph,True,-0.8342364663858024,-0.8342364663858024
cooling,30,upper_80_mph,True,0.6554052763157673,0.6554052763157673
cooling,30,lower_90_mph,True,-1.321165012887904,-1.321165012887904
cooling,30,upper_90_mph,True,1.1196390497258006,1.1196390497258006
cooling,30,expected_delta_track_c,True,0.279501851447596,0.279501851447596
cooling,60,expected_delta_speed_mph,True,-0.2030680173941001,-0.2030680173941001
cooling,60,median_delta_speed_mph,True,-0.1984391594604659,-0.1984391594604659
cooling,60,p_improve,True,0.34118,0.34118
cooling,60,lower_80_mph,True,-0.9881702811039976,-0.9881702811039976
cooling,60,upper_80_mph,True,0.5510040844392895,0.5510040844392895
cooling,60,lower_90_mph,True,-1.420514216477842,-1.420514216477842
cooling,60,upper_90_mph,True,1.0382998879311744,1.0382998879311744
cooling,60,expected_delta_track_c,True,0.1774728509781837,0.1774728509781837
cooling,90,expected_delta_speed_mph,True,-0.291977450324143,-0.291977450324143
cooling,90,median_delta_speed_mph,True,-0.2826900876288543,-0.2826900876288543
cooling,90,p_improve,True,0.28572,0.28572
cooling,90,lower_80_mph,True,-1.1091099950336294,-1.1091099950336294
cooling,90,upper_80_mph,True,0.456295750249504,0.456295750249504
cooling,90,lower_90_mph,True,-1.5375762587148756,-1.5375762587148756
cooling,90,upper_90_mph,True,0.9656016698969422,0.9656016698969422
cooling,90,expected_delta_track_c,True,-0.1848401332071718,-0.1848401332071718
cooling,120,expected_delta_speed_mph,True,-0.3592740877189221,-0.3592740877189221
cooling,120,median_delta_speed_mph,True,-0.3463084217157283,-0.3463084217157283
cooling,120,p_improve,True,0.24878,0.24878
cooling,120,lower_80_mph,True,-1.201031979738122,-1.201031979738122
cooling,120,upper_80_mph,True,0.3956626664466717,0.3956626664466717
cooling,120,lower_90_mph,True,-1.6204351185388266,-1.6204351185388266
cooling,120,upper_90_mph,True,0.9087420311955456,0.9087420311955456
cooling,120,expected_delta_track_c,True,-1.0803211094256815,-1.0803211094256815
neutral,15,expected_delta_speed_mph,True,-0.0201941561864349,-0.0201941561864349
