year,driver_name,source_path,source_type,line_or_row,speed_hits_mph,lap_time_hits_s,context,evidence_score
2021,Charlie Kimball,weather/output/official_day1_report_text_term_hits_v1.csv,csv,143,227.283;228.013;227.410;227.283;227.053;225.496,39.5355;39.5750;39.6273;39.6553;38.3931;39.4082;39.4810;39.4974;39.4994;39.5314;39.6208;39.5355;39.5750;39.6273;39.6553;38.3931;39.6135;39.6631;39.2952;39.9568;39.9035;40.4927;39.6482,"year=2021 | session_id=5838 | report_index=01 | report_type=Results | pdf_path=weather/evidence/rescue/official_day1_session_details/reports_v2/2021_5838_01_Results.pdf | text_path=weather/evidence/rescue/official_day1_session_details/report_text_v1/2021_5838_01_Results.txt | term=attempt | line_number=64 | line_text=57    75   Enerson, RC            D/C/F    39.5355     39.5750    39.6273    39.6553    02:38.3931     227.283       Day 1      Failed Attempt | context=62:  55    16   De Silvestro, Simona   D/C/F    39.4082     39.4810    39.4974    39.4994    02:37.8860     228.013       Day 1      Failed Attempt || 63:  56    75   Enerson, RC            D/C/F    39.5314     39.6208     0.0000     0.0000    01:19.1522     227.410       Day 1        Waved Off || 64:  57    75   Enerson, RC            D/C/F    39.5355     39.5750    39.6273    39.6553    02:38.3931     227.283       Day 1      Failed Attempt || 65:  58    11   Kimball, Charlie       D/C/F    39.6135     39.6631     0.0000     0.0000    01:19.2766     227.053       Day 1        Waved Off || 66:  59    60   Harvey, Jack           D/H/F    39.2952     39.9568    39.9035    40.4927    02:39.6482     225.496       Day 1          Bumped",11
2021,Charlie Kimball,weather/output/official_day1_report_text_term_hits_v1.csv,csv,149,225.496;227.283;227.053;225.496;230.565,39.2952;39.9568;39.9035;40.4927;39.6482;39.5355;39.5750;39.6273;39.6553;38.3931;39.6135;39.6631;39.2952;39.9568;39.9035;40.4927;39.6482,"year=2021 | session_id=5838 | report_index=01 | report_type=Results | pdf_path=weather/evidence/rescue/official_day1_session_details/reports_v2/2021_5838_01_Results.pdf | text_path=weather/evidence/rescue/official_day1_session_details/report_text_v1/2021_5838_01_Results.txt | term=bump | line_number=66 | line_text=59    60   Harvey, Jack           D/H/F    39.2952     39.9568    39.9035    40.4927    02:39.6482     225.496       Day 1          Bumped | context=64:  57    75   Enerson, RC            D/C/F    39.5355     39.5750    39.6273    39.6553    02:38.3931     227.283       Day 1      Failed Attempt || 65:  58    11   Kimball, Charlie       D/C/F    39.6135     39.6631     0.0000     0.0000    01:19.2766     227.053       Day 1        Waved Off || 66:  59    60   Harvey, Jack           D/H/F    39.2952     39.9568    39.9035    40.4927    02:39.6482     225.496       Day 1          Bumped || 67:  || 68:                                                       Field Average: 230.565 mph",11
2021,Charlie Kimball,weather/output/official_day1_report_text_term_hits_v1.csv,csv,154,228.880;229.052;229.016;228.880;228.453;228.401,39.3219;39.3219;39.2087;39.2780;39.3620;39.3211;39.1864;39.4108;39.3219;39.3219;39.1826;39.6081;39.3012;39.3831;39.4362;39.4968,"year=2021 | session_id=5838 | report_index=01 | report_type=Results | pdf_path=weather/evidence/rescue/official_day1_session_details/reports_v2/2021_5838_01_Results.pdf | text_path=weather/evidence/rescue/official_day1_session_details/report_text_v1/2021_5838_01_Results.txt | term=waved | line_number=57 | line_text=50    24   Karam, Sage            D/C/F    39.3219      0.0000     0.0000     0.0000    00:39.3219     228.880       Day 1        Waved Off | context=55:  48    12   Power, Will            D/C/F    39.2087     39.2780    39.3620    39.3211    02:37.1698     229.052       Day 1          Bumped || 56:  49    24   Karam, Sage            D/C/F    39.1864     39.4108     0.0000     0.0000    01:18.5972     229.016       Day 1        Waved Off || 57:  50    24   Karam, Sage            D/C/F    39.3219      0.0000     0.0000     0.0000    00:39.3219     228.880       Day 1        Waved Off || 58:  51    06   Castroneves, Helio     D/H/F    39.1826     39.6081     0.0000     0.0000    01:18.7907     228.453       Day 1        Waved Off || 59:  52    11   Kimball, Charlie       D/C/F    39.3012     39.3831    39.4362    39.4968    02:37.6173     228.401       Day 1      Failed Attempt",11
2021,Charlie Kimball,weather/output/official_day1_report_text_term_hits_v1.csv,csv,155,228.453;229.016;228.880;228.453;228.401;228.395,39.1826;39.6081;39.1864;39.4108;39.3219;39.3219;39.1826;39.6081;39.3012;39.3831;39.4362;39.4968;39.0962;39.3756;39.4229;39.7267,"year=2021 | session_id=5838 | report_index=01 | report_type=Results | pdf_path=weather/evidence/rescue/official_day1_session_details/reports_v2/2021_5838_01_Results.pdf | text_path=weather/evidence/rescue/official_day1_session_details/report_text_v1/2021_5838_01_Results.txt | term=waved | line_number=58 | line_text=51    06   Castroneves, Helio     D/H/F    39.1826     39.6081     0.0000     0.0000    01:18.7907     228.453       Day 1        Waved Off | context=56:  49    24   Karam, Sage            D/C/F    39.1864     39.4108     0.0000     0.0000    01:18.5972     229.016       Day 1        Waved Off || 57:  50    24   Karam, Sage            D/C/F    39.3219      0.0000     0.0000     0.0000    00:39.3219     228.880       Day 1        Waved Off || 58:  51    06   Castroneves, Helio     D/H/F    39.1826     39.6081     0.0000     0.0000    01:18.7907     228.453       Day 1        Waved Off || 59:  52    11   Kimball, Charlie       D/C/F    39.3012     39.3831    39.4362    39.4968    02:37.6173     228.401       Day 1      Failed Attempt || 60:  53    16   De Silvestro, Simona   D/C/F    39.0962     39.3756    39.4229    39.7267    02:37.6214     228.395       Day 1      Failed Attempt",11
2021,Charlie Kimball,weather/output/official_day1_report_text_term_hits_v1.csv,csv,156,227.410;228.173;228.013;227.410;227.283;227.053,39.5314;39.6208;39.2807;39.3708;39.4342;39.6892;39.4082;39.4810;39.4974;39.4994;39.5314;39.6208;39.5355;39.5750;39.6273;39.6553;38.3931;39.6135;39.6631,"year=2021 | session_id=5838 | report_index=01 | report_type=Results | pdf_path=weather/evidence/rescue/official_day1_session_details/reports_v2/2021_5838_01_Results.pdf | text_path=weather/evidence/rescue/official_day1_session_details/report_text_v1/2021_5838_01_Results.txt | term=waved | line_number=63 | line_text=56    75   Enerson, RC            D/C/F    39.5314     39.6208     0.0000     0.0000    01:19.1522     227.410       Day 1        Waved Off | context=61:  54    16   De Silvestro, Simona   D/C/F    39.2807     39.3708    39.4342    39.6892    02:37.7749     228.173       Day 1      Failed Attempt || 62:  55    16   De Silvestro, Simona   D/C/F    39.4082     39.4810    39.4974    39.4994    02:37.8860     228.013       Day 1      Failed Attempt || 63:  56    75   Enerson, RC            D/C/F    39.5314     39.6208     0.0000     0.0000    01:19.1522     227.410       Day 1        Waved Off || 64:  57    75   Enerson, RC            D/C/F    39.5355     39.5750    39.6273    39.6553    02:38.3931     227.283       Day 1      Failed Attempt || 65:  58    11   Kimball, Charlie       D/C/F    39.6135     39.6631     0.0000     0.0000    01:19.2766     227.053       Day 1        Waved Off",11
2021,Charlie Kimball,weather/output/official_day1_report_text_term_hits_v1.csv,csv,157,227.053;227.410;227.283;227.053;225.496,39.6135;39.6631;39.5314;39.6208;39.5355;39.5750;39.6273;39.6553;38.3931;39.6135;39.6631;39.2952;39.9568;39.9035;40.4927;39.6482,"year=2021 | session_id=5838 | report_index=01 | report_type=Results | pdf_path=weather/evidence/rescue/official_day1_session_details/reports_v2/2021_5838_01_Results.pdf | text_path=weather/evidence/rescue/official_day1_session_details/report_text_v1/2021_5838_01_Results.txt | term=waved | line_number=65 | line_text=58    11   Kimball, Charlie       D/C/F    39.6135     39.6631     0.0000     0.0000    01:19.2766     227.053       Day 1        Waved Off | context=63:  56    75   Enerson, RC            D/C/F    39.5314     39.6208     0.0000     0.0000    01:19.1522     227.410       Day 1        Waved Off || 64:  57    75   Enerson, RC            D/C/F    39.5355     39.5750    39.6273    39.6553    02:38.3931     227.283       Day 1      Failed Attempt || 65:  58    11   Kimball, Charlie       D/C/F    39.6135     39.6631     0.0000     0.0000    01:19.2766     227.053       Day 1        Waved Off || 66:  59    60   Harvey, Jack           D/H/F    39.2952     39.9568    39.9035    40.4927    02:39.6482     225.496       Day 1          Bumped || 67: ",11
2021,Charlie Kimball,weather/output/official_day1_report_text_term_hits_v1.csv,csv,162,228.880;229.052;229.016;228.880;228.453;228.401,39.3219;39.3219;39.2087;39.2780;39.3620;39.3211;39.1864;39.4108;39.3219;39.3219;39.1826;39.6081;39.3012;39.3831;39.4362;39.4968,"year=2021 | session_id=5838 | report_index=01 | report_type=Results | pdf_path=weather/evidence/rescue/official_day1_session_details/reports_v2/2021_5838_01_Results.pdf | text_path=weather/evidence/rescue/official_day1_session_details/report_text_v1/2021_5838_01_Results.txt | term=waved off | line_number=57 | line_text=50    24   Karam, Sage            D/C/F    39.3219      0.0000     0.0000     0.0000    00:39.3219     228.880       Day 1        Waved Off | context=55:  48    12   Power, Will            D/C/F    39.2087     39.2780    39.3620    39.3211    02:37.1698     229.052       Day 1          Bumped || 56:  49    24   Karam, Sage            D/C/F    39.1864     39.4108     0.0000     0.0000    01:18.5972     229.016       Day 1        Waved Off || 57:  50    24   Karam, Sage            D/C/F    39.3219      0.0000     0.0000     0.0000    00:39.3219     228.880       Day 1        Waved Off || 58:  51    06   Castroneves, Helio     D/H/F    39.1826     39.6081     0.0000     0.0000    01:18.7907     228.453       Day 1        Waved Off || 59:  52    11   Kimball, Charlie       D/C/F    39.3012     39.3831    39.4362    39.4968    02:37.6173     228.401       Day 1      Failed Attempt",11
2021,Charlie Kimball,weather/output/official_day1_report_text_term_hits_v1.csv,csv,163,228.453;229.016;228.880;228.453;228.401;228.395,39.1826;39.6081;39.1864;39.4108;39.3219;39.3219;39.1826;39.6081;39.3012;39.3831;39.4362;39.4968;39.0962;39.3756;39.4229;39.7267,"year=2021 | session_id=5838 | report_index=01 | report_type=Results | pdf_path=weather/evidence/rescue/official_day1_session_details/reports_v2/2021_5838_01_Results.pdf | text_path=weather/evidence/rescue/official_day1_session_details/report_text_v1/2021_5838_01_Results.txt | term=waved off | line_number=58 | line_text=51    06   Castroneves, Helio     D/H/F    39.1826     39.6081     0.0000     0.0000    01:18.7907     228.453       Day 1        Waved Off | context=56:  49    24   Karam, Sage            D/C/F    39.1864     39.4108     0.0000     0.0000    01:18.5972     229.016       Day 1        Waved Off || 57:  50    24   Karam, Sage            D/C/F    39.3219      0.0000     0.0000     0.0000    00:39.3219     228.880       Day 1        Waved Off || 58:  51    06   Castroneves, Helio     D/H/F    39.1826     39.6081     0.0000     0.0000    01:18.7907     228.453       Day 1        Waved Off || 59:  52    11   Kimball, Charlie       D/C/F    39.3012     39.3831    39.4362    39.4968    02:37.6173     228.401       Day 1      Failed Attempt || 60:  53    16   De Silvestro, Simona   D/C/F    39.0962     39.3756    39.4229    39.7267    02:37.6214     228.395       Day 1      Failed Attempt",11
2021,Charlie Kimball,weather/output/official_day1_report_text_term_hits_v1.csv,csv,164,227.410;228.173;228.013;227.410;227.283;227.053,39.5314;39.6208;39.2807;39.3708;39.4342;39.6892;39.4082;39.4810;39.4974;39.4994;39.5314;39.6208;39.5355;39.5750;39.6273;39.6553;38.3931;39.6135;39.6631,"year=2021 | session_id=5838 | report_index=01 | report_type=Results | pdf_path=weather/evidence/rescue/official_day1_session_details/reports_v2/2021_5838_01_Results.pdf | text_path=weather/evidence/rescue/official_day1_session_details/report_text_v1/2021_5838_01_Results.txt | term=waved off | line_number=63 | line_text=56    75   Enerson, RC            D/C/F    39.5314     39.6208     0.0000     0.0000    01:19.1522     227.410       Day 1        Waved Off | context=61:  54    16   De Silvestro, Simona   D/C/F    39.2807     39.3708    39.4342    39.6892    02:37.7749     228.173       Day 1      Failed Attempt || 62:  55    16   De Silvestro, Simona   D/C/F    39.4082     39.4810    39.4974    39.4994    02:37.8860     228.013       Day 1      Failed Attempt || 63:  56    75   Enerson, RC            D/C/F    39.5314     39.6208     0.0000     0.0000    01:19.1522     227.410       Day 1        Waved Off || 64:  57    75   Enerson, RC            D/C/F    39.5355     39.5750    39.6273    39.6553    02:38.3931     227.283       Day 1      Failed Attempt || 65:  58    11   Kimball, Charlie       D/C/F    39.6135     39.6631     0.0000     0.0000    01:19.2766     227.053       Day 1        Waved Off",11
2021,Charlie Kimball,weather/output/official_day1_report_text_term_hits_v1.csv,csv,165,227.053;227.410;227.283;227.053;225.496,39.6135;39.6631;39.5314;39.6208;39.5355;39.5750;39.6273;39.6553;38.3931;39.6135;39.6631;39.2952;39.9568;39.9035;40.4927;39.6482,"year=2021 | session_id=5838 | report_index=01 | report_type=Results | pdf_path=weather/evidence/rescue/official_day1_session_details/reports_v2/2021_5838_01_Results.pdf | text_path=weather/evidence/rescue/official_day1_session_details/report_text_v1/2021_5838_01_Results.txt | term=waved off | line_number=65 | line_text=58    11   Kimball, Charlie       D/C/F    39.6135     39.6631     0.0000     0.0000    01:19.2766     227.053       Day 1        Waved Off | context=63:  56    75   Enerson, RC            D/C/F    39.5314     39.6208     0.0000     0.0000    01:19.1522     227.410       Day 1        Waved Off || 64:  57    75   Enerson, RC            D/C/F    39.5355     39.5750    39.6273    39.6553    02:38.3931     227.283       Day 1      Failed Attempt || 65:  58    11   Kimball, Charlie       D/C/F    39.6135     39.6631     0.0000     0.0000    01:19.2766     227.053       Day 1        Waved Off || 66:  59    60   Harvey, Jack           D/H/F    39.2952     39.9568    39.9035    40.4927    02:39.6482     225.496       Day 1          Bumped || 67: ",11
