core_row,year,car_number,driver_name,delta_speed_mph,before_attempt_id,after_attempt_id,frozen_environment_exact_pair_count,frozen_environment__delta_ptsc_wind,frozen_environment__delta_forecast_wind_speed_10m_ms,frozen_environment__delta_forecast_gust_ms,frozen_environment__before_time_utc,frozen_environment__after_time_utc,frozen_environment__before_time_class,frozen_environment__after_time_class,r5_2_repeat_analysis_exact_pair_count,r5_2_repeat_analysis__delta_ptsc_wind,r5_2_repeat_analysis__delta_forecast_wind_speed_10m_ms,r5_2_repeat_analysis__delta_forecast_gust_ms,r5_2_repeat_analysis__delta_wind_speed_ms,r5_2_repeat_analysis__delta_gust_ms,r5_2_repeat_analysis__delta_wind_direction_deg,r5_2_repeat_analysis__delta_wind_u_ms,r5_2_repeat_analysis__delta_wind_v_ms,r5_2_repeat_analysis__previous_wind_speed_ms,r5_2_repeat_analysis__next_wind_speed_ms,r5_2_repeat_analysis__previous_gust_ms,r5_2_repeat_analysis__next_gust_ms,r5_2_repeat_analysis__before_time_utc,r5_2_repeat_analysis__after_time_utc,r5_2_repeat_analysis__before_time_class,r5_2_repeat_analysis__after_time_class,r5_2_repeat_analysis__analysis_source,r5c_same_car_exact_pair_count,r5c_same_car__delta_wind_speed_ms,r5c_same_car__delta_gust_ms,r5c_same_car__delta_wind_direction_deg,r5c_same_car__before_time_utc,r5c_same_car__after_time_utc
10,2020,9,Scott Dixon,0.102,33a57398-b346-53e3-b5e5-369a3ca71efc,b4a08fbf-93db-50a2-9416-96b3b9d1b41a,1,-2.95,-0.148767,0.100728,2020-08-15T18:00:45Z,2020-08-15T19:15:00Z,APPROXIMATE_POINT,APPROXIMATE_POINT,1,-2.95,-0.148767,0.100728,-0.1487665734,0.1007280825,-71.85092092,0.6533786389,-0.2158568117,0.6517202647,0.5029536912,1.368391869,1.469119951,2020-08-15T18:00:45Z,2020-08-15T19:15:00Z,APPROXIMATE_POINT,APPROXIMATE_POINT,FROZEN_39,1,-0.1487665734,0.1007280825,-71.85092092,2020-08-15T18:00:45Z,2020-08-15T19:15:00Z
11,2021,12,Will Power,0.176,6992580a-0371-5eda-b01d-2adaca099ff4,5aa71106-e201-5143-bb9a-21ccf4063a9e,1,0.42,-0.370826,-1.272302,2021-05-22T17:21:36Z,2021-05-22T21:33:54Z,APPROXIMATE_POINT,APPROXIMATE_POINT,1,0.42,-0.370826,-1.272302,-0.3708256364,-1.272301754,45.20706422,0.502183794,-2.386910033,3.327090728,2.956265092,5.288500539,4.016198785,2021-05-22T17:21:36Z,2021-05-22T21:33:54Z,APPROXIMATE_POINT,APPROXIMATE_POINT,FROZEN_39,1,-0.3708256364,-1.272301754,45.20706422,2021-05-22T17:21:36Z,2021-05-22T21:33:54Z
12,2021,16,Simona De Silvestro,0.222,8f660bff-74bd-551e-9007-95b730f87e7d,adc26df0-920d-5dc7-a952-03b3fb57700a,1,0.985556,-0.577417,-1.053971,2021-05-22T18:26:36Z,2021-05-22T21:30:13Z,APPROXIMATE_POINT,APPROXIMATE_POINT,1,0.985556,-0.577417,-1.053971,-0.5774169199,-1.05397137,12.09770864,-0.5416415045,-0.7087405306,3.527704939,2.950288019,5.0904424,4.036471031,2021-05-22T18:26:36Z,2021-05-22T21:30:13Z,APPROXIMATE_POINT,APPROXIMATE_POINT,FROZEN_39,1,-0.5774169199,-1.05397137,12.09770864,2021-05-22T18:26:36Z,2021-05-22T21:30:13Z
13,2021,18,Ed Jones,0.798,4e9e7c88-ddeb-5840-93be-4f539f6eaf04,4085390f-e83a-5315-8def-464aeb920059,1,-0.342222,0.952904,-0.03059,2021-05-22T16:19:56Z,2021-05-22T21:07:57Z,APPROXIMATE_POINT,APPROXIMATE_POINT,1,-0.342222,0.952904,-0.03059,0.9529041141,-0.03058961784,50.77111699,2.101384546,-1.33422919,2.247504509,3.200408623,4.639739174,4.609149557,2021-05-22T16:19:56Z,2021-05-22T21:07:57Z,APPROXIMATE_POINT,APPROXIMATE_POINT,FROZEN_39,1,0.9529041141,-0.03058961784,50.77111699,2021-05-22T16:19:56Z,2021-05-22T21:07:57Z
14,2021,2,Josef Newgarden,0.022,c4c9ba22-d28c-5937-b36c-72fffbbb67b5,2493785c-dc47-5ba6-8d28-5398e7a11983,1,0.393333,0.201611,-0.628702,2021-05-22T16:39:06Z,2021-05-22T18:44:56Z,APPROXIMATE_POINT,APPROXIMATE_POINT,1,0.393333,0.201611,-0.628702,0.2016107091,-0.6287017037,59.07918092,1.935634365,-2.248524867,2.902814802,3.104425511,5.59000413,4.961302427,2021-05-22T16:39:06Z,2021-05-22T18:44:56Z,APPROXIMATE_POINT,APPROXIMATE_POINT,FROZEN_39,1,0.2016107091,-0.6287017037,59.07918092,2021-05-22T16:39:06Z,2021-05-22T18:44:56Z
15,2021,21,Rinus VeeKay,0.642,407a503c-1695-5af6-9b88-28e9d802c8d1,c10dbae2-ca30-5e09-88ab-298fcf7fa163,1,0.115556,0.086876,-0.688691,2021-05-22T16:43:16Z,2021-05-22T18:49:55Z,APPROXIMATE_POINT,APPROXIMATE_POINT,1,0.115556,0.086876,-0.688691,0.08687563997,-0.688690738,55.59249691,1.748731386,-2.208898931,2.976183545,3.063059185,5.605261797,4.916571059,2021-05-22T16:43:16Z,2021-05-22T18:49:55Z,APPROXIMATE_POINT,APPROXIMATE_POINT,FROZEN_39,1,0.08687563997,-0.688690738,55.59249691,2021-05-22T16:43:16Z,2021-05-22T18:49:55Z
16,2021,25,Stefan Wilson,-0.02,8c31470a-6324-527c-bfc3-fe19d8c1dc4d,09935cc4-f542-569f-b50c-7460e0663860,1,0.991111,0.738909,0.055823,2021-05-22T16:29:56Z,2021-05-22T19:06:36Z,APPROXIMATE_POINT,APPROXIMATE_POINT,1,0.991111,0.738909,0.055823,0.738908516,0.05582314641,44.54004743,1.689714611,-1.295374722,2.290799062,3.029707578,4.752267701,4.808090847,2021-05-22T16:29:56Z,2021-05-22T19:06:36Z,APPROXIMATE_POINT,APPROXIMATE_POINT,FROZEN_39,1,0.738908516,0.05582314641,44.54004743,2021-05-22T16:29:56Z,2021-05-22T19:06:36Z
17,2021,25,Stefan Wilson,-0.062,09935cc4-f542-569f-b50c-7460e0663860,8ac7badc-828c-5c70-bbf4-d92f136c2564,1,0.0,0.215258,-0.171755,2021-05-22T19:06:36Z,2021-05-22T21:12:26Z,APPROXIMATE_POINT,APPROXIMATE_POINT,1,0.0,0.215258,-0.171755,0.21525807,-0.1717546604,-0.5193379819,0.2049144755,0.0717900965,3.029707578,3.244965648,4.808090847,4.636336187,2021-05-22T19:06:36Z,2021-05-22T21:12:26Z,APPROXIMATE_POINT,APPROXIMATE_POINT,FROZEN_39,1,0.21525807,-0.1717546604,-0.5193379819,2021-05-22T19:06:36Z,2021-05-22T21:12:26Z
18,2021,26,Colton Herta,-1.419,e9da8645-6367-51bf-8601-3670e9e76c5e,90108456-7f40-5313-a9ff-43273b65d2f0,1,1.461111,0.191325,-0.115698,2021-05-22T18:12:27Z,2021-05-22T20:25:16Z,APPROXIMATE_POINT,APPROXIMATE_POINT,1,1.461111,0.191325,-0.115698,0.1913247636,-0.1156975738,-4.056393343,0.1462729178,0.2758947447,3.392331116,3.58365588,5.146013954,5.03031638,2021-05-22T18:12:27Z,2021-05-22T20:25:16Z,APPROXIMATE_POINT,APPROXIMATE_POINT,FROZEN_39,1,0.1913247636,-0.1156975738,-4.056393343,2021-05-22T18:12:27Z,2021-05-22T20:25:16Z
19,2021,4,Dalton Kellett,-0.927,099ab32a-d351-5011-931c-148b9f3d7921,a5d8e516-48e0-58b8-ac13-213c753fc12d,1,-0.674444,-0.20812,-1.27237,2021-05-22T17:44:56Z,2021-05-22T21:46:39Z,APPROXIMATE_POINT,APPROXIMATE_POINT,1,-0.674444,-0.20812,-1.27237,-0.2081201428,-1.272369997,14.84983771,-0.1043625122,-0.8159611985,3.185075103,2.976954961,5.218395625,3.946025628,2021-05-22T17:44:56Z,2021-05-22T21:46:39Z,APPROXIMATE_POINT,APPROXIMATE_POINT,FROZEN_39,1,-0.2081201428,-1.272369997,14.84983771,2021-05-22T17:44:56Z,2021-05-22T21:46:39Z
20,2021,47,Conor Daly,-0.154,11be8bd4-5c39-5bd2-b24f-b6c87f0d885a,fb947c1e-3d51-506f-bbbc-12ecbcdce5da,1,-1.0,0.251215,-0.082653,2021-05-22T17:49:06Z,2021-05-22T19:55:55Z,APPROXIMATE_POINT,APPROXIMATE_POINT,1,-1.0,0.251215,-0.082653,0.2512151793,-0.08265251785,-3.116687233,0.1993774828,0.2370958611,3.209451813,3.460666993,5.211900448,5.12924793,2021-05-22T17:49:06Z,2021-05-22T19:55:55Z,APPROXIMATE_POINT,APPROXIMATE_POINT,FROZEN_39,1,0.2512151793,-0.08265251785,-3.116687233,2021-05-22T17:49:06Z,2021-05-22T19:55:55Z
21,2021,60,Jack Harvey,4.695,7d5d82b7-9765-51c9-b149-cb7de00d3905,8ff02437-bce9-5d86-b3c7-906d93963538,1,-1.0,-0.265414,-0.378085,2021-05-22T17:58:16Z,2021-05-22T19:02:24Z,APPROXIMATE_POINT,APPROXIMATE_POINT,1,-1.0,-0.265414,-0.378085,-0.2654135806,-0.3780845969,-3.62568489,-0.2947871582,0.1506690121,3.263080575,2.997666995,5.197611059,4.819526463,2021-05-22T17:58:16Z,2021-05-22T19:02:24Z,APPROXIMATE_POINT,APPROXIMATE_POINT,FROZEN_39,1,-0.2654135806,-0.3780845969,-3.62568489,2021-05-22T17:58:16Z,2021-05-22T19:02:24Z
22,2021,7,Felix Rosenqvist,0.246,4bfd7a23-3f35-5bcf-9655-c286d7ee30ed,595096e7-98a7-552c-a5f8-f2f3eeb54d68,1,-1.181111,0.203793,-0.541268,2021-05-22T17:35:46Z,2021-05-22T21:21:31Z,APPROXIMATE_POINT,APPROXIMATE_POINT,1,-1.181111,0.203793,-0.541268,0.2037928311,-0.5412681065,7.154114433,0.3053787948,-0.3330095752,3.131446342,3.335239173,5.232685013,4.691416907,2021-05-22T17:35:46Z,2021-05-22T21:21:31Z,APPROXIMATE_POINT,APPROXIMATE_POINT,FROZEN_39,1,0.2037928311,-0.5412681065,7.154114433,2021-05-22T17:35:46Z,2021-05-22T21:21:31Z
23,2021,86,Juan Pablo Montoya,-0.154,11bd473d-0cf3-56e2-9aa9-fb4487870c59,f39f497a-d8a0-55e6-8bd1-ef646a4f6e71,1,0.773333,-0.152316,-0.8859,2021-05-22T17:11:36Z,2021-05-22T21:02:45Z,APPROXIMATE_POINT,APPROXIMATE_POINT,1,0.773333,-0.152316,-0.8859,-0.1523161132,-0.8859001189,36.65245181,0.8954214112,-1.825333637,3.301045214,3.1487291,5.463517227,4.577617108,2021-05-22T17:11:36Z,2021-05-22T21:02:45Z,APPROXIMATE_POINT,APPROXIMATE_POINT,FROZEN_39,1,-0.1523161132,-0.8859001189,36.65245181,2021-05-22T17:11:36Z,2021-05-22T21:02:45Z
