core_row,year,car_number,driver_name,delta_speed_mph,residual_loyo_centered,before_attempt_id,after_attempt_id,linkage_source,linkage_status,previous_wind_speed_ms,next_wind_speed_ms,delta_wind_speed_ms,previous_gust_ms,next_gust_ms,delta_gust_ms,previous_wind_direction_deg,next_wind_direction_deg,delta_wind_direction_deg,previous_wind_u_ms,previous_wind_v_ms,next_wind_u_ms,next_wind_v_ms,delta_wind_u_ms,delta_wind_v_ms,delta_ptsc_wind,delta_forecast_wind_speed_10m_ms,delta_forecast_gust_ms,analysis_source,delta_four_lap_average_speed_mph,predicted_physical_delta_mph_loyo,residual_loyo_raw,residual_loyo_centered_core,abs_delta_speed_mph,abs_physics_residual_mph,abs_delta_wind_speed_ms,abs_delta_gust_ms,abs_delta_ptsc_wind,abs_delta_forecast_wind_speed_10m_ms,abs_delta_forecast_gust_ms,wind_vector_change_ms,mean_wind_speed_ms,mean_gust_ms
10,2020,9,Scott Dixon,0.102,-0.1684248066023559,33a57398-b346-53e3-b5e5-369a3ca71efc,b4a08fbf-93db-50a2-9416-96b3b9d1b41a,original_explicit_anchor,linked,0.6517202647,0.5029536912,-0.1487665734,1.368391869,1.469119951,0.1007280825,64.2902584,352.4393375,-71.85092092,-0.5872020937,-0.2827242553,0.06617654522,-0.498581067,0.6533786389,-0.2158568117,-2.95,-0.148767,0.100728,FROZEN_39,0.102,0.190852280067211,-0.088852280067211,-0.1684248066023559,0.102,0.088852280067211,0.1487665734,0.1007280825,2.95,0.148767,0.100728,0.6881117706652793,0.5773369779499999,1.41875591
11,2021,12,Will Power,0.176,0.0433431033147126,6992580a-0371-5eda-b01d-2adaca099ff4,5aa71106-e201-5143-bb9a-21ccf4063a9e,original_explicit_anchor,linked,3.327090728,2.956265092,-0.3708256364,5.288500539,4.016198785,-1.272301754,227.4470445,272.6541087,45.20706422,2.450910067,2.250016124,2.953093861,-0.1368939088,0.502183794,-2.386910033,0.42,-0.370826,-1.272302,FROZEN_39,0.176,0.0530843701501424,0.1229156298498575,0.0433431033147126,0.176,0.1229156298498575,0.3708256364,1.272301754,0.42,0.370826,1.272302,2.4391654451045945,3.1416779100000003,4.652349662000001
12,2021,16,Simona De Silvestro,0.222,0.2918458210302016,8f660bff-74bd-551e-9007-95b730f87e7d,adc26df0-920d-5dc7-a952-03b3fb57700a,original_explicit_anchor,linked,3.527704939,2.950288019,-0.5774169199,5.0904424,4.036471031,-1.05397137,261.2699805,273.3676891,12.09770864,3.486834712,0.5354305057,2.945193207,-0.1733100249,-0.5416415045,-0.7087405306,0.985556,-0.577417,-1.053971,FROZEN_39,0.222,-0.1494183475653465,0.3714183475653465,0.2918458210302016,0.222,0.3714183475653465,0.5774169199,1.05397137,0.985556,0.577417,1.053971,0.892013822265212,3.238996479,4.563456715499999
13,2021,18,Ed Jones,0.798,0.5261636980322767,4e9e7c88-ddeb-5840-93be-4f539f6eaf04,4085390f-e83a-5315-8def-464aeb920059,original_explicit_anchor,linked,2.247504509,3.200408623,0.9529041141,4.639739174,4.609149557,-0.03058961784,207.2611158,258.0322328,50.77111699,1.029461309,1.997870349,3.130845855,0.6636411594,2.101384546,-1.33422919,-0.342222,0.952904,-0.03059,FROZEN_39,0.798,0.1922637754325784,0.6057362245674216,0.5261636980322767,0.798,0.6057362245674216,0.9529041141,0.03058961784,0.342222,0.952904,0.03059,2.4891734655535123,2.723956566,4.6244443655000005
14,2021,2,Josef Newgarden,0.022,-0.3896564665988397,c4c9ba22-d28c-5937-b36c-72fffbbb67b5,2493785c-dc47-5ba6-8d28-5398e7a11983,original_explicit_anchor,linked,2.902814802,3.104425511,0.2016107091,5.59000413,4.961302427,-0.6287017037,203.1263333,262.2055142,59.07918092,1.140109039,2.669547743,3.075743404,0.4210228759,1.935634365,-2.248524867,0.393333,0.201611,-0.628702,FROZEN_39,0.022,0.3320839400636948,-0.3100839400636948,-0.3896564665988397,0.022,0.3100839400636948,0.2016107091,0.6287017037,0.393333,0.201611,0.628702,2.966908234591411,3.0036201565000002,5.2756532785
15,2021,21,Rinus VeeKay,0.642,0.2778380364767758,407a503c-1695-5af6-9b88-28e9d802c8d1,c10dbae2-ca30-5e09-88ab-298fcf7fa163,original_explicit_anchor,linked,2.976183545,3.063059185,0.08687563997,5.605261797,4.916571059,-0.688690738,205.3990661,260.9915631,55.59249691,1.276545866,2.688512441,3.025277252,0.4796135099,1.748731386,-2.208898931,0.115556,0.086876,-0.688691,FROZEN_39,0.642,0.2845894369880792,0.3574105630119207,0.2778380364767758,0.642,0.3574105630119207,0.08687563997,0.688690738,0.115556,0.086876,0.688691,2.8173207037457453,3.019621365,5.260916428
16,2021,25,Stefan Wilson,-0.02,-0.3697023639815072,8c31470a-6324-527c-bfc3-fe19d8c1dc4d,09935cc4-f542-569f-b50c-7460e0663860,original_explicit_anchor,linked,2.290799062,3.029707578,0.738908516,4.752267701,4.808090847,0.05582314641,213.9378365,258.4778839,44.54004743,1.278937317,1.900547206,2.968651928,0.6051724831,1.689714611,-1.295374722,0.991111,0.738909,0.055823,FROZEN_39,-0.02,0.2701298374463623,-0.2901298374463623,-0.3697023639815072,0.02,0.2901298374463623,0.738908516,0.05582314641,0.991111,0.738909,0.055823,2.1291151065697362,2.66025332,4.780179274
17,2021,25,Stefan Wilson,-0.062,0.0,09935cc4-f542-569f-b50c-7460e0663860,8ac7badc-828c-5c70-bbf4-d92f136c2564,original_explicit_anchor,linked,3.029707578,3.244965648,0.21525807,4.808090847,4.636336187,-0.1717546604,258.4778839,257.9585459,-0.5193379819,2.968651928,0.6051724831,3.173566404,0.6769625796,0.2049144755,0.0717900965,0.0,0.215258,-0.171755,FROZEN_39,-0.062,-0.1415725265351449,0.0795725265351449,0.0,0.062,0.0795725265351449,0.21525807,0.1717546604,0.0,0.215258,0.171755,0.21712613897207172,3.137336613,4.722213517
18,2021,26,Colton Herta,-1.419,-1.2722536368737916,e9da8645-6367-51bf-8601-3670e9e76c5e,90108456-7f40-5313-a9ff-43273b65d2f0,original_explicit_anchor,linked,3.392331116,3.58365588,0.1913247636,5.146013954,5.03031638,-0.1156975738,262.203483,258.1470897,-4.056393343,3.360972709,0.460187846,3.507245627,0.7360825907,0.1462729178,0.2758947447,1.461111,0.191325,-0.115698,FROZEN_39,-1.419,-0.2263188896613532,-1.1926811103386468,-1.2722536368737916,1.419,1.1926811103386468,0.1913247636,0.1156975738,1.461111,0.191325,0.115698,0.31227179929478704,3.487993498,5.088165167
19,2021,4,Dalton Kellett,-0.927,-0.954360860724224,099ab32a-d351-5011-931c-148b9f3d7921,a5d8e516-48e0-58b8-ac13-213c753fc12d,original_explicit_anchor,linked,3.185075103,2.976954961,-0.2081201428,5.218395625,3.946025628,-1.272369997,255.3341851,270.1840228,14.84983771,3.081302118,0.8063998207,2.976939606,-0.009561377861,-0.1043625122,-0.8159611985,-0.674444,-0.20812,-1.27237,FROZEN_39,-0.927,-0.0522116658109209,-0.8747883341890791,-0.954360860724224,0.927,0.8747883341890791,0.2081201428,1.272369997,0.674444,0.20812,1.27237,0.8226081761143951,3.081015032,4.5822106265
