year,discovery_source,EventID,EventName,Sessions
2018,recursive_event_json,3816,INDYCAR Grand Prix of Sonoma,
2018,recursive_event_json,3810,Grand Prix of Portland,
2018,recursive_event_json,3811,Bommarito Automotive Group 500,
2018,recursive_event_json,3808,ABC Supply 500,
2018,recursive_event_json,3809,Honda Indy 200 at Mid-Ohio,
2018,recursive_event_json,3814,Honda Indy Toronto,
2018,recursive_event_json,3815,Iowa Corn 300,
2018,recursive_event_json,3812,KOHLER Grand Prix,
2018,recursive_event_json,3817,DXC Technology 600,
2018,recursive_event_json,3818,Chevrolet Dual in Detroit - Race 2,
2018,recursive_event_json,3824,Chevrolet Dual in Detroit - Race 1,
2018,recursive_event_json,3822,102nd Running of the Indianapolis 500,
2018,recursive_event_json,3821,INDYCAR Grand Prix,
2018,recursive_event_json,3823,Honda Indy Grand Prix of Alabama,
2018,recursive_event_json,3820,Toyota Grand Prix of Long Beach,
2018,recursive_event_json,3819,Desert Diamond West Valley Casino Phoenix Grand Prix,
2018,recursive_event_json,3813,Firestone Grand Prix of St. Petersburg,
2019,recursive_event_json,5232,Firestone Grand Prix of Monterey,
2019,recursive_event_json,5223,Grand Prix of Portland,
2019,recursive_event_json,5217,Bommarito Automotive Group 500,
2019,recursive_event_json,5218,ABC Supply 500,
2019,recursive_event_json,5219,Honda Indy 200 at Mid-Ohio,
2019,recursive_event_json,5221,Iowa 300,
2019,recursive_event_json,5220,Honda Indy Toronto,
2019,recursive_event_json,5222,REV Group Grand Prix at Road America,
2019,recursive_event_json,5224,DXC Technology 600,
2019,recursive_event_json,5231,Chevrolet Detroit Grand Prix Race 2,
2019,recursive_event_json,5225,Chevrolet Detroit Grand Prix Race 1,
2019,recursive_event_json,5226,103rd Running of the Indianapolis 500,
2019,recursive_event_json,5227,INDYCAR Grand Prix,
2019,recursive_event_json,5229,Acura Grand Prix of Long Beach,
2019,recursive_event_json,5228,Honda Indy Grand Prix of Alabama,
2019,recursive_event_json,5230,INDYCAR Classic,
2019,recursive_event_json,5216,Firestone Grand Prix of St. Petersburg,
2025,recursive_event_json,5498,Borchetta Bourbon Music City Grand Prix,
2025,recursive_event_json,5512,Snap-on Milwaukee Mile 250,
2025,recursive_event_json,5511,BITNILE.com Grand Prix of Portland,
2025,recursive_event_json,5510,Java House Grand Prix of Monterey,
2025,recursive_event_json,5509,Ontario Honda Dealers Indy Toronto,
2025,recursive_event_json,5508,Farm to Finish 275,
2025,recursive_event_json,5507,Synk 275,
2025,recursive_event_json,5513,Honda Indy 200 at Mid-Ohio,
2025,recursive_event_json,5506,XPEL Grand Prix at Road America,
2025,recursive_event_json,5504,Bommarito Automotive Group 500,
2025,recursive_event_json,5503,Chevrolet Detroit Grand Prix,
2025,recursive_event_json,5502,109th Running of the Indianapolis 500,
2025,recursive_event_json,5501,Sonsio Grand Prix,
2025,recursive_event_json,5500,Children's of Alabama Indy Grand Prix,
2025,recursive_event_json,5499,Acura Grand Prix of Long Beach,
2025,recursive_event_json,5505,The Thermal Club INDYCAR Grand Prix,
2025,recursive_event_json,5514,Firestone Grand Prix of St. Petersburg,
2026,recursive_event_json,5519,Mission Foods Grand Prix of Monterey,
2026,recursive_event_json,5522,Snap-on Makers and Fixers 250,
2026,recursive_event_json,5521,Snap-on Milwaukee Mile 250,
2026,recursive_event_json,5549,Freedom 250 Grand Prix of Washington DC,
2026,recursive_event_json,5520,Ontario Honda Dealers Indy at Markham,
2026,recursive_event_json,5516,OnlyBulls Grand Prix of Portland,
2026,recursive_event_json,5531,Borchetta Bourbon Music City Grand Prix,
2026,recursive_event_json,5523,Honda Indy 200 at Mid-Ohio,
2026,recursive_event_json,5530,XPEL Grand Prix at Road America,
2026,recursive_event_json,5524,Bommarito Automotive Group 500,
2026,recursive_event_json,5525,Chevrolet Detroit Grand Prix,
2026,recursive_event_json,5526,110th Running of the Indianapolis 500,
2026,recursive_event_json,5527,Sonsio Grand Prix,
2026,recursive_event_json,5529,Acura Grand Prix of Long Beach,
2026,recursive_event_json,5528,Children's of Alabama Indy Grand Prix,
2026,recursive_event_json,5517,Java House Grand Prix of Arlington,
2026,recursive_event_json,5518,Good Ranchers 250,
2026,recursive_event_json,5515,Firestone Grand Prix of St. Petersburg,
