year,successful_params,EventID,EventName,Sessions
2018,"{""year"": 2018, ""id"": ""b856a4f1-e85c-4fac-8c36-fd58d962227a""}",3822,102nd Running of the Indianapolis 500,
2019,"{""year"": 2019, ""id"": ""b856a4f1-e85c-4fac-8c36-fd58d962227a""}",5226,103rd Running of the Indianapolis 500,
2025,"{""year"": 2025, ""id"": ""b856a4f1-e85c-4fac-8c36-fd58d962227a""}",5502,109th Running of the Indianapolis 500,
2026,"{""year"": 2026, ""id"": ""b856a4f1-e85c-4fac-8c36-fd58d962227a""}",5526,110th Running of the Indianapolis 500,
