year,from_utc,to_utc,gap_minutes
2019,2019-05-18 11:30:00+00:00,2019-05-18 11:45:00+00:00,15.0
2019,2019-05-18 11:45:00+00:00,2019-05-18 12:00:00+00:00,15.0
2019,2019-05-18 12:00:00+00:00,2019-05-18 12:15:00+00:00,15.0
2019,2019-05-18 12:15:00+00:00,2019-05-18 12:30:00+00:00,15.0
2019,2019-05-18 12:30:00+00:00,2019-05-18 12:45:00+00:00,15.0
2019,2019-05-18 12:45:00+00:00,2019-05-18 13:00:00+00:00,15.0
2019,2019-05-18 13:00:00+00:00,2019-05-18 13:15:00+00:00,15.0
2019,2019-05-18 13:15:00+00:00,2019-05-18 13:30:00+00:00,15.0
2019,2019-05-18 13:30:00+00:00,2019-05-18 15:00:00+00:00,90.0
2019,2019-05-18 15:00:00+00:00,2019-05-18 15:15:00+00:00,15.0
2019,2019-05-18 15:15:00+00:00,2019-05-18 15:30:00+00:00,15.0
2019,2019-05-18 15:30:00+00:00,2019-05-18 15:45:00+00:00,15.0
2019,2019-05-18 15:45:00+00:00,2019-05-18 16:00:00+00:00,15.0
2019,2019-05-18 16:00:00+00:00,2019-05-18 16:15:00+00:00,15.0
2019,2019-05-18 16:15:00+00:00,2019-05-18 16:30:00+00:00,15.0
2019,2019-05-18 16:30:00+00:00,2019-05-18 16:45:00+00:00,15.0
2019,2019-05-18 16:45:00+00:00,2019-05-18 17:00:00+00:00,15.0
2019,2019-05-18 17:00:00+00:00,2019-05-18 17:15:00+00:00,15.0
2019,2019-05-18 17:15:00+00:00,2019-05-18 17:30:00+00:00,15.0
2019,2019-05-18 17:30:00+00:00,2019-05-18 17:45:00+00:00,15.0
2019,2019-05-18 17:45:00+00:00,2019-05-18 18:00:00+00:00,15.0
2019,2019-05-18 18:00:00+00:00,2019-05-18 18:15:00+00:00,15.0
2019,2019-05-18 18:15:00+00:00,2019-05-18 18:30:00+00:00,15.0
2019,2019-05-18 18:30:00+00:00,2019-05-18 18:45:00+00:00,15.0
2019,2019-05-18 18:45:00+00:00,2019-05-18 19:00:00+00:00,15.0
2019,2019-05-18 19:00:00+00:00,2019-05-18 19:15:00+00:00,15.0
2019,2019-05-18 19:15:00+00:00,2019-05-18 19:30:00+00:00,15.0
2019,2019-05-18 19:30:00+00:00,2019-05-18 19:45:00+00:00,15.0
2019,2019-05-18 19:45:00+00:00,2019-05-18 20:00:00+00:00,15.0
2019,2019-05-18 20:00:00+00:00,2019-05-18 20:15:00+00:00,15.0
2019,2019-05-18 20:15:00+00:00,2019-05-18 20:30:00+00:00,15.0
2019,2019-05-18 20:30:00+00:00,2019-05-18 20:45:00+00:00,15.0
2019,2019-05-18 20:45:00+00:00,2019-05-18 21:00:00+00:00,15.0
2019,2019-05-18 21:00:00+00:00,2019-05-18 21:15:00+00:00,15.0
2019,2019-05-18 21:15:00+00:00,2019-05-18 21:30:00+00:00,15.0
2019,2019-05-18 21:30:00+00:00,2019-05-18 21:45:00+00:00,15.0
2019,2019-05-18 21:45:00+00:00,2019-05-18 21:50:00+00:00,5.0
2025,2025-05-17 12:15:00+00:00,2025-05-17 12:30:00+00:00,15.0
2025,2025-05-17 12:30:00+00:00,2025-05-17 12:45:00+00:00,15.0
2025,2025-05-17 12:45:00+00:00,2025-05-17 13:00:00+00:00,15.0
2025,2025-05-17 13:00:00+00:00,2025-05-17 13:15:00+00:00,15.0
2025,2025-05-17 13:15:00+00:00,2025-05-17 13:30:00+00:00,15.0
2025,2025-05-17 13:30:00+00:00,2025-05-17 14:45:00+00:00,75.0
2025,2025-05-17 14:45:00+00:00,2025-05-17 15:00:00+00:00,15.0
2025,2025-05-17 15:00:00+00:00,2025-05-17 15:15:00+00:00,15.0
2025,2025-05-17 15:15:00+00:00,2025-05-17 15:30:00+00:00,15.0
2025,2025-05-17 15:30:00+00:00,2025-05-17 15:45:00+00:00,15.0
2025,2025-05-17 15:45:00+00:00,2025-05-17 16:00:00+00:00,15.0
2025,2025-05-17 16:00:00+00:00,2025-05-17 16:15:00+00:00,15.0
2025,2025-05-17 16:15:00+00:00,2025-05-17 16:30:00+00:00,15.0
2025,2025-05-17 16:30:00+00:00,2025-05-17 16:45:00+00:00,15.0
2025,2025-05-17 16:45:00+00:00,2025-05-17 17:00:00+00:00,15.0
2025,2025-05-17 17:00:00+00:00,2025-05-17 17:15:00+00:00,15.0
2025,2025-05-17 17:15:00+00:00,2025-05-17 17:30:00+00:00,15.0
2025,2025-05-17 17:30:00+00:00,2025-05-17 17:45:00+00:00,15.0
2025,2025-05-17 17:45:00+00:00,2025-05-17 18:00:00+00:00,15.0
2025,2025-05-17 18:00:00+00:00,2025-05-17 18:15:00+00:00,15.0
2025,2025-05-17 18:15:00+00:00,2025-05-17 18:30:00+00:00,15.0
2025,2025-05-17 18:30:00+00:00,2025-05-17 18:45:00+00:00,15.0
2025,2025-05-17 18:45:00+00:00,2025-05-17 19:00:00+00:00,15.0
2025,2025-05-17 19:00:00+00:00,2025-05-17 19:15:00+00:00,15.0
2025,2025-05-17 19:15:00+00:00,2025-05-17 19:30:00+00:00,15.0
2025,2025-05-17 19:30:00+00:00,2025-05-17 19:45:00+00:00,15.0
2025,2025-05-17 19:45:00+00:00,2025-05-17 20:00:00+00:00,15.0
2025,2025-05-17 20:00:00+00:00,2025-05-17 20:15:00+00:00,15.0
2025,2025-05-17 20:15:00+00:00,2025-05-17 20:30:00+00:00,15.0
2025,2025-05-17 20:30:00+00:00,2025-05-17 20:45:00+00:00,15.0
2025,2025-05-17 20:45:00+00:00,2025-05-17 21:00:00+00:00,15.0
2025,2025-05-17 21:00:00+00:00,2025-05-17 21:15:00+00:00,15.0
2025,2025-05-17 21:15:00+00:00,2025-05-17 21:30:00+00:00,15.0
2025,2025-05-17 21:30:00+00:00,2025-05-17 21:45:00+00:00,15.0
