year,observations,first_local,last_local,first_utc,last_utc,ambient_nonnull,track_nonnull,wind_nonnull,median_gap_minutes,max_gap_minutes
2019,38,2019-05-18 07:30:00,2019-05-18 17:50:00,2019-05-18 11:30:00+00:00,2019-05-18 21:50:00+00:00,38,38,38,15.0,90.0
2025,35,2025-05-17 08:15:00,2025-05-17 17:45:00,2025-05-17 12:15:00+00:00,2025-05-17 21:45:00+00:00,35,35,35,15.0,75.0
