year,datetime_local,ambient_f,track_f,humidity_raw,wind_raw,wind_direction,pressure_raw,source_sheet,ambient_c,track_c,datetime_indianapolis,datetime_utc,observation_index
2019,2019-05-18 07:30:00,65,68,0.86,3,SW,29.13,2019 Temp Archive,18.333333333333332,20.0,2019-05-18 07:30:00-04:00,2019-05-18 11:30:00+00:00,1
2019,2019-05-18 07:45:00,65,68,0.86,3,SW,29.13,2019 Temp Archive,18.333333333333332,20.0,2019-05-18 07:45:00-04:00,2019-05-18 11:45:00+00:00,2
2019,2019-05-18 08:00:00,67,70,0.84,1,SSE,29.13,2019 Temp Archive,19.444444444444443,21.11111111111111,2019-05-18 08:00:00-04:00,2019-05-18 12:00:00+00:00,3
2019,2019-05-18 08:15:00,68,72,0.82,1,SSE,29.14,2019 Temp Archive,20.0,22.22222222222222,2019-05-18 08:15:00-04:00,2019-05-18 12:15:00+00:00,4
2019,2019-05-18 08:30:00,70,74,0.8,2,SE,29.14,2019 Temp Archive,21.11111111111111,23.333333333333332,2019-05-18 08:30:00-04:00,2019-05-18 12:30:00+00:00,5
2019,2019-05-18 08:45:00,72,76,0.76,0,,29.14,2019 Temp Archive,22.22222222222222,24.444444444444443,2019-05-18 08:45:00-04:00,2019-05-18 12:45:00+00:00,6
2019,2019-05-18 09:00:00,73,78,0.74,1,ESE,29.14,2019 Temp Archive,22.77777777777778,25.555555555555557,2019-05-18 09:00:00-04:00,2019-05-18 13:00:00+00:00,7
2019,2019-05-18 09:15:00,74,80,0.72,1,SSE,29.14,2019 Temp Archive,23.333333333333332,26.666666666666668,2019-05-18 09:15:00-04:00,2019-05-18 13:15:00+00:00,8
2019,2019-05-18 09:30:00,75,82,0.7,2,SE,29.14,2019 Temp Archive,23.88888888888889,27.77777777777778,2019-05-18 09:30:00-04:00,2019-05-18 13:30:00+00:00,9
2019,2019-05-18 11:00:00,80,95,0.59,1,SSE,29.12,2019 Temp Archive,26.666666666666668,35.0,2019-05-18 11:00:00-04:00,2019-05-18 15:00:00+00:00,10
2019,2019-05-18 11:15:00,81,98,0.56,2,E,29.12,2019 Temp Archive,27.22222222222222,36.666666666666664,2019-05-18 11:15:00-04:00,2019-05-18 15:15:00+00:00,11
2019,2019-05-18 11:30:00,82,101,0.53,2,S,29.11,2019 Temp Archive,27.77777777777778,38.333333333333336,2019-05-18 11:30:00-04:00,2019-05-18 15:30:00+00:00,12
2019,2019-05-18 11:45:00,83,105,0.5,13,SE,29.11,2019 Temp Archive,28.333333333333332,40.55555555555556,2019-05-18 11:45:00-04:00,2019-05-18 15:45:00+00:00,13
2019,2019-05-18 12:00:00,83,108,0.48,2,SSW,29.1,2019 Temp Archive,28.333333333333332,42.22222222222222,2019-05-18 12:00:00-04:00,2019-05-18 16:00:00+00:00,14
2019,2019-05-18 12:15:00,84,111,0.45,6,SSE,29.09,2019 Temp Archive,28.88888888888889,43.888888888888886,2019-05-18 12:15:00-04:00,2019-05-18 16:15:00+00:00,15
2019,2019-05-18 12:30:00,85,113,0.43,6,S,29.1,2019 Temp Archive,29.444444444444443,45.0,2019-05-18 12:30:00-04:00,2019-05-18 16:30:00+00:00,16
2019,2019-05-18 12:45:00,86,115,0.41,1,SSE,29.1,2019 Temp Archive,30.0,46.111111111111114,2019-05-18 12:45:00-04:00,2019-05-18 16:45:00+00:00,17
2019,2019-05-18 13:00:00,86,118,0.41,2,SSW,29.09,2019 Temp Archive,30.0,47.77777777777778,2019-05-18 13:00:00-04:00,2019-05-18 17:00:00+00:00,18
2019,2019-05-18 13:15:00,87,120,0.41,1,SSW,29.1,2019 Temp Archive,30.555555555555557,48.888888888888886,2019-05-18 13:15:00-04:00,2019-05-18 17:15:00+00:00,19
2019,2019-05-18 13:30:00,87,122,0.41,5,SSE,29.09,2019 Temp Archive,30.555555555555557,50.0,2019-05-18 13:30:00-04:00,2019-05-18 17:30:00+00:00,20
2019,2019-05-18 13:45:00,87,122,0.41,5,SSE,29.09,2019 Temp Archive,30.555555555555557,50.0,2019-05-18 13:45:00-04:00,2019-05-18 17:45:00+00:00,21
2019,2019-05-18 14:00:00,88,124,0.41,5,SSE,29.09,2019 Temp Archive,31.11111111111111,51.111111111111114,2019-05-18 14:00:00-04:00,2019-05-18 18:00:00+00:00,22
2019,2019-05-18 14:15:00,87,124,0.4,8,SSE,29.08,2019 Temp Archive,30.555555555555557,51.111111111111114,2019-05-18 14:15:00-04:00,2019-05-18 18:15:00+00:00,23
2019,2019-05-18 14:30:00,88,126,0.38,3,S,29.07,2019 Temp Archive,31.11111111111111,52.22222222222222,2019-05-18 14:30:00-04:00,2019-05-18 18:30:00+00:00,24
2019,2019-05-18 14:45:00,89,126,0.37,2,SE,29.07,2019 Temp Archive,31.666666666666668,52.22222222222222,2019-05-18 14:45:00-04:00,2019-05-18 18:45:00+00:00,25
2019,2019-05-18 15:00:00,88,125,0.39,0,,29.06,2019 Temp Archive,31.11111111111111,51.666666666666664,2019-05-18 15:00:00-04:00,2019-05-18 19:00:00+00:00,26
2019,2019-05-18 15:15:00,88,126,0.36,6,S,29.06,2019 Temp Archive,31.11111111111111,52.22222222222222,2019-05-18 15:15:00-04:00,2019-05-18 19:15:00+00:00,27
2019,2019-05-18 15:30:00,88,125,0.38,2,SSE,29.06,2019 Temp Archive,31.11111111111111,51.666666666666664,2019-05-18 15:30:00-04:00,2019-05-18 19:30:00+00:00,28
2019,2019-05-18 15:45:00,88,125,0.38,4,S,29.06,2019 Temp Archive,31.11111111111111,51.666666666666664,2019-05-18 15:45:00-04:00,2019-05-18 19:45:00+00:00,29
2019,2019-05-18 16:00:00,88,123,0.37,11,SSE,29.06,2019 Temp Archive,31.11111111111111,50.55555555555556,2019-05-18 16:00:00-04:00,2019-05-18 20:00:00+00:00,30
2019,2019-05-18 16:15:00,89,123,0.37,3,S,29.05,2019 Temp Archive,31.666666666666668,50.55555555555556,2019-05-18 16:15:00-04:00,2019-05-18 20:15:00+00:00,31
2019,2019-05-18 16:30:00,88,123,0.37,7,S,29.05,2019 Temp Archive,31.11111111111111,50.55555555555556,2019-05-18 16:30:00-04:00,2019-05-18 20:30:00+00:00,32
2019,2019-05-18 16:45:00,88,123,0.37,5,ESE,29.05,2019 Temp Archive,31.11111111111111,50.55555555555556,2019-05-18 16:45:00-04:00,2019-05-18 20:45:00+00:00,33
2019,2019-05-18 17:00:00,88,122,0.36,8,SE,29.05,2019 Temp Archive,31.11111111111111,50.0,2019-05-18 17:00:00-04:00,2019-05-18 21:00:00+00:00,34
2019,2019-05-18 17:15:00,88,119,0.37,6,S,29.05,2019 Temp Archive,31.11111111111111,48.333333333333336,2019-05-18 17:15:00-04:00,2019-05-18 21:15:00+00:00,35
2019,2019-05-18 17:30:00,89,118,0.36,14,ESE,29.06,2019 Temp Archive,31.666666666666668,47.77777777777778,2019-05-18 17:30:00-04:00,2019-05-18 21:30:00+00:00,36
2019,2019-05-18 17:45:00,88,116,0.36,7,SSE,29.06,2019 Temp Archive,31.11111111111111,46.666666666666664,2019-05-18 17:45:00-04:00,2019-05-18 21:45:00+00:00,37
2019,2019-05-18 17:50:00,88,115,0.35,1,WSW,29.06,2019 Temp Archive,31.11111111111111,46.111111111111114,2019-05-18 17:50:00-04:00,2019-05-18 21:50:00+00:00,38
2025,2025-05-17 08:15:00,64,72,0.57,2,SW,28.86,2025 Temp Archive,17.77777777777778,22.22222222222222,2025-05-17 08:15:00-04:00,2025-05-17 12:15:00+00:00,1
2025,2025-05-17 08:30:00,64,73,0.54,1,WNW,28.86,2025 Temp Archive,17.77777777777778,22.77777777777778,2025-05-17 08:30:00-04:00,2025-05-17 12:30:00+00:00,2
2025,2025-05-17 08:45:00,64,76,0.53,3,NNW,28.87,2025 Temp Archive,17.77777777777778,24.444444444444443,2025-05-17 08:45:00-04:00,2025-05-17 12:45:00+00:00,3
2025,2025-05-17 09:00:00,64,78,0.53,3,SW,28.88,2025 Temp Archive,17.77777777777778,25.555555555555557,2025-05-17 09:00:00-04:00,2025-05-17 13:00:00+00:00,4
2025,2025-05-17 09:15:00,65,79,0.52,3,SSW,28.88,2025 Temp Archive,18.333333333333332,26.11111111111111,2025-05-17 09:15:00-04:00,2025-05-17 13:15:00+00:00,5
2025,2025-05-17 09:30:00,65,80,0.53,2,SW,28.89,2025 Temp Archive,18.333333333333332,26.666666666666668,2025-05-17 09:30:00-04:00,2025-05-17 13:30:00+00:00,6
