year,source_sheet,source_row,datetime_local,time_local,ambient_f,ambient_c,track_f,track_c,humidity_raw,wind_raw,wind_direction,pressure_raw,date_hit_row,date_hit_col,header_row
2025,2025 Temp Archive,470,2025-05-17 08:15:00,08:15:00,64,17.77777777777778,72,22.22222222222222,0.57,2,SW,28.86,469,0,469
2025,2025 Temp Archive,471,2025-05-17 08:30:00,08:30:00,64,17.77777777777778,73,22.77777777777778,0.54,1,WNW,28.86,469,0,469
2025,2025 Temp Archive,472,2025-05-17 08:45:00,08:45:00,64,17.77777777777778,76,24.444444444444443,0.53,3,NNW,28.87,469,0,469
2025,2025 Temp Archive,473,2025-05-17 09:00:00,09:00:00,64,17.77777777777778,78,25.555555555555557,0.53,3,SW,28.88,469,0,469
2025,2025 Temp Archive,474,2025-05-17 09:15:00,09:15:00,65,18.333333333333332,79,26.11111111111111,0.52,3,SSW,28.88,469,0,469
2025,2025 Temp Archive,475,2025-05-17 09:30:00,09:30:00,65,18.333333333333332,80,26.666666666666668,0.53,2,SW,28.89,469,0,469
2025,2025 Temp Archive,476,2025-05-17 10:45:00,10:45:00,66,18.88888888888889,90,32.22222222222222,0.51,1,NW,28.9,469,0,469
2025,2025 Temp Archive,477,2025-05-17 11:00:00,11:00:00,67,19.444444444444443,93,33.888888888888886,0.5,3,W,28.89,469,0,469
2025,2025 Temp Archive,478,2025-05-17 11:15:00,11:15:00,68,20.0,95,35.0,0.51,0,SW,28.9,469,0,469
2025,2025 Temp Archive,479,2025-05-17 11:30:00,11:30:00,68,20.0,98,36.666666666666664,0.49,1,NW,28.9,469,0,469
2025,2025 Temp Archive,480,2025-05-17 11:45:00,11:45:00,69,20.555555555555557,99,37.22222222222222,0.5,2,W,28.91,469,0,469
2025,2025 Temp Archive,481,2025-05-17 12:00:00,12:00:00,69,20.555555555555557,100,37.77777777777778,0.49,3,WSW,28.91,469,0,469
2025,2025 Temp Archive,482,2025-05-17 12:15:00,12:15:00,70,21.11111111111111,104,40.0,0.48,1,W,28.91,469,0,469
2025,2025 Temp Archive,483,2025-05-17 12:30:00,12:30:00,69,20.555555555555557,107,41.666666666666664,0.48,0,S,28.91,469,0,469
2025,2025 Temp Archive,484,2025-05-17 12:45:00,12:45:00,69,20.555555555555557,107,41.666666666666664,0.49,0,S,28.92,469,0,469
2025,2025 Temp Archive,485,2025-05-17 13:00:00,13:00:00,70,21.11111111111111,106,41.111111111111114,0.49,2,WSW,28.92,469,0,469
2025,2025 Temp Archive,486,2025-05-17 13:15:00,13:15:00,71,21.666666666666668,109,42.77777777777778,0.48,2,WSW,28.92,469,0,469
2025,2025 Temp Archive,487,2025-05-17 13:30:00,13:30:00,72,22.22222222222222,111,43.888888888888886,0.47,3,WSW,28.92,469,0,469
2025,2025 Temp Archive,488,2025-05-17 13:45:00,13:45:00,72,22.22222222222222,114,45.55555555555556,0.47,0,WSW,28.93,469,0,469
2025,2025 Temp Archive,489,2025-05-17 14:00:00,14:00:00,71,21.666666666666668,109,42.77777777777778,0.48,0,SW,28.94,469,0,469
2025,2025 Temp Archive,490,2025-05-17 14:15:00,14:15:00,71,21.666666666666668,111,43.888888888888886,0.48,1,WNW,28.93,469,0,469
2025,2025 Temp Archive,491,2025-05-17 14:30:00,14:30:00,71,21.666666666666668,107,41.666666666666664,0.47,3,NW,28.94,469,0,469
2025,2025 Temp Archive,492,2025-05-17 14:45:00,14:45:00,71,21.666666666666668,107,41.666666666666664,0.49,1,SW,28.94,469,0,469
2025,2025 Temp Archive,493,2025-05-17 15:00:00,15:00:00,72,22.22222222222222,111,43.888888888888886,0.47,5,WSW,28.95,469,0,469
2025,2025 Temp Archive,494,2025-05-17 15:15:00,15:15:00,72,22.22222222222222,109,42.77777777777778,0.47,0,SSW,28.95,469,0,469
2025,2025 Temp Archive,495,2025-05-17 15:30:00,15:30:00,72,22.22222222222222,108,42.22222222222222,0.47,1,SSW,28.96,469,0,469
2025,2025 Temp Archive,496,2025-05-17 15:45:00,15:45:00,72,22.22222222222222,108,42.22222222222222,0.47,0,SW,28.95,469,0,469
2025,2025 Temp Archive,497,2025-05-17 16:00:00,16:00:00,74,23.333333333333332,108,42.22222222222222,0.46,0,W,28.96,469,0,469
2025,2025 Temp Archive,498,2025-05-17 16:15:00,16:15:00,73,22.77777777777778,106,41.111111111111114,0.46,0,SW,28.95,469,0,469
2025,2025 Temp Archive,499,2025-05-17 16:30:00,16:30:00,72,22.22222222222222,105,40.55555555555556,0.48,2,NW,28.96,469,0,469
2025,2025 Temp Archive,500,2025-05-17 16:45:00,16:45:00,73,22.77777777777778,105,40.55555555555556,0.48,0,SW,28.95,469,0,469
2025,2025 Temp Archive,501,2025-05-17 17:00:00,17:00:00,73,22.77777777777778,104,40.0,0.48,0,SSW,28.96,469,0,469
2025,2025 Temp Archive,502,2025-05-17 17:15:00,17:15:00,73,22.77777777777778,102,38.888888888888886,0.48,0,WNW,28.96,469,0,469
2025,2025 Temp Archive,503,2025-05-17 17:30:00,17:30:00,73,22.77777777777778,101,38.333333333333336,0.47,5,WSW,28.97,469,0,469
2025,2025 Temp Archive,504,2025-05-17 17:45:00,17:45:00,72,22.22222222222222,100,37.77777777777778,0.48,0,SW,28.97,469,0,469
