year,status,date_hits,selected_date_hit_row,selected_date_hit_col,header_row,observations,first_time,last_time
2019,NO_HEADER_FOUND,1,448,0,,0,,
2025,PASS,1,469,0,469.0,35,2025-05-17 08:15:00,2025-05-17 17:45:00
