year,source_rank,car_number,driver_name,official_speed_mph,official_lap1_s,official_lap2_s,official_lap3_s,official_lap4_s,timing_lap1_s,timing_lap2_s,timing_lap3_s,timing_lap4_s,lap_match_abs_sum_s,lap_match_abs_max_s,match_quality,candidate_id,first_lap_timestamp_ms,fourth_lap_timestamp_ms,attempt_mid_timestamp_ms,attempt_anchor_utc,analysis_files
2025,11,28,"Ericsson, Marcus",232.132,38.7726,38.7193,38.7681,38.8243,38.7726,38.7193,38.7681,38.8243,0.0,0.0,EXACT_OR_NEAR_EXACT,T71_2025_28_55,1747494386800.0,1747494501923.0,1747494444361.5,2025-05-17T15:06:26.800000+00:00,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,2,3,"McLaughlin, Scott",233.013,38.6043,38.7107,38.5799,38.603,38.6043,38.7107,38.5799,38.603,0.0,0.0,EXACT_OR_NEAR_EXACT,T71_2025_3_58,1747501974935.0,1747502090409.0,1747502032672.0,2025-05-17T17:12:54.935000+00:00,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,18,30,"DeFrancesco, Devlin",231.575,38.7468,38.8389,38.8811,38.9907,38.7468,38.8389,38.8811,38.9907,0.0,0.0,EXACT_OR_NEAR_EXACT,T71_2025_30_62,1747512959327.0,1747513076122.0,1747513017724.5,2025-05-17T20:15:59.327000+00:00,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,53,30,"DeFrancesco, Devlin",230.415,38.7916,39.2063,39.1234,39.1183,38.7916,39.2063,39.1234,39.1183,0.0,0.0,EXACT_OR_NEAR_EXACT,T71_2025_30_60,1747503101191.0,1747503217935.0,1747503159563.0,2025-05-17T17:31:41.191000+00:00,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,16,33,"Carpenter, Ed",231.633,38.7904,38.8833,38.8448,38.8995,38.7904,38.8833,38.8448,38.8995,0.0,0.0,EXACT_OR_NEAR_EXACT,T71_2025_33_66,1747514549095.0,1747514666021.0,1747514607558.0,2025-05-17T20:42:29.095000+00:00,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,44,33,"Carpenter, Ed",231.392,38.7285,38.9669,38.9237,38.961,38.7285,38.9669,38.9237,38.961,0.0,0.0,EXACT_OR_NEAR_EXACT,T71_2025_33_64,1747500518665.0,1747500633656.0,1747500576160.5,2025-05-17T16:48:38.665000+00:00,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,7,4,"Malukas, David",232.546,38.6251,38.6378,38.7685,38.7766,38.6251,38.6378,38.7685,38.7766,0.0,0.0,EXACT_OR_NEAR_EXACT,T71_2025_4_70,1747516687503.0,1747516803027.0,1747516745265.0,2025-05-17T21:18:07.503000+00:00,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,33,4,"Malukas, David",232.194,38.8124,38.813,38.7028,38.7144,38.8124,38.813,38.7028,38.7144,0.0,0.0,EXACT_OR_NEAR_EXACT,T71_2025_4_68,1747499152396.0,1747499268945.0,1747499210670.5,2025-05-17T16:25:52.396000+00:00,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,22,45,"Foster, Louis",231.058,38.8669,38.9154,39.012,39.0106,38.8669,38.9154,39.012,39.0106,0.0,0.0,EXACT_OR_NEAR_EXACT,T71_2025_45_74,1747516421995.0,1747516537194.0,1747516479594.5,2025-05-17T21:13:41.995000+00:00,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,52,45,"Foster, Louis",230.566,38.953,38.9981,39.0988,39.0877,38.953,38.9981,39.0988,39.0877,0.0,0.0,EXACT_OR_NEAR_EXACT,T71_2025_45_72,1747501691494.0,1747501808194.0,1747501749844.0,2025-05-17T17:08:11.494000+00:00,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,4,5,"O'Ward, Pato",232.82,38.6512,38.6486,38.6614,38.6645,38.6512,38.6486,38.6614,38.6645,0.0,0.0,EXACT_OR_NEAR_EXACT,T71_2025_5_76,1747494670831.0,1747494785961.0,1747494728396.0,2025-05-17T15:11:10.831000+00:00,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,71,51,"Abel, Jacob",226.859,39.7125,39.7983,39.6218,39.5566,39.7125,39.7983,39.6218,39.5566,0.0,0.0,EXACT_OR_NEAR_EXACT,T71_2025_51_78,1747501124765.0,1747501243134.0,1747501183949.5,2025-05-17T16:58:44.765000+00:00,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,26,6,"Siegel, Nolan",230.571,38.9652,38.9952,39.0642,39.1096,38.9652,38.9952,39.0642,39.1096,0.0,0.0,EXACT_OR_NEAR_EXACT,T71_2025_6_80,1747496881961.0,1747496998708.0,1747496940334.5,2025-05-17T15:48:01.961000+00:00,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,58,6,"Siegel, Nolan",230.099,39.0525,39.1262,39.1257,39.15,39.0525,39.1262,39.1257,39.15,0.0,0.0,EXACT_OR_NEAR_EXACT,T71_2025_6_82,1747509006035.0,1747509122848.0,1747509064441.5,2025-05-17T19:10:06.035000+00:00,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,8,60,"Rosenqvist, Felix",232.449,38.5713,38.5816,38.9564,38.7633,38.5713,38.5816,38.9564,38.7633,0.0,0.0,EXACT_OR_NEAR_EXACT,T71_2025_60_83,1747497448885.0,1747497565646.0,1747497507265.5,2025-05-17T15:57:28.885000+00:00,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
