year,car_number,driver_name,from_source_rank,to_source_rank,from_candidate_id,to_candidate_id,from_match_quality,to_match_quality,mid_gap_minutes,interval_overlap_s,run_relation,from_timestamp_ms,to_timestamp_ms,from_speed_mph,to_speed_mph,delta_speed_mph
2025,12,"Power, Will",10,38,T71_2025_12_8,T71_2025_12_10,EXACT_OR_NEAR_EXACT,EXACT_OR_NEAR_EXACT,136.76105,0.0,NON_OVERLAPPING,1747508798382.5,1747517004045.5,232.144,231.62,-0.5240000000000009
2025,14,"Ferrucci, Santino",50,17,T71_2025_14_12,T71_2025_14_14,EXACT_OR_NEAR_EXACT,EXACT_OR_NEAR_EXACT,174.537325,0.0,NON_OVERLAPPING,1747499478040.0,1747509950279.5,230.837,231.593,0.7560000000000002
2025,17,"Larson, Kyle",59,21,T71_2025_17_19,T71_2025_17_21,EXACT_OR_NEAR_EXACT,EXACT_OR_NEAR_EXACT,155.043875,0.0,NON_OVERLAPPING,1747500025418.5,1747509328051.0,230.053,231.326,1.2729999999999961
2025,18,"Veekay, Rinus",67,64,T71_2025_18_23,T71_2025_18_25,EXACT_OR_NEAR_EXACT,EXACT_OR_NEAR_EXACT,162.80125833333332,0.0,NON_OVERLAPPING,1747503734277.0,1747513502352.5,229.228,229.519,0.2909999999999968
2025,20,"Rossi, Alexander",40,45,T71_2025_20_30,T71_2025_20_32,EXACT_OR_NEAR_EXACT,EXACT_OR_NEAR_EXACT,172.190725,0.0,NON_OVERLAPPING,1747495539338.0,1747505870781.5,231.51,231.349,-0.16100000000000136
2025,20,"Rossi, Alexander",45,14,T71_2025_20_32,T71_2025_20_34,EXACT_OR_NEAR_EXACT,EXACT_OR_NEAR_EXACT,81.4826,0.0,NON_OVERLAPPING,1747505870781.5,1747510759737.5,231.349,231.701,0.35200000000000387
2025,20,"Rossi, Alexander",14,37,T71_2025_20_34,T71_2025_20_36,EXACT_OR_NEAR_EXACT,EXACT_OR_NEAR_EXACT,90.79689166666667,0.0,NON_OVERLAPPING,1747510759737.5,1747516207551.0,231.701,231.673,-0.027999999999991587
2025,23,"Hunter-Reay, Ryan",57,27,T71_2025_23_41,T71_2025_23_43,EXACT_OR_NEAR_EXACT,EXACT_OR_NEAR_EXACT,307.6924916666667,0.0,NON_OVERLAPPING,1747495825714.0,1747514287263.5,230.236,230.363,0.12700000000000955
2025,24,"Harvey, Jack",28,60,T71_2025_24_45,T71_2025_24_47,EXACT_OR_NEAR_EXACT,EXACT_OR_NEAR_EXACT,317.91699166666666,0.0,NON_OVERLAPPING,1747496099779.5,1747515174799.0,230.348,230.012,-0.33600000000001273
2025,27,"Kirkwood, Kyle",25,49,T71_2025_27_51,T71_2025_27_53,EXACT_OR_NEAR_EXACT,EXACT_OR_NEAR_EXACT,138.096925,0.0,NON_OVERLAPPING,1747502877697.0,1747511163512.5,230.917,230.868,-0.049000000000006594
2025,30,"DeFrancesco, Devlin",53,18,T71_2025_30_60,T71_2025_30_62,EXACT_OR_NEAR_EXACT,EXACT_OR_NEAR_EXACT,164.30269166666668,0.0,NON_OVERLAPPING,1747503159563.0,1747513017724.5,230.415,231.575,1.1599999999999966
2025,33,"Carpenter, Ed",44,16,T71_2025_33_64,T71_2025_33_66,EXACT_OR_NEAR_EXACT,EXACT_OR_NEAR_EXACT,233.856625,0.0,NON_OVERLAPPING,1747500576160.5,1747514607558.0,231.392,231.633,0.24100000000001387
2025,4,"Malukas, David",33,7,T71_2025_4_68,T71_2025_4_70,EXACT_OR_NEAR_EXACT,EXACT_OR_NEAR_EXACT,292.2432416666667,0.0,NON_OVERLAPPING,1747499210670.5,1747516745265.0,232.194,232.546,0.35200000000000387
2025,45,"Foster, Louis",52,22,T71_2025_45_72,T71_2025_45_74,EXACT_OR_NEAR_EXACT,EXACT_OR_NEAR_EXACT,245.49584166666668,0.0,NON_OVERLAPPING,1747501749844.0,1747516479594.5,230.566,231.058,0.4919999999999902
2025,6,"Siegel, Nolan",26,58,T71_2025_6_80,T71_2025_6_82,EXACT_OR_NEAR_EXACT,EXACT_OR_NEAR_EXACT,202.06845,0.0,NON_OVERLAPPING,1747496940334.5,1747509064441.5,230.571,230.099,-0.4720000000000084
2025,7,"Lundgaard, Christian",56,12,T71_2025_7_87,T71_2025_7_89,EXACT_OR_NEAR_EXACT,EXACT_OR_NEAR_EXACT,254.98469166666666,0.0,NON_OVERLAPPING,1747496408488.5,1747511707570.0,230.304,231.809,1.5049999999999955
2025,75,"Sato, Takuma",34,9,T71_2025_75_91,T71_2025_75_93,EXACT_OR_NEAR_EXACT,EXACT_OR_NEAR_EXACT,256.79319166666664,0.0,NON_OVERLAPPING,1747500297028.5,1747515704620.0,232.169,232.415,0.2459999999999809
2025,76,"Daly, Conor",39,46,T71_2025_76_95,T71_2025_76_97,EXACT_OR_NEAR_EXACT,EXACT_OR_NEAR_EXACT,154.62345833333333,0.0,NON_OVERLAPPING,1747497209200.5,1747506486608.0,231.596,231.221,-0.375
2025,76,"Daly, Conor",46,13,T71_2025_76_97,T71_2025_76_99,EXACT_OR_NEAR_EXACT,EXACT_OR_NEAR_EXACT,201.20585833333334,0.0,NON_OVERLAPPING,1747506486608.0,1747518558959.5,231.221,231.725,0.5039999999999907
2025,77,"Robb, Sting Ray",54,19,T71_2025_77_101,T71_2025_77_103,EXACT_OR_NEAR_EXACT,EXACT_OR_NEAR_EXACT,136.39906666666667,0.0,NON_OVERLAPPING,1747502310521.0,1747510494465.0,230.335,231.461,1.1260000000000048
2025,90,"Ilott, Callum",51,23,T71_2025_90_111,T71_2025_90_113,EXACT_OR_NEAR_EXACT,EXACT_OR_NEAR_EXACT,172.03464166666666,0.0,NON_OVERLAPPING,1747503454710.5,1747513776789.0,230.704,230.993,0.28899999999998727
2025,98,"Andretti, Marco",62,66,T71_2025_98_115,T71_2025_98_117,EXACT_OR_NEAR_EXACT,EXACT_OR_NEAR_EXACT,127.453475,0.0,NON_OVERLAPPING,1747500878427.0,1747508525635.5,229.857,229.356,-0.5010000000000048
2025,98,"Andretti, Marco",66,65,T71_2025_98_117,T71_2025_98_119,EXACT_OR_NEAR_EXACT,EXACT_OR_NEAR_EXACT,115.26858333333334,0.0,NON_OVERLAPPING,1747508525635.5,1747515441750.5,229.356,229.475,0.11899999999999977
2025,98,"Andretti, Marco",65,61,T71_2025_98_119,T71_2025_98_121,EXACT_OR_NEAR_EXACT,EXACT_OR_NEAR_EXACT,39.023225,0.0,NON_OVERLAPPING,1747515441750.5,1747517783144.0,229.475,229.859,0.38400000000001455
