year,session_id,file,page,keyword,context
2018,5320,2018_5320_indycar-qualresults-Day1.pdf,1,withdrawn," 17 Daly, Conor D/H/F  39.9498  40.0617  40.0995  40.0769 02:40.1879  224.736 Day 1 Withdrawn 42 63 Mann, Pippa D/H/F  40.0303  40.0467  40.1535  40.2260 02:40.4565  224.360 Day 1 Withdrawn 43 63 Mann, Pippa D/H/F  40.1200  40.1771  40.2679  40.3967 02:40.9617  223.656 Day 1 Waved Off 44 63 Mann, Pippa D/H/F  40.1929  40.3275  40.3347  40.3320 02:41.1871  223.343 Day 1 Failed Attempt 45 17 Daly, Conor D/H/F  40.0243  40.5358  40.4942  40.6099 02:41.6642  222.684 Day 1 Withdrawn 46 64 Servia, Ori"
2018,5320,2018_5320_indycar-qualresults-Day1.pdf,1,withdrawn,"ann, Pippa D/H/F  40.1929  40.3275  40.3347  40.3320 02:41.1871  223.343 Day 1 Failed Attempt 45 17 Daly, Conor D/H/F  40.0243  40.5358  40.4942  40.6099 02:41.6642  222.684 Day 1 Withdrawn 46 64 Servia, Oriol D/H/F  40.5583  40.8462  41.2861   0.0000 02:02.6906  220.066 Day 1 Waved Off 47 64 Servia, Oriol D/H/F  44.6739  45.8510  46.2987   0.0000 02:16.8236  197.334 Day 1 Waved Off 48 5 Hinchcliffe, James D/H/F   0.0000   0.0000   0.0000   0.0000 00:00.0000 Day 1 No Attempt Field Average: 226.6"
2018,5320,2018_5320_indycar-qualresults-Day1.pdf,1,lap 1,"napolis 500 May 19, 2018 Event: Track: Report: Session: 2.5 mile(s) Verizon IndyCar SeriesOfficial Qualification Results  Qualifications - Day 1 Round 6 Rank Car Driver Name C/E/T Lap 1 Lap 2 Lap 3 Lap 4 Total Time Speed Qualified On Status 1 3 Castroneves, Helio D/C/F  39.3460  39.2828  39.2875  39.3444 02:37.2607  228.919 Day 1 2 20 Carpenter, Ed D/C/F  39.2557  39.3170  39.3552  39.4888 02:37.4167  228.692 Day 1 3 22 Pagenaud, Simon D/C/F  39.4325  39.3977  39.4066  39.4477 02:37.6845  228.30"
2018,5320,2018_5320_indycar-qualresults-Day1.pdf,1,results,"/ Group 1 Positions 10 -33) Indianapolis Motor Speedway 102nd Indianapolis 500 May 19, 2018 Event: Track: Report: Session: 2.5 mile(s) Verizon IndyCar SeriesOfficial Qualification Results  Qualifications - Day 1 Round 6 Rank Car Driver Name C/E/T Lap 1 Lap 2 Lap 3 Lap 4 Total Time Speed Qualified On Status 1 3 Castroneves, Helio D/C/F  39.3460  39.2828  39.2875  39.3444 02:37.2607  228.919 Day 1 2 20 Carpenter, Ed D/C/F  39.2557  39.3170  39.3552  39.4888 02:37.4167  228.692 Day 1 3 22 Pagenaud,"
2018,5320,2018_5320_indycar-results-quals-day1.pdf,1,attempt,"-Reay, Ryan D/H/F  39.6541  39.6726  39.6538  39.6682 02:38.6487  226.916 Day 1 Retired 36 6 Wickens, Robert D/H/F  39.7550   0.0000   0.0000   0.0000 00:39.7550  226.387 Day 1 No Attempt 37 27 Rossi, Alexander D/H/F  39.6725  39.5854  39.7919  40.0933 02:39.1431  226.212 Day 1 Retired 38 60 Harvey, Jack D/H/F  39.9106  39.9438  39.9739  40.0065 02:39.8348  225.233 Day 1 Retired 39 15 Rahal, Graham D/H/F  39.9211  39.9389  39.9738  40.0473 02:39.8811  225.167 Day 1 Failed Attempt 40 5 Hinchcliff"
2018,5320,2018_5320_indycar-results-quals-day1.pdf,1,attempt,"ey, Jack D/H/F  39.9106  39.9438  39.9739  40.0065 02:39.8348  225.233 Day 1 Retired 39 15 Rahal, Graham D/H/F  39.9211  39.9389  39.9738  40.0473 02:39.8811  225.167 Day 1 Failed Attempt 40 5 Hinchcliffe, James D/H/F  39.9378  40.0206  40.1031  40.0926 02:40.1541  224.784 Day 1 Bumped 41 17 Daly, Conor D/H/F  39.9498  40.0617  40.0995  40.0769 02:40.1879  224.736 Day 1 Bumped 42 63 Mann, Pippa D/H/F  40.0303  40.0467  40.1535  40.2260 02:40.4565  224.360 Day 1 Bumped 43 63 Mann, Pippa D/H/F  40"
2018,5320,2018_5320_indycar-results-quals-day1.pdf,1,attempt,"n, Pippa D/H/F  40.1200  40.1771  40.2679  40.3967 02:40.9617  223.656 Day 1 Waved Off 44 63 Mann, Pippa D/H/F  40.1929  40.3275  40.3347  40.3320 02:41.1871  223.343 Day 1 Failed Attempt 45 17 Daly, Conor D/H/F  40.0243  40.5358  40.4942  40.6099 02:41.6642  222.684 Day 1 Bumped 46 64 Servia, Oriol D/H/F  40.5583  40.8462  41.2861   0.0000 02:02.6906  220.066 Day 1 Waved Off 47 64 Servia, Oriol D/H/F  44.6739  45.8510  46.2987   0.0000 02:16.8236  197.334 Day 1 Waved Off 48 5 Hinchcliffe, James"
2018,5320,2018_5320_indycar-results-quals-day1.pdf,1,attempt,"4 Servia, Oriol D/H/F  44.6739  45.8510  46.2987   0.0000 02:16.8236  197.334 Day 1 Waved Off 48 5 Hinchcliffe, James D/H/F   0.0000   0.0000   0.0000   0.0000 00:00.0000 Day 1 No Attempt Field Average: 226.644 mph Information provided by Indy Racing Information System - Copyright INDYCAR 2018 "
2018,5320,2018_5320_indycar-results-quals-day1.pdf,1,lap 1,"alification Results 102nd Indianapolis 500 May 19, 2018 Event: Track: Report: Session: 2.5 mile(s) Verizon IndyCar Series Qualifications - Day 1 Round 6 Rank Car Driver Name C/E/T Lap 1 Lap 2 Lap 3 Lap 4 Total Time Speed Qualified On Status 1 3 Castroneves, Helio D/C/F  39.3460  39.2828  39.2875  39.3444 02:37.2607  228.919 Day 1 2 20 Carpenter, Ed D/C/F  39.2557  39.3170  39.3552  39.4888 02:37.4167  228.692 Day 1 3 22 Pagenaud, Simon D/C/F  39.4325  39.3977  39.4066  39.4477 02:37.6845  228.30"
2018,5320,2018_5320_indycar-results-quals-day1.pdf,1,results," (E)ngine: C=Chevy, H=Honda  |  (T)ire: F=Firestone Day 1 = May 19th : Pole Day = May 20th (Fast 9 / Group 1 Positions 10 -33) Indianapolis Motor Speedway Unofficial Qualification Results 102nd Indianapolis 500 May 19, 2018 Event: Track: Report: Session: 2.5 mile(s) Verizon IndyCar Series Qualifications - Day 1 Round 6 Rank Car Driver Name C/E/T Lap 1 Lap 2 Lap 3 Lap 4 Total Time Speed Qualified On Status 1 3 Castroneves, Helio D/C/F  39.3460  39.2828  39.2875  39.3444 02:37.2607  228.919 Day 1 "
2018,5320,2018_5320_indycar-sectionresults-quals-day1.pdf,1,section," 5 T 2.9833 5.6055 5.7515 5.6888 48.8787 S  225.802  200.696  195.601  197.757  169.406 Page 1 of 36Information provided by Indy Racing Information System - Copyright INDYCAR 2018 Section Data for Car 1 - Newgarden, Josef Indianapolis Motor Speedway Section Data Report May 19, 2018 102nd Indianapolis 500Event: Track: Report: QualificationsSession: Verizon IndyCar Series 2.5 mile(s) Round 6 "
2018,5320,2018_5320_indycar-sectionresults-quals-day1.pdf,1,section," 197.757  169.406 Page 1 of 36Information provided by Indy Racing Information System - Copyright INDYCAR 2018 Section Data for Car 1 - Newgarden, Josef Indianapolis Motor Speedway Section Data Report May 19, 2018 102nd Indianapolis 500Event: Track: Report: QualificationsSession: Verizon IndyCar Series 2.5 mile(s) Round 6 "
2018,5320,2018_5320_indycar-sectionresults-quals-day1.pdf,2,section," 5 T 3.1337 6.1912 6.3419 5.9452 52.1216 S  214.965  181.710  177.392  189.228  158.866 Page 2 of 36Information provided by Indy Racing Information System - Copyright INDYCAR 2018 Section Data for Car 10 - Jones, Ed Indianapolis Motor Speedway Section Data Report May 19, 2018 102nd Indianapolis 500Event: Track: Report: QualificationsSession: Verizon IndyCar Series 2.5 mile(s) Round 6 "
2018,5320,2018_5320_indycar-sectionresults-quals-day1.pdf,2,section,"7.392  189.228  158.866 Page 2 of 36Information provided by Indy Racing Information System - Copyright INDYCAR 2018 Section Data for Car 10 - Jones, Ed Indianapolis Motor Speedway Section Data Report May 19, 2018 102nd Indianapolis 500Event: Track: Report: QualificationsSession: Verizon IndyCar Series 2.5 mile(s) Round 6 "
2018,5320,2018_5320_indycar-sectionresults-quals-day1.pdf,3,section," 5 T 2.9545 5.6718 6.0785 6.1755 54.7500 S  228.004  198.350  185.079  182.171  151.239 Page 3 of 36Information provided by Indy Racing Information System - Copyright INDYCAR 2018 Section Data for Car 12 - Power, Will Indianapolis Motor Speedway Section Data Report May 19, 2018 102nd Indianapolis 500Event: Track: Report: QualificationsSession: Verizon IndyCar Series 2.5 mile(s) Round 6 "
2018,5320,2018_5320_indycar-sectionresults-quals-day1.pdf,3,section,"079  182.171  151.239 Page 3 of 36Information provided by Indy Racing Information System - Copyright INDYCAR 2018 Section Data for Car 12 - Power, Will Indianapolis Motor Speedway Section Data Report May 19, 2018 102nd Indianapolis 500Event: Track: Report: QualificationsSession: Verizon IndyCar Series 2.5 mile(s) Round 6 "
2018,5320,2018_5320_indycar-sectionresults-quals-day1.pdf,4,section," 5 T 3.0288 5.7066 5.8650 6.0480 54.3233 S  222.410  197.140  191.816  186.012  152.427 Page 4 of 36Information provided by Indy Racing Information System - Copyright INDYCAR 2018 Section Data for Car 13 - Patrick, Danica Indianapolis Motor Speedway Section Data Report May 19, 2018 102nd Indianapolis 500Event: Track: Report: QualificationsSession: Verizon IndyCar Series 2.5 mile(s) Round 6 "
2018,5320,2018_5320_indycar-sectionresults-quals-day1.pdf,4,section," 186.012  152.427 Page 4 of 36Information provided by Indy Racing Information System - Copyright INDYCAR 2018 Section Data for Car 13 - Patrick, Danica Indianapolis Motor Speedway Section Data Report May 19, 2018 102nd Indianapolis 500Event: Track: Report: QualificationsSession: Verizon IndyCar Series 2.5 mile(s) Round 6 "
2018,5320,2018_5320_indycar-sectionresults-quals-day1.pdf,5,section," 5 T 3.0011 5.6263 5.7703 5.9537 53.3314 S  224.463  199.954  194.964  188.958  155.262 Page 5 of 36Information provided by Indy Racing Information System - Copyright INDYCAR 2018 Section Data for Car 14 - Kanaan, Tony Indianapolis Motor Speedway Section Data Report May 19, 2018 102nd Indianapolis 500Event: Track: Report: QualificationsSession: Verizon IndyCar Series 2.5 mile(s) Round 6 "
2018,5320,2018_5320_indycar-sectionresults-quals-day1.pdf,5,section,"64  188.958  155.262 Page 5 of 36Information provided by Indy Racing Information System - Copyright INDYCAR 2018 Section Data for Car 14 - Kanaan, Tony Indianapolis Motor Speedway Section Data Report May 19, 2018 102nd Indianapolis 500Event: Track: Report: QualificationsSession: Verizon IndyCar Series 2.5 mile(s) Round 6 "
2018,5320,2018_5320_indycar-sectionresults-quals-day1.pdf,6,section,"10 T 3.1274 6.2985 6.7567 6.7224 58.5013 S  215.398  178.614  166.501  167.351  141.541 Page 6 of 36Information provided by Indy Racing Information System - Copyright INDYCAR 2018 Section Data for Car 15 - Rahal, Graham Indianapolis Motor Speedway Section Data Report May 19, 2018 102nd Indianapolis 500Event: Track: Report: QualificationsSession: Verizon IndyCar Series 2.5 mile(s) Round 6 "
