year,file,page,line_no,keyword_hits,raw_line
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,6,28,speed,T2500 Speedway T2 5.0675 5.0643 5.0761 5.0725 5.0905 5.0414 5.0486 5.0605 5.0732 6.7567 to 222.003 222.143 221.627 221.784 221.000 223.152 222.834 222.310 221.754 166.501 Graham SS1 Motor Report
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,6,31,car | section,2.9521 228.189 2.9468 228.599 2.9456 228.692 2.9465 228.623 2.9555 227.926 2.9359 229.448 2.9373 229.339 2.9357 229.464 2.9369 229.370 3.1274 215.398 Car T1to102nd Indianapolis Section Qualifications for
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,6,34,lap,Lap 1 2 3 4 5 6 7 8 9 10
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,6,35,session | section,Event: Track: Report: Session: Section
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,7,8,car,May SF IndyCar to 45.1777 184.303 45.7514 181.991 46.4226 179.360
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,7,11,car,40.0243 224.863 40.5358 222.026 40.4942 222.254 40.6099 221.621 40.8264 220.446 39.9498 225.283 40.0617 224.653 40.0995 224.442 40.0769 224.568 40.8741 220.188 39.9928 225.041 40.0111 224.938 40.0315 224.823 40.0543 224.695 INDYCAR
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,7,12,lap,Lap
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,7,28,speed,T2500 Speedway T2 5.0508 5.1148 5.1074 5.1685 5.3119 5.0376 5.0488 5.0648 5.0620 5.2914 5.0483 5.0459 5.0383 5.0446 5.7511 to 222.737 219.950 220.269 217.665 211.789 223.321 222.825 222.121 222.244 212.609 222.847 222.953 223.290 223.011 195.615
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,7,31,car | section,2.9269 230.154 2.9362 229.425 2.9422 228.957 2.9403 229.105 3.0238 222.778 2.9505 228.313 2.9530 228.119 2.9681 226.959 2.9554 227.934 3.0391 221.657 2.9482 228.491 2.9497 228.375 2.9491 228.421 2.9511 228.266 3.0904 217.977 Car T1to102nd Indianapolis Section Qualifications for
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,7,34,lap,Lap 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,7,35,session | section,Event: Track: Report: Session: Section
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,8,7,car,May PI IndyCar 53.0147 156.190
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,8,11,car,39.4156 228.336 39.4224 228.297 39.5001 227.848 39.4941 227.882 INDYCAR
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,8,12,lap,Lap
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,8,28,speed,T2500 Speedway T2 4.9640 4.9658 4.9832 4.9808 6.4402 Sebastien to 226.632 226.550 225.759 225.867 174.684
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,8,31,car | section,2.9028 232.064 2.8975 232.489 2.8999 232.296 2.8994 232.336 3.0492 220.922 Car T1to102nd Indianapolis Section Qualifications for
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,8,34,lap,Lap 1 2 3 4 5
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,8,35,session | section,Event: Track: Report: Session: Section
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,9,7,car,May PI IndyCar 49.3882 167.658
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,9,11,car,39.8091 226.079 39.8800 225.677 39.8841 225.654 39.9149 225.480 INDYCAR
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,9,12,lap,Lap
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,9,29,speed,"T2500 Speedway Melo, T2 5.0415 5.0628 5.0643 5.0671 5.7752 to 223.148 222.209 222.143 222.020 194.798"
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,9,32,car | section,2.9582 227.718 2.9669 227.051 2.9631 227.342 2.9630 227.349 2.9744 226.478 Car T1to102nd Indianapolis Section Qualifications for
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,9,35,lap,Lap 1 2 3 4 5
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,9,36,session | section,Event: Track: Report: Session: Section
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,10,7,car,May PI IndyCar 53.7865 153.948
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,10,11,car,39.2557 229.266 39.3170 228.909 39.3552 228.686 39.4888 227.913 INDYCAR
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,10,12,lap,Lap
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,10,29,speed,T2500 Speedway Ed 4.9363 4.9493 4.9583 4.9977 6.2619 to 227.903 227.305 226.892 225.104 179.658
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,10,30,car,"SS1 Motor Report SS1 4.8992 229.629 4.9108 229.087 4.9056 229.330 4.9302 228.185 5.9619 188.698 Carpenter, to"
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,10,32,car | section,2.8962 232.593 2.9002 232.272 2.8990 232.369 2.8978 232.465 3.0705 219.390 Car T1to102nd Indianapolis Section Qualifications for
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,10,35,lap,Lap 1 2 3 4 5
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,10,36,session | section,Event: Track: Report: Session: Section
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,11,7,car,May PI IndyCar 51.2886 161.446
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,11,11,car,39.4337 228.231 39.4239 228.288 39.4618 228.069 39.5394 227.621 INDYCAR
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,11,12,lap,Lap
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,11,28,speed,"T2500 Speedway T2 4.9889 5.0017 5.0023 5.0168 5.9989 to 225.501 224.924 224.897 224.247 187.534 Spencer SS1 Motor Report SS1 4.9492 227.309 4.9633 226.664 4.9615 226.746 4.9653 226.572 5.9490 189.107 Pigot, to"
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,11,30,car | section,2.9210 230.618 2.9311 229.824 2.9222 230.524 2.9243 230.358 3.0809 218.649 Car T1to102nd Indianapolis Section Qualifications for
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,11,33,lap,Lap 1 2 3 4 5
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,11,34,session | section,Event: Track: Report: Session: Section
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,12,7,car,May PI IndyCar 49.9849 165.657
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,12,11,car,39.4325 228.238 39.3977 228.440 39.4066 228.388 39.4477 228.150 INDYCAR
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,12,12,lap,Lap
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,12,29,speed,T2500 Speedway Simon 5.0050 5.0063 5.0084 5.0152 6.7275 to 224.775 224.717 224.623 224.318 167.224
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,12,32,car | section,2.9322 229.738 2.9298 229.926 2.9224 230.508 2.9219 230.547 3.3551 200.780 Car T1to102nd Indianapolis Section Qualifications for
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,12,35,lap,Lap 1 2 3 4 5
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,12,36,session | section,Event: Track: Report: Session: Section
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,13,7,car,May PI IndyCar 67.7605 122.200
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,13,11,car,39.7501 226.415 39.8494 225.850 39.9953 225.026 39.8725 225.719 INDYCAR
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,13,12,lap,Lap
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,13,28,speed,T2500 Speedway T2 4.9998 5.0400 5.0579 5.0374 6.6607 to 225.009 223.214 222.424 223.329 168.901 Charlie
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,13,31,car | section,2.9269 230.154 2.9376 229.315 2.9373 229.339 2.9411 229.042 3.1860 211.436 Car T1to102nd Indianapolis Section Qualifications for
