year,file,page,page_rotation,word_count,block_count,line_count,char_count
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,1,90,189,18,36,7130
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,2,90,189,18,36,6990
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,3,90,189,18,36,7024
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,4,90,189,18,34,7115
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,5,90,189,18,35,7089
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,6,90,313,23,35,8259
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,7,90,434,28,35,9425
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,8,90,191,18,35,7142
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,9,90,192,18,36,7140
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,10,90,189,18,36,7231
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,11,90,189,18,34,7126
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,12,90,195,18,36,7299
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,13,90,189,18,35,7181
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,14,90,189,18,34,7099
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,15,90,189,18,34,7163
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,16,90,191,18,36,7096
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,17,90,313,23,34,8387
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,18,90,313,23,35,8424
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,19,90,189,18,34,7117
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,20,90,189,18,36,7264
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,21,90,189,18,35,7147
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,22,90,190,18,36,7099
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,23,90,189,18,35,7164
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,24,90,190,18,36,7202
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,25,90,208,18,36,7743
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,26,90,195,18,35,7206
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,27,90,251,20,35,7817
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,28,90,315,23,34,8395
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,29,90,436,28,36,9576
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,30,90,388,26,36,9083
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,31,90,189,18,36,7220
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,32,90,195,18,36,7233
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,33,90,189,18,35,7155
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,34,90,313,23,36,8393
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,35,90,195,18,35,7232
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,36,90,168,41,24,6624
2019,2019_5565_indycar-sectionresults-quals-day1.pdf,1,90,507,31,35,12742
2019,2019_5565_indycar-sectionresults-quals-day1.pdf,2,90,215,19,38,8513
2019,2019_5565_indycar-sectionresults-quals-day1.pdf,3,90,215,19,36,8608
2019,2019_5565_indycar-sectionresults-quals-day1.pdf,4,90,502,31,37,12279
2019,2019_5565_indycar-sectionresults-quals-day1.pdf,5,90,215,19,37,8650
2019,2019_5565_indycar-sectionresults-quals-day1.pdf,6,90,222,19,37,8758
2019,2019_5565_indycar-sectionresults-quals-day1.pdf,7,90,211,19,37,8684
2019,2019_5565_indycar-sectionresults-quals-day1.pdf,8,90,215,19,36,8510
2019,2019_5565_indycar-sectionresults-quals-day1.pdf,9,90,215,19,36,8563
2019,2019_5565_indycar-sectionresults-quals-day1.pdf,10,90,215,19,37,8731
2019,2019_5565_indycar-sectionresults-quals-day1.pdf,11,90,215,19,36,8641
2019,2019_5565_indycar-sectionresults-quals-day1.pdf,12,90,545,32,36,13102
2019,2019_5565_indycar-sectionresults-quals-day1.pdf,13,90,337,24,36,10405
2019,2019_5565_indycar-sectionresults-quals-day1.pdf,14,90,362,25,35,10591
2019,2019_5565_indycar-sectionresults-quals-day1.pdf,15,90,364,25,38,10700
2019,2019_5565_indycar-sectionresults-quals-day1.pdf,16,90,362,25,35,10581
2019,2019_5565_indycar-sectionresults-quals-day1.pdf,17,90,215,19,37,8728
2019,2019_5565_indycar-sectionresults-quals-day1.pdf,18,90,362,25,35,10649
2019,2019_5565_indycar-sectionresults-quals-day1.pdf,19,90,215,19,37,8677
2019,2019_5565_indycar-sectionresults-quals-day1.pdf,20,90,507,31,35,12440
2019,2019_5565_indycar-sectionresults-quals-day1.pdf,21,90,466,29,38,11923
2019,2019_5565_indycar-sectionresults-quals-day1.pdf,22,90,215,19,37,8622
2019,2019_5565_indycar-sectionresults-quals-day1.pdf,23,90,215,19,38,8575
2019,2019_5565_indycar-sectionresults-quals-day1.pdf,24,90,368,25,36,10806
2019,2019_5565_indycar-sectionresults-quals-day1.pdf,25,90,546,32,36,12694
2019,2019_5565_indycar-sectionresults-quals-day1.pdf,26,90,102,14,42,7438
2019,2019_5565_indycar-sectionresults-quals-day1.pdf,27,90,502,31,36,12468
2019,2019_5565_indycar-sectionresults-quals-day1.pdf,28,90,139,16,36,7897
2019,2019_5565_indycar-sectionresults-quals-day1.pdf,29,90,506,31,35,12398
2019,2019_5565_indycar-sectionresults-quals-day1.pdf,30,90,506,31,37,12457
2019,2019_5565_indycar-sectionresults-quals-day1.pdf,31,90,215,19,36,8677
2019,2019_5565_indycar-sectionresults-quals-day1.pdf,32,90,215,19,38,8577
2019,2019_5565_indycar-sectionresults-quals-day1.pdf,33,90,545,32,35,13121
2019,2019_5565_indycar-sectionresults-quals-day1.pdf,34,90,314,23,36,10214
2019,2019_5565_indycar-sectionresults-quals-day1.pdf,35,90,216,19,35,8654
2019,2019_5565_indycar-sectionresults-quals-day1.pdf,36,90,221,19,38,8702
2019,2019_5565_indycar-sectionresults-quals-day1.pdf,37,90,503,31,35,12269
2019,2019_5565_indycar-sectionresults-quals-day1.pdf,38,90,363,25,37,10637
2019,2019_5565_indycar-sectionresults-quals-day1.pdf,39,90,362,25,37,10766
2019,2019_5565_indycar-sectionresults-quals-day1.pdf,40,90,429,28,36,11540
2019,2019_5565_indycar-sectionresults-quals-day1.pdf,41,90,171,41,27,7907
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,1,0,290,24,26,3086
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,2,0,126,21,26,1451
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,3,0,290,24,26,3087
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,4,0,126,21,26,1452
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,5,0,488,30,44,5304
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,6,0,189,27,44,2207
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,7,0,389,27,35,4192
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,8,0,162,24,35,1887
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,9,0,489,30,44,5307
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,10,0,190,27,44,2210
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,11,0,488,30,44,5309
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,12,0,189,27,44,2212
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,13,0,488,30,44,5310
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,14,0,189,27,44,2213
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,15,0,455,29,41,4935
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,16,0,180,26,41,2102
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,17,0,389,27,35,4192
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,18,0,162,24,35,1887
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,19,0,290,24,26,3082
