event_id,event_year,event_time,event_type,car_or_entry_id,decision_snapshot_id,prediction_id,information_cutoff,payload,provenance_ids,input_hash,event_hash,evaluation_status,abstention_reason_codes
26:2021:FORECAST_AVAILABLE:000066,2021,2021-05-22T18:12:27Z,FORECAST_AVAILABLE,26,phase3:2021_car26,,2021-05-22T18:12:27Z,"{""forecast_ambient_temp_c"": 28.613641357421898, ""forecast_issue_time"": ""2021-05-22T18:00:00Z"", ""forecast_valid_time"": ""2021-05-22T20:00:00Z"", ""horizon_minutes"": 120, ""valid_time_error_minutes"": 12.45}",HRRR:20210522:2:2021-05-22 18:00:00+00:00:2021-05-22 20:00:00+00:00,,7557ab619843bceaed347e51885e05739ad4666bd3bcfb6cf2d1a5da60e5b211,OK,
26:2021:PHYSICAL_STATE_OBSERVED:000057,2021,2021-05-22T18:12:27Z,PHYSICAL_STATE_OBSERVED,26,,,2021-05-22T18:12:27Z,"{""current_ambient_temp_c"": 27.22222222222222, ""current_track_temp_c"": 37.77777777777778}",,,1195e94d7e66f9f676b304edf470743af785e8e4861dbdc7fb176f70ab188fe2,OK,
26:2021:SHADOW_INFERENCE_ISSUED:000059,2021,2021-05-22T18:12:27Z,SHADOW_INFERENCE_ISSUED,26,phase3:2021_car26,phase3:2021_car26:h15,2021-05-22T18:12:27Z,"{""applicability_status"": ""SUPPORTED"", ""conditional_physical_opportunity_value"": 0.04328815749973938, ""expected_delta_v"": 0.04328815749973938, ""explanation"": {""current_track_to_ambient_thermal_gap_c"": 10.555555555555557, ""forecast_ambient_trajectory_c"": {""current_ambient_temp_c"": 27.22222222222222, ""delta_ambient_temp_c"": 0.4571845160590513, ""forecast_future_ambient_temp_c"": 27.679406738281273}, ""note"": ""These are the exact closed-form M2b_mean_solar terms FINAL_V2's adapter already evaluates for this horizon (see final_v2_adapter.py); shown here for display only, not a separate model or decomposition."", ""predicted_future_track_temperature_change_c"": 1.182009692882334, ""solar_elevation_mean_deg"": 68.74745885001917, ""uncertainty_source_reference"": {""interpretation"": ""Frozen V2-D sensitivity ablation: fraction of this horizon's 80% predictive-interval width attributable to removing empirical attempt-level performance residual uncertainty. This is a global, frozen reference for the horizon, not a decomposition specific to this one prediction."", ""pi80_width_reduction_vs_full_removing_empirical_residual"": 0.9042389450398576, ""source"": ""weather/output/v2d_uncertainty_ablation/v2d_uncertainty_ablation_width_reduction_v1.csv"", ""variant"": ""NO_RESIDUAL""}}, ""horizon_minutes"": 15, ""median_delta_v"": 0.04437405608513126, ""p_improve"": 0.53935, ""pi80_high"": 0.7982832513244277, ""pi80_low"": -0.7001300384267729, ""pi90_high"": 1.2672809080292606, ""pi90_low"": -1.1661479991176462, ""queue_time_prediction"": ""NOT MODELLED"", ""retain_withdraw_recommendation"": ""NOT ISSUED""}",HRRR:20210522:0:2021-05-22 18:00:00+00:00:2021-05-22 18:00:00+00:00;008900eb428ad820bea907f91fe7c77a7e5965b56e20993b5acf9aed7627099d,21e2e7956e1f592cc914fe3e2865c85fe4c375b7d62d65cecdb0cd2c81597e03,dcb2d92c9b35b5f5d600d782ef7704e74cf93aa771e0f2ab2d7af650d4c45178,SUPPORTED,
26:2021:SHADOW_INFERENCE_ISSUED:000061,2021,2021-05-22T18:12:27Z,SHADOW_INFERENCE_ISSUED,26,phase3:2021_car26,phase3:2021_car26:h30,2021-05-22T18:12:27Z,"{""applicability_status"": ""SUPPORTED"", ""conditional_physical_opportunity_value"": 0.06204248021869427, ""expected_delta_v"": 0.06204248021869427, ""explanation"": {""current_track_to_ambient_thermal_gap_c"": 10.555555555555557, ""forecast_ambient_trajectory_c"": {""current_ambient_temp_c"": 27.22222222222222, ""delta_ambient_temp_c"": 0.7923285590278013, ""forecast_future_ambient_temp_c"": 28.014550781250023}, ""note"": ""These are the exact closed-form M2b_mean_solar terms FINAL_V2's adapter already evaluates for this horizon (see final_v2_adapter.py); shown here for display only, not a separate model or decomposition."", ""predicted_future_track_temperature_change_c"": 2.40512110843057, ""solar_elevation_mean_deg"": 67.93573615546077, ""uncertainty_source_reference"": {""interpretation"": ""Frozen V2-D sensitivity ablation: fraction of this horizon's 80% predictive-interval width attributable to removing empirical attempt-level performance residual uncertainty. This is a global, frozen reference for the horizon, not a decomposition specific to this one prediction."", ""pi80_width_reduction_vs_full_removing_empirical_residual"": 0.8554256022935537, ""source"": ""weather/output/v2d_uncertainty_ablation/v2d_uncertainty_ablation_width_reduction_v1.csv"", ""variant"": ""NO_RESIDUAL""}}, ""horizon_minutes"": 30, ""median_delta_v"": 0.06551756932403877, ""p_improve"": 0.5527, ""pi80_high"": 0.8272499912080667, ""pi80_low"": -0.6817224171560514, ""pi90_high"": 1.2946388292798305, ""pi90_low"": -1.157377908153845, ""queue_time_prediction"": ""NOT MODELLED"", ""retain_withdraw_recommendation"": ""NOT ISSUED""}",HRRR:20210522:1:2021-05-22 18:00:00+00:00:2021-05-22 19:00:00+00:00;008900eb428ad820bea907f91fe7c77a7e5965b56e20993b5acf9aed7627099d,21e2e7956e1f592cc914fe3e2865c85fe4c375b7d62d65cecdb0cd2c81597e03,607405877b3a68c3d0027fef134f112ea3067ee3b9d28869e9bb3f03c72fef7d,SUPPORTED,
26:2021:SHADOW_INFERENCE_ISSUED:000063,2021,2021-05-22T18:12:27Z,SHADOW_INFERENCE_ISSUED,26,phase3:2021_car26,phase3:2021_car26:h60,2021-05-22T18:12:27Z,"{""applicability_status"": ""SUPPORTED"", ""conditional_physical_opportunity_value"": 0.003400116818732117, ""expected_delta_v"": 0.003400116818732117, ""explanation"": {""current_track_to_ambient_thermal_gap_c"": 10.555555555555557, ""forecast_ambient_trajectory_c"": {""current_ambient_temp_c"": 27.22222222222222, ""delta_ambient_temp_c"": 0.7923285590278013, ""forecast_future_ambient_temp_c"": 28.014550781250023}, ""note"": ""These are the exact closed-form M2b_mean_solar terms FINAL_V2's adapter already evaluates for this horizon (see final_v2_adapter.py); shown here for display only, not a separate model or decomposition."", ""predicted_future_track_temperature_change_c"": 3.939710148840303, ""solar_elevation_mean_deg"": 65.89378272385675, ""uncertainty_source_reference"": {""interpretation"": ""Frozen V2-D sensitivity ablation: fraction of this horizon's 80% predictive-interval width attributable to removing empirical attempt-level performance residual uncertainty. This is a global, frozen reference for the horizon, not a decomposition specific to this one prediction."", ""pi80_width_reduction_vs_full_removing_empirical_residual"": 0.798707118459242, ""source"": ""weather/output/v2d_uncertainty_ablation/v2d_uncertainty_ablation_width_reduction_v1.csv"", ""variant"": ""NO_RESIDUAL""}}, ""horizon_minutes"": 60, ""median_delta_v"": 0.007306037258644885, ""p_improve"": 0.5058, ""pi80_high"": 0.7808723584586663, ""pi80_low"": -0.7661022787043688, ""pi90_high"": 1.2515627287360778, ""pi90_low"": -1.219846561783558, ""queue_time_prediction"": ""NOT MODELLED"", ""retain_withdraw_recommendation"": ""NOT ISSUED""}",HRRR:20210522:1:2021-05-22 18:00:00+00:00:2021-05-22 19:00:00+00:00;008900eb428ad820bea907f91fe7c77a7e5965b56e20993b5acf9aed7627099d,21e2e7956e1f592cc914fe3e2865c85fe4c375b7d62d65cecdb0cd2c81597e03,29d74c9fb5da9248be068272f5d93eb3d05919faa34e77a3d32fd8b9155b5c12,SUPPORTED,
26:2021:SHADOW_INFERENCE_ISSUED:000065,2021,2021-05-22T18:12:27Z,SHADOW_INFERENCE_ISSUED,26,phase3:2021_car26,phase3:2021_car26:h90,2021-05-22T18:12:27Z,"{""applicability_status"": ""SUPPORTED"", ""conditional_physical_opportunity_value"": 0.054478046317902706, ""expected_delta_v"": 0.054478046317902706, ""explanation"": {""current_track_to_ambient_thermal_gap_c"": 10.555555555555557, ""forecast_ambient_trajectory_c"": {""current_ambient_temp_c"": 27.22222222222222, ""delta_ambient_temp_c"": 1.3914191351996763, ""forecast_future_ambient_temp_c"": 28.613641357421898}, ""note"": ""These are the exact closed-form M2b_mean_solar terms FINAL_V2's adapter already evaluates for this horizon (see final_v2_adapter.py); shown here for display only, not a separate model or decomposition."", ""predicted_future_track_temperature_change_c"": 5.6980262389806065, ""solar_elevation_mean_deg"": 63.48114882588268, ""uncertainty_source_reference"": {""interpretation"": ""Frozen V2-D sensitivity ablation: fraction of this horizon's 80% predictive-interval width attributable to removing empirical attempt-level performance residual uncertainty. This is a global, frozen reference for the horizon, not a decomposition specific to this one prediction."", ""pi80_width_reduction_vs_full_removing_empirical_residual"": 0.7587800187488541, ""source"": ""weather/output/v2d_uncertainty_ablation/v2d_uncertainty_ablation_width_reduction_v1.csv"", ""variant"": ""NO_RESIDUAL""}}, ""horizon_minutes"": 90, ""median_delta_v"": 0.06175050898461372, ""p_improve"": 0.5485, ""pi80_high"": 0.8361245864066166, ""pi80_low"": -0.7376801951585432, ""pi90_high"": 1.3180738354861925, ""pi90_low"": -1.192542219134281, ""queue_time_prediction"": ""NOT MODELLED"", ""retain_withdraw_recommendation"": ""NOT ISSUED""}",HRRR:20210522:2:2021-05-22 18:00:00+00:00:2021-05-22 20:00:00+00:00;008900eb428ad820bea907f91fe7c77a7e5965b56e20993b5acf9aed7627099d,21e2e7956e1f592cc914fe3e2865c85fe4c375b7d62d65cecdb0cd2c81597e03,c4577370a0edfe9eae11e36a4dffcb2d826cf5a372fd6a4a7a0be709fda6ca4a,SUPPORTED,
26:2021:SHADOW_INFERENCE_ISSUED:000067,2021,2021-05-22T18:12:27Z,SHADOW_INFERENCE_ISSUED,26,phase3:2021_car26,phase3:2021_car26:h120,2021-05-22T18:12:27Z,"{""applicability_status"": ""SUPPORTED"", ""conditional_physical_opportunity_value"": 0.043779880666173276, ""expected_delta_v"": 0.043779880666173276, ""explanation"": {""current_track_to_ambient_thermal_gap_c"": 10.555555555555557, ""forecast_ambient_trajectory_c"": {""current_ambient_temp_c"": 27.22222222222222, ""delta_ambient_temp_c"": 1.3914191351996763, ""forecast_future_ambient_temp_c"": 28.613641357421898}, ""note"": ""These are the exact closed-form M2b_mean_solar terms FINAL_V2's adapter already evaluates for this horizon (see final_v2_adapter.py); shown here for display only, not a separate model or decomposition."", ""predicted_future_track_temperature_change_c"": 5.9769335439479505, ""solar_elevation_mean_deg"": 60.84900979839309, ""uncertainty_source_reference"": {""interpretation"": ""Frozen V2-D sensitivity ablation: fraction of this horizon's 80% predictive-interval width attributable to removing empirical attempt-level performance residual uncertainty. This is a global, frozen reference for the horizon, not a decomposition specific to this one prediction."", ""pi80_width_reduction_vs_full_removing_empirical_residual"": 0.7279196050802543, ""source"": ""weather/output/v2d_uncertainty_ablation/v2d_uncertainty_ablation_width_reduction_v1.csv"", ""variant"": ""NO_RESIDUAL""}}, ""horizon_minutes"": 120, ""median_delta_v"": 0.04993553115138121, ""p_improve"": 0.5417, ""pi80_high"": 0.8348747527359665, ""pi80_low"": -0.7552604824948139, ""pi90_high"": 1.3123308943946086, ""pi90_low"": -1.2107577340033138, ""queue_time_prediction"": ""NOT MODELLED"", ""retain_withdraw_recommendation"": ""NOT ISSUED""}",HRRR:20210522:2:2021-05-22 18:00:00+00:00:2021-05-22 20:00:00+00:00;008900eb428ad820bea907f91fe7c77a7e5965b56e20993b5acf9aed7627099d,21e2e7956e1f592cc914fe3e2865c85fe4c375b7d62d65cecdb0cd2c81597e03,e87116b550a2b5ad6bda4dc8c08e638e4566463169782d36d1c20a97517f10b8,SUPPORTED,
2:2021:FUTURE_ATTEMPT_OBSERVED:000041,2021,2021-05-22T18:44:56Z,FUTURE_ATTEMPT_OBSERVED,2,,,2021-05-22T18:44:56Z,"{""observed_delta_v"": 0.022, ""realised_horizon_minutes"": 125.83333333333333}",,,a093729c51e8876dc4a30e68c87bcd685735ebed5f8c3bd448896bfb15e4d320,OK,
2:2021:SHADOW_INFERENCE_ABSTAINED:000042,2021,2021-05-22T18:44:56Z,SHADOW_INFERENCE_ABSTAINED,2,phase3:2021_car2,,2021-05-22T18:44:56Z,"{""note"": ""Realised horizon 125.8 min does not exactly match any calibrated anchor (15, 30, 60, 90, 120) and is not the pre-approved illustrative exception; historical scoring abstained rather than extrapolated or nearest-anchor-substituted."", ""realised_horizon_minutes"": 125.83333333333333, ""scope"": ""HISTORICAL_SCORING""}",,,791d3ed660d215ef8541bf427d72f7b6551be90667eeaefe0511fd0744c3c921,ABSTAINED,HORIZON_OUT_OF_SUPPORT
21:2021:FUTURE_ATTEMPT_OBSERVED:000055,2021,2021-05-22T18:49:55Z,FUTURE_ATTEMPT_OBSERVED,21,,,2021-05-22T18:49:55Z,"{""observed_delta_v"": 0.642, ""realised_horizon_minutes"": 126.65}",,,224e13aeaac488a408d1c547a2d9acf15934b334ed121265a37782d6b79bc40d,OK,
