year,car_number,driver_name,delta_four_lap_average_speed_mph,delta_track_temp_c,delta_air_temp_c,predicted_physical_delta_mph_loyo,residual_loyo_raw,residual_loyo_centered
2020,20,Ed Carpenter,0.4,3.88888889,2.776578861,0.42787286003119385,-0.027872860031193825,-0.10744538656633873
2020,3,Helio Castroneves,0.258,1.66666666,1.515422821,0.24943981329345793,0.008560186706542072,-0.07101233982860283
2020,47,Conor Daly,0.071,1.66666667,2.080311288,0.36410741329236146,-0.29310741329236145,-0.37267993982750636
2020,5,Pato O'Ward,0.311,11.66666666,4.857767317,0.5788380662847412,-0.2678380662847412,-0.3474105928198861
2020,59,Max Chilton,1.484,3.88888888,1.822581609,0.23421945441437284,1.2497805455856272,1.1702080190504822
2020,60,Jack Harvey,-0.104,13.88888889,3.833322525,0.2933133973504897,-0.3973133973504897,-0.4768859238856346
2020,8,Marcus Ericsson,0.094,7.77777778,2.688866679,0.2743187662722283,-0.1803187662722283,-0.2598912928073732
2020,81,Ben Hanley,1.971,5.55555555,2.492221875,0.3119725333153352,1.659027466684665,1.5794549401495201
2020,88,Colton Herta,0.215,0.0,1.616775725,0.3281918529354654,-0.11319185293546538,-0.1927643794706103
2020,9,Scott Dixon,-0.041,10.55555556,3.808984756,0.40472954340037676,-0.44572954340037674,-0.5253020699355216
2020,9,Scott Dixon,0.102,1.11111111,1.131267548,0.19085228006721103,-0.08885228006721103,-0.16842480660235593
2021,12,Will Power,0.176,7.22222223,1.723967285,0.053084370150142446,0.12291562984985754,0.04334310331471264
2021,16,Simona De Silvestro,0.222,7.77777778,0.6806170993,-0.1494183475653465,0.37141834756534653,0.2918458210302016
2021,18,Ed Jones,0.798,12.77777778,3.609912872,0.1922637754325784,0.6057362245674216,0.5261636980322767
2021,2,Josef Newgarden,0.022,3.33333333,2.546553633,0.33208394006369485,-0.31008394006369483,-0.38965646659883973
2021,21,Rinus VeeKay,0.642,4.44444444,2.49493493,0.28458943698807926,0.35741056301192076,0.27783803647677585
2021,25,Stefan Wilson,-0.02,8.33333334,3.178205872,0.2701298374463623,-0.29012983744636234,-0.36970236398150724
2021,25,Stefan Wilson,-0.062,4.44444444,0.06906673855,-0.1415725265351449,0.0795725265351449,0.0
2021,26,Colton Herta,-1.419,10.55555555,0.7897143809,-0.22631888966135322,-1.1926811103386468,-1.2722536368737916
2021,4,Dalton Kellett,-0.927,6.66666667,1.015215522,-0.05221166581092099,-0.8747883341890791,-0.954360860724224
2021,47,Conor Daly,-0.154,7.77777778,0.8466078101,-0.1202580957880802,-0.033741904211919804,-0.11331443074706471
2021,60,Jack Harvey,4.695,4.44444445,0.8624273003,-0.0021997052376199755,4.697199705237621,4.617627178702476
2021,7,Felix Rosenqvist,0.246,7.22222223,1.203354407,-0.038373775476204436,0.28437377547620446,0.20480124894105955
2021,86,Juan Pablo Montoya,-0.154,10.55555555,1.983055674,-0.016679853866558958,-0.13732014613344104,-0.21689267266858595
2021,98,Marco Andretti,0.611,5.0,4.014287635,0.5322869811160035,0.07871301888399651,-0.0008595076511483946
2021,98,Marco Andretti,-0.002,6.11111112,0.06324242486,-0.20023536625603167,0.19823536625603166,0.11866283972088676
2023,11,Takuma Sato,0.465,3.960493823,0.833559299,-0.006591179012880116,0.47159117901288017,0.39201865247773526
2023,27,Kyle Kirkwood,0.227,2.304938272,0.74536989,0.05049986617663246,0.17650013382336754,0.09692760728822264
2023,27,Kyle Kirkwood,0.045,-0.08024691802,-0.2920346408,-0.057311486363438253,0.10231148636343826,0.022738959828293354
2023,29,Devlin DeFrancesco,0.08,6.290740736,2.188078673,0.16993318374012845,-0.08993318374012844,-0.16950571027527334
2023,33,Ed Carpenter,-0.109,8.347530864,2.587173504,0.15945451194264743,-0.2684545119426474,-0.3480270384777923
2023,33,Ed Carpenter,0.178,-0.9561728384,-0.5968776957,-0.08100937039127343,0.2590093703912734,0.17943684385612851
2023,66,Tony Kanaan,0.174,8.269135802,2.605539644,0.1668642963937239,0.007135703606276078,-0.07243682292886883
2023,66,Tony Kanaan,0.727,-4.444444812e-09,-0.5811227417,-0.12132727681705055,0.8483272768170506,0.7687547502819057
2023,77,Callum Ilott,3.462,5.55555555,1.166624942,-0.009797882975485311,3.4717978829754856,3.3922253564403406
2023,8,Marcus Ericsson,-0.314,12.64320988,3.192323168,0.08988932120325877,-0.40388932120325877,-0.48346184773840367
2023,8,Marcus Ericsson,0.609,-0.4888888933,0.1460803392,0.05279504882761582,0.5562049511723841,0.4766324246372392
2023,9,Scott Dixon,0.461,10.5382716,3.037249688,0.1535108140836307,0.3074891859163693,0.2279166593812244
2023,6,Felix Rosenqvist,0.848,7.7777777777777715,1.931121826171875,0.04846768220953945,0.7995323177904605,0.7199597912553156
2024,21,Rinus VeeKay,1.253,-2.2222222222222214,0.214111328125,0.10009965960463874,1.152900340395361,1.073327813860216
2024,5,Pato O'Ward,0.601,1.1111111111111145,0.50457763671875,0.050257840925604175,0.5507421590743958,0.4711696325392509
