model,n,mae,rmse,bias,baseline_mae,baseline_rmse,beats_baseline_mae,beats_baseline_rmse
EXTENDED_THERMAL_LINEAR,1016,2.150835538850323,2.8490725175616674,0.14477316937771384,4.080271216097988,5.485228535717033,True,True
EXTENDED_THERMAL_QUADRATIC,1016,2.15609893757787,2.84966519005209,0.20048194655041024,4.080271216097988,5.485228535717033,True,True
