dataset,model,n,loyo_n,mae,rmse,bias,no_change_mae,no_change_rmse,beats_no_change_mae,beats_no_change_rmse,beta_delta_track_temp_c,model_name,beta_delta_gust_ms,beta_delta_air_density_kg_m3,beta_delta_shortwave_radiation_wm2
FROZEN_39,delta_track_temp_c,38,38,0.5998512430943502,1.0876515221265972,-0.2010921717383144,0.5803157894736842,1.1070411013146713,False,True,0.03207347450592852,TRACK_ONLY,,,
FROZEN_39,delta_track_temp_c+delta_gust_ms,38,38,0.5806029428778892,1.0718944802001436,-0.20218753524076813,0.5803157894736842,1.1070411013146713,False,True,0.03805782771202016,TRACK_GUST,0.3931046792046391,,
FROZEN_39,delta_track_temp_c+delta_air_density_kg_m3,38,38,0.5711164389905994,1.0680686687546388,-0.17597138520924338,0.5803157894736842,1.1070411013146713,True,True,-0.030894722636023372,TRACK_DENSITY,,-53.551835570090304,
FROZEN_39,delta_track_temp_c+delta_shortwave_radiation_wm2,38,38,0.8820203751473964,1.3041454913682273,-0.1209396401977722,0.5803157894736842,1.1070411013146713,False,False,0.032076182994434176,TRACK_SHORTWAVE,,,-6.164497950196312e-06
FROZEN_39,delta_air_density_kg_m3,39,39,0.5619094722835737,1.0539694756947457,-0.15814610952430497,0.5681794871794872,1.0928904160703676,True,True,,DENSITY_ONLY,,-31.681595192780968,
FROZEN_39,delta_shortwave_radiation_wm2,39,39,0.7352813257931796,1.2046112023095834,-0.37992857692593557,0.5681794871794872,1.0928904160703676,False,False,,SHORTWAVE_ONLY,,,-2.0096435096903704e-06
R5_2_COMBINED,delta_track_temp_c,41,41,0.6204361343367344,1.0767249041958094,-0.24400537185669946,0.6037560975609756,1.0956770264733415,False,True,0.03324668929574896,TRACK_ONLY,,,
R5_2_COMBINED,delta_track_temp_c+delta_gust_ms,41,41,0.5881875984605459,1.0529727810112925,-0.22474694242752352,0.6037560975609756,1.0956770264733415,True,True,0.03515468917557398,TRACK_GUST,0.34792459855984964,,
R5_2_COMBINED,delta_track_temp_c+delta_air_density_kg_m3,41,41,0.5970630082362004,1.050987412085707,-0.2097478231581061,0.6037560975609756,1.0956770264733415,True,True,-0.037604159191876985,TRACK_DENSITY,,-60.674084142738266,
R5_2_COMBINED,delta_track_temp_c+delta_shortwave_radiation_wm2,41,41,0.8369257890644874,1.2540424759170914,-0.170267384611648,0.6037560975609756,1.0956770264733415,False,False,0.03314080679019846,TRACK_SHORTWAVE,,,-0.0005426660718659131
R5_2_COMBINED,delta_air_density_kg_m3,42,42,0.5807766437141177,1.0396797289389992,-0.18134767545968747,0.5919285714285714,1.0826805689055818,True,True,,DENSITY_ONLY,,-33.94105109659507,
R5_2_COMBINED,delta_shortwave_radiation_wm2,42,42,0.7434478114956942,1.1962985010015277,-0.3961065092423139,0.5919285714285714,1.0826805689055818,False,False,,SHORTWAVE_ONLY,,,-0.0005511896927179678
