year,n,beta_zero,pearson,spearman,mean_delta_density,mean_delta_speed
2020,11,-35.37840605009098,0.166042806444226,0.13636363636363638,-0.009709356763454545,0.43281818181818177
2021,15,-30.388991903624024,0.004905355307043604,-0.3252905677826704,-0.007687805661066666,0.3116
2023,13,-34.4446315053592,0.11852496260485346,0.3516483516483516,-0.005989909168477099,0.5271538461538462
