beta_track_temp,beta_ambient_temp
-0.030214842701718914,0.12664826577916743
-0.0390120321480657,0.2692370376973827
-0.02039549399484257,0.19559352476224942
-0.05472961352299448,0.223540105214939
-0.03948001234582754,0.17790663296167858
-0.015054530277872272,0.12717237237370324
-0.06703459131172143,0.28539723288488
-0.05537182989708048,0.2307201212090976
-0.017592627031963074,0.13923805181794666
-0.03914132907166053,0.18829121447005515
-0.01667874905569489,0.170591827090153
-0.02486524534231796,0.16105267185677924
-0.051730083322673454,0.22561552119085254
-0.07926959965460531,0.2733782690929028
-0.025009197696944388,0.12179431118543083
-0.10157090406763325,0.40492869082910843
-0.030941756863557844,0.18632353149600783
-2.2263614986021018e-11,0.13320359735281076
-0.002019773965927653,0.09232667162100916
-1.3229289891995344e-13,0.08071284271500753
-2.0163343974049925e-15,0.1209083503716713
-0.11294169064320192,0.41574664281466817
-0.01822343208586509,0.11973408469428186
-0.009405955888150342,0.11912505948281885
-0.048886614635679455,0.23086012862225233
-0.08949402164563533,0.27695753572901144
-0.029010545250149698,0.18838249683640604
-0.021348139075474476,0.1607794774106678
-0.049765146127893393,0.2052230721446331
-0.01789725471976423,0.11418421144640141
-0.05280241582033643,0.25023118322057847
-0.029168489551574712,0.17464145689355062
-0.0221968855784803,0.133972823142025
-0.04584158685476624,0.20423747791412455
-0.04188651864841127,0.20713161225500837
-0.016715243022971393,0.16122200279251475
-0.01863138788542122,0.20191511466588571
-0.007451038378539241,0.12754909206895731
-0.10305784304644607,0.43489635533309595
-0.1334256256940345,0.46799548712085176
-0.08673168473659713,0.3235357548310827
-0.018973435450332306,0.07453285849848038
-0.10885283650661949,0.3660120923010966
-0.05798668209986622,0.22120370573801404
-0.05936261132992563,0.2385277175769897
-5.050889954781895e-12,0.057464804286415844
-0.028167586217106362,0.14905040396356753
-0.06647933398133364,0.2766105675597091
-0.035885199295591745,0.2738180045432531
-0.05344019452568397,0.2849256056594815
-0.030897712313515662,0.19373634083907287
-0.029242682162269454,0.16049238769489424
-0.05166394385104944,0.2139678341308004
-0.030356903299385174,0.1706577414509634
-0.01559833140284407,0.10066050294701756
-0.06695912808865576,0.23613215115594133
-0.060679257787376054,0.2519979589364926
-0.025820542027052373,0.1195016164008311
-0.052134198593941805,0.26299701590222385
-0.03765979788418453,0.2252830385144141
-0.06463275485556756,0.22976657927139485
-0.10283368889452382,0.425645752602153
-0.021301315882080556,0.1541927834339114
