subset,n,zero_intercept_beta,pearson,spearman,median_abs_dspeed,max_abs_dspeed
ALL,41,0.03324668929574896,-0.21397508960990497,-0.3849505647218643,0.246,4.695
ABS_DSPEED_LE_4.0,40,0.02301550033903349,-0.24695789839409918,-0.39111259207165755,0.2365,3.462
ABS_DSPEED_LE_3.0,39,0.013489486243530954,-0.3266384459262423,-0.3989975882749372,0.227,1.971
ABS_DSPEED_LE_2.0,39,0.013489486243530954,-0.3266384459262423,-0.3989975882749372,0.227,1.971
ABS_DSPEED_LE_1.5,38,0.007984852839545769,-0.37179142365467743,-0.40673237004496754,0.2245,1.484
ABS_DSPEED_LE_1.0,35,0.015302850114794472,-0.23203266422939148,-0.31219787524812515,0.215,0.927
