wait_minutes,future_ambient_temp_c,delta_ambient_temp_c,expected_delta_track_temp_c,track_temp_uncertainty_sd_c,expected_delta_speed_mph,median_delta_speed_mph,lower_80_mph,upper_80_mph,lower_90_mph,upper_90_mph,p_improve,expected_track_temp_c
0.0,23.5266052246094,0.0,0.0,0.0,0.0,0.0,-0.7199597912553156,0.7199597912553156,-1.1702080190504822,1.2722536368737916,0.4859,40.0
1.0,23.5266052246094,0.0,0.012740505910053204,0.0971001725964369,-0.0005190567755465872,-0.0008124524266620091,-0.7673735418526303,0.7202458498033748,-1.2675772725036458,1.1709479787370052,0.49366666666666664,40.01274050591005
2.0,23.5266052246094,0.0,0.025481011820106408,0.1942003451928738,-0.0009668073677812947,-0.0006589028603187671,-0.7316839870627354,0.7230337380764901,-1.1833197589923379,1.1784466843844006,0.4962666666666667,40.025481011820105
3.0,23.5266052246094,0.0,0.03822151773015961,0.2913005177893107,-0.0014030961141211155,-0.0005597807810952145,-0.7240584161662482,0.7297611667034721,-1.1767043751173705,1.1883155983513063,0.4975,40.03822151773016
4.0,23.5266052246094,0.0,0.050962023640212815,0.3884006903857476,-0.0017428034501278636,-1.2804861159378078e-16,-0.7312649220250721,0.7305869064719774,-1.2618798700960683,1.1968336484211741,0.4998,40.05096202364021
5.0,23.5266052246094,0.0,0.06370252955026601,0.4855008629821845,-0.0024359648868095413,-0.001678805398644769,-0.7439703498662145,0.7221258011003613,-1.253694839870974,1.185397836265189,0.4945,40.06370252955027
6.0,23.5266052246094,0.0,0.07644303546031922,0.5826010355786214,-0.0027303462304551275,6.9664239320034395e-15,-0.7479039425481626,0.7276997265800855,-1.1931696940851926,1.2313709402244046,0.5002666666666666,40.07644303546032
7.0,23.5266052246094,0.0,0.08918354137037242,0.6797012081750583,-0.0031920428458254197,-0.0015619757369068287,-0.741024389619955,0.7393116770116294,-1.2333900882065645,1.1972664412849885,0.4955333333333333,40.089183541370375
8.0,23.5266052246094,0.0,0.10192404728042563,0.7768013807714952,-0.003693063103028547,-0.0008646612699667266,-0.7431549579452253,0.7199597912553314,-1.2087859607025315,1.1881165321876859,0.4971333333333333,40.10192404728043
9.0,23.5266052246094,0.0,0.11466455319047883,0.8739015533679321,-0.004502509491352341,-0.002615269583009335,-0.7318167233690239,0.7233823688067725,-1.1858175765702181,1.2077577931226995,0.49333333333333335,40.11466455319048
10.0,23.5266052246094,0.0,0.12740505910053201,0.971001725964369,-0.004946426704910896,-0.003975904903695815,-0.7315264639194466,0.7205830604195945,-1.2020345346500212,1.1888753525994737,0.49333333333333335,40.12740505910053
11.0,23.5266052246094,0.0,0.14014556501058523,1.068101898560806,-0.004892504628739535,-0.0008595076559851857,-0.7208616802279748,0.7196702190750234,-1.21068957000148,1.182980470577275,0.4974,40.140145565010585
12.0,23.5266052246094,0.0,0.15288607092063844,1.1652020711572428,-0.005181142820798447,-0.001979645753840169,-0.7295912310766174,0.7307223330934529,-1.2162206267781575,1.2168536970014372,0.49583333333333335,40.15288607092064
13.0,23.5266052246094,0.0,0.16562657683069165,1.2623022437536797,-0.006732554108952318,-0.0065263726703431455,-0.7203698347112052,0.7221515623190191,-1.207057169919573,1.2040389248566916,0.49146666666666666,40.16562657683069
14.0,23.5266052246094,0.0,0.17836708274074484,1.3594024163501166,-0.0064557608846773995,-0.0062736572542734575,-0.7225798071038352,0.7252896512628411,-1.1949361350643102,1.1859788599497505,0.49196666666666666,40.17836708274074
15.0,23.5266052246094,0.0,0.19110758865079805,1.4565025889465535,-0.008126662924977256,-0.00918011243268152,-0.7372009123143514,0.7262007756274883,-1.2122725400694039,1.2032495451199396,0.4895333333333333,40.1911075886508
16.0,23.55913899739586,0.03253377278645786,0.2588226102347869,1.489444973443001,-0.0034751477467448904,-0.003895536686999299,-0.7276766237326394,0.7239250635795536,-1.212441838971394,1.195288122298832,0.4965,40.25882261023479
17.0,23.591672770182317,0.06506754557291572,0.32653763181877576,1.5223873579394485,-0.0005759219863055637,0.0047562350434103996,-0.7285400357344013,0.7522283239465893,-1.2149389246494606,1.2124174106919003,0.5054666666666666,40.32653763181877
18.0,23.624206542968775,0.09760131835937358,0.3942526534027646,1.555329742435896,0.004581977455929618,0.008188054017865872,-0.7311913063492045,0.7421782304558929,-1.2141360367176346,1.237757800575185,0.5078666666666667,40.394252653402766
19.0,23.656740315755233,0.13013509114583144,0.46196767498675345,1.5882721269323434,0.008367040889433653,0.012094080197312836,-0.7207983763783401,0.7539604448064386,-1.2157595122271823,1.2521427247570884,0.5116333333333334,40.46196767498675
20.0,23.68927408854169,0.1626688639322893,0.5296826965707423,1.621214511428791,0.01147322705241487,0.01212947842955792,-0.7211821089594113,0.7675657164822853,-1.2191589684267337,1.2453405559134922,0.5113666666666666,40.529682696570745
21.0,23.72180786132815,0.19520263671874716,0.5973977181547312,1.6541568959252386,0.01575038598330955,0.015961254546572844,-0.7277090210548212,0.7425695721587011,-1.2282002938612488,1.2211467053356952,0.5141666666666667,40.59739771815473
22.0,23.754341634114606,0.22773640950520502,0.66511273973872,1.687099280421686,0.01920993881481599,0.020507792198450135,-0.7133865034206107,0.7462299388644933,-1.2213828037094459,1.2213327836695032,0.5199,40.66511273973872
23.0,23.786875406901068,0.26027018229166643,0.732827761322715,1.7200416649181336,0.022966147030335678,0.025150274947228962,-0.7068207103816561,0.7521900647486192,-1.1829461247635848,1.2450706771394584,0.5242666666666667,40.73282776132272
24.0,23.819409179687526,0.2928039550781243,0.8005427829067038,1.752984049414581,0.027559543978761047,0.029388980509396978,-0.7000073879342776,0.7652845856844804,-1.203326988026579,1.2667098890254838,0.5259333333333334,40.8005427829067
25.0,23.851942952473983,0.32533772786458215,0.8682578044906926,1.7859264339110286,0.03148858650558316,0.03396770117748769,-0.7107144261815259,0.7858982661965092,-1.1762409599237458,1.281173124103174,0.5326666666666666,40.868257804490696
26.0,23.88447672526044,0.35787150065104,0.9359728260746815,1.8188688184074762,0.03502238438785471,0.03757713448790833,-0.7025855502208617,0.7718291700220566,-1.1821740615967515,1.2544598220255088,0.5351666666666667,40.93597282607468
27.0,23.9170104980469,0.39040527343749787,1.0036878476586704,1.8518112029039235,0.03881197711234528,0.03842108088156845,-0.6811482160535932,0.7762297826487401,-1.1669201788479149,1.247297781130423,0.5334,41.00368784765867
28.0,23.949544270833357,0.42293904622395573,1.0714028692426592,1.8847535874003711,0.0434648856320529,0.045686879195536954,-0.6887908844255458,0.7938668309772686,-1.1816237848419562,1.2780409377614785,0.5407666666666666,41.07140286924266
29.0,23.982078043619815,0.4554728190104136,1.1391178908266482,1.9176959718968185,0.04604885341356788,0.043155988499465586,-0.6950542000265895,0.7832300582857696,-1.1699249914816334,1.2734021765290535,0.5404,41.13911789082665
30.0,24.014611816406273,0.48800659179687145,1.206832912410637,1.950638356393266,0.050201984089810296,0.050610550733804355,-0.6963425596671201,0.7915291374688966,-1.175400923748622,1.2703728421483558,0.5437,41.20683291241064
31.0,24.014611816406273,0.48800659179687145,1.21957341832069,1.9722329702620127,0.0492309334342341,0.049744507586800824,-0.687489717771177,0.7757726551128636,-1.190633508282776,1.2628491973033766,0.5421666666666667,41.21957341832069
32.0,24.014611816406273,0.48800659179687145,1.2323139242307433,1.9938275841307596,0.049199767342192995,0.05210785516611392,-0.6796117315433391,0.7873254213433988,-1.1551443843743838,1.2653413712350583,0.5437666666666666,41.232313924230745
33.0,24.014611816406273,0.48800659179687145,1.2450544301407964,2.015422197999506,0.04781635209014945,0.04898480546777044,-0.6917495399262493,0.7840672872045711,-1.1585839004036946,1.2491526763561542,0.5417666666666666,41.2450544301408
34.0,24.014611816406273,0.48800659179687145,1.2577949360508498,2.037016811868253,0.04669463790125588,0.04848424729817473,-0.6842163624351352,0.7713200451041777,-1.161126371888987,1.265210888242686,0.5431,41.25779493605085
35.0,24.014611816406273,0.48800659179687145,1.270535441960903,2.0586114257369994,0.048483339344532334,0.05199019972435007,-0.6649227706272428,0.8017682316613486,-1.1382066619676523,1.292544938671963,0.5434666666666667,41.2705354419609
