model,n,ols_delta_air_density_kg_m3,huber_delta_air_density_kg_m3,ols_delta_track_temp_c,huber_delta_track_temp_c,ols_delta_gust_ms,huber_delta_gust_ms
DENSITY_ONLY,42,-33.94105109659507,-21.162855708211936,,,,
TRACK_DENSITY,41,-60.674084142738266,-52.05304400865697,-0.037604159191876985,-0.04600319638368369,,
TRACK_GUST,41,,,0.03515468917557398,0.02155318014294269,0.34792459855984964,0.3046504969504781
