n,loyo_n,mae,rmse,bias,no_change_mae,no_change_rmse,beats_no_change_mae,beats_no_change_rmse,beta_delta_track_temp_c,model,fit,beta_delta_air_temp_c,beta_delta_gust_ms,beta_delta_wind_speed_ms,beta_delta_shortwave_radiation_wm2
41,41,0.6204361343367344,1.0767249041958094,-0.24400537185669946,0.6037560975609756,1.0956770264733415,False,True,0.03324668929574896,TRACK_ONLY,OLS,,,,
41,41,0.5966695448649663,1.0770683616513064,-0.3372005897565594,0.6037560975609756,1.0956770264733415,True,True,0.0187816032046487,TRACK_ONLY,HUBER,,,,
42,42,0.582928143929569,1.0408991618593888,-0.1919525939521086,0.5919285714285714,1.0826805689055818,True,True,,AIR_ONLY,OLS,0.13699860881541323,,,
42,42,0.5691831652208842,1.0470242863420927,-0.2851383742718858,0.5919285714285714,1.0826805689055818,True,True,,AIR_ONLY,HUBER,0.0867351508279001,,,
41,41,0.6026413169954906,1.0584260192890422,-0.20920207904827656,0.6037560975609756,1.0956770264733415,True,True,-0.022809046581209327,TRACK_AIR,OLS,0.20250493371643738,,,
41,41,0.581261751526887,1.0608082363540277,-0.3171033871901433,0.6037560975609756,1.0956770264733415,True,True,-0.03482532976361639,TRACK_AIR,HUBER,0.18239338404039918,,,
41,41,0.5881875984605459,1.0529727810112925,-0.22474694242752352,0.6037560975609756,1.0956770264733415,True,True,0.03515468917557398,TRACK_GUST,OLS,,0.34792459855984964,,
41,41,0.5778080688407484,1.0541688996856386,-0.255746983843041,0.6037560975609756,1.0956770264733415,True,True,0.02155318014294269,TRACK_GUST,HUBER,,0.3046504969504781,,
41,41,0.6618641040164921,1.1236063519714163,-0.33459952467213233,0.6037560975609756,1.0956770264733415,False,False,0.028415186839807476,TRACK_WIND,OLS,,,0.20845152486207053,
41,41,0.6210318774703202,1.0963502570946444,-0.37398205520253436,0.6037560975609756,1.0956770264733415,False,False,0.011472842064807096,TRACK_WIND,HUBER,,,0.2971042310052681,
41,41,0.583066560958254,1.0517180756319764,-0.2550893352526186,0.6037560975609756,1.0956770264733415,True,True,-0.010525871228721484,TRACK_AIR_GUST,OLS,0.16429895519902257,0.3113293173477686,,
41,41,0.5650779699066371,1.0531638835387667,-0.3279533516417326,0.6037560975609756,1.0956770264733415,True,True,-0.019996111028176007,TRACK_AIR_GUST,HUBER,0.13753739738040952,0.27063878874156533,,
41,41,0.6623118182684516,1.133585973140711,-0.3475348501172195,0.6037560975609756,1.0956770264733415,False,False,-0.027253609885232524,TRACK_AIR_WIND,OLS,0.20152977534242852,,0.20340347994449934,
41,41,0.6183643997156629,1.1015248834570117,-0.4124754221400158,0.6037560975609756,1.0956770264733415,False,False,-0.0388223111062289,TRACK_AIR_WIND,HUBER,0.16940536351611743,,0.289304290524632,
41,41,0.841835213919771,1.2321170450927004,-0.01618525541246238,0.6037560975609756,1.0956770264733415,False,False,-0.04913625283919609,TRACK_AIR_SHORTWAVE,OLS,0.29669442696534365,,,-0.001304110738758233
41,41,0.7388555562004018,1.1546555263094367,-0.09338325369366746,0.6037560975609756,1.0956770264733415,False,False,-0.07297012015540051,TRACK_AIR_SHORTWAVE,HUBER,0.32059063363679463,,,-0.0016348420846770586
