model,n,mae,rmse,bias,baseline_mae,baseline_rmse,beats_baseline_mae,beats_baseline_rmse,beta_delta_track_temp_c,beta_delta_air_temp_c,beta_delta_gust_ms
TRACK_CONSTRAINED,41,0.6037560975609763,1.0956770264733424,-0.4424878048780508,0.6037560975609756,1.0956770264733415,False,False,-4.231545614296429e-18,,
TRACK_AIR_CONSTRAINED,41,0.581261751526887,1.0608082363540277,-0.3171033871901433,0.6037560975609756,1.0956770264733415,True,True,-0.03482532976361639,0.18239338404039918,
TRACK_GUST_CONSTRAINED,41,0.5894446224323667,1.084636644814224,-0.4608591761684121,0.6037560975609756,1.0956770264733415,True,True,-4.4003042369843245e-20,,0.2966653301035333
TRACK_AIR_GUST_CONSTRAINED,41,0.5650779699066371,1.0531638835387667,-0.3279533516417326,0.6037560975609756,1.0956770264733415,True,True,-0.019996111028176007,0.13753739738040952,0.27063878874156533
