rescue_priority,year,car_number,driver_name,team_name,before_run_index,after_run_index,before_attempt_id,after_attempt_id,before_time_utc,after_time_utc,before_time_class,after_time_class,elapsed_between_performance_observations_min,before_four_lap_average_speed_mph,after_four_lap_average_speed_mph,delta_four_lap_average_speed_mph,ptsc_pair_available,hrrr_pair_available,full_environment_pair_available,physical_link_quality,exclusion_reason
1,2021,16,Simona De Silvestro,Paretta Autosport,2.0,3.0,adc26df0-920d-5dc7-a952-03b3fb57700a,73af9176-8333-59df-915e-2cc1016f64b2,2021-05-22T21:30:13Z,2021-05-22T21:50:59Z,APPROXIMATE_POINT,APPROXIMATE_POINT,20.766667,228.395,228.013,-0.382,False,True,False,HRRR_PAIR_ONLY,PTSC_PAIR_UNAVAILABLE
1,2024,21,Rinus VeeKay,,3.0,4.0,135b66b6-87b3-5cb3-ba14-d2d21ed2fa92,d8d8f4a5-fd52-51ca-bdc6-e2ddbea561ca,,,BOUNDED_INTERVAL,BOUNDED_INTERVAL,,231.166,232.419,1.253,True,False,False,PTSC_PAIR_ONLY_NO_HRRR_PAIR,PTSC_PAIR_AVAILABLE_BUT_HRRR_PAIR_UNAVAILABLE
2,2020,30,Takuma Sato,Rahal Letterman Lanigan Racing,1.0,2.0,d5a2b4ee-b067-59ca-8f42-44e0bc51b5c8,64cc9d51-f91b-503f-8164-1a91d9713df9,,,UNKNOWN,UNKNOWN,,230.792,229.852,-0.94,False,False,False,NO_PAIRED_PHYSICAL_STATE,PTSC_PAIR_UNAVAILABLE
2,2020,30,Takuma Sato,Rahal Letterman Lanigan Racing,2.0,3.0,64cc9d51-f91b-503f-8164-1a91d9713df9,ec187739-e976-517d-8f35-e70210af7a42,,,UNKNOWN,UNKNOWN,,229.852,230.307,0.455,False,False,False,NO_PAIRED_PHYSICAL_STATE,PTSC_PAIR_UNAVAILABLE
2,2022,3,Scott McLaughlin,Team Penske,1.0,2.0,d2ae8749-6312-5afd-b193-dd23dc071124,43d9c081-67f5-5d6f-8b48-9db0ac683a6c,,,UNKNOWN,BOUNDED_INTERVAL,,231.543,230.154,-1.389,False,False,False,NO_PAIRED_PHYSICAL_STATE,PTSC_PAIR_UNAVAILABLE
2,2022,6,Helio Castroneves,Meyer Shank w/ Curb-Agajanian,1.0,2.0,01896a4f-c482-5093-a806-89bc4273641d,90eea27e-6e83-5e24-8428-811eae3ff157,,,UNKNOWN,UNKNOWN,,225.482,229.63,4.148,False,False,False,NO_PAIRED_PHYSICAL_STATE,PTSC_PAIR_UNAVAILABLE
2,2022,18,David Malukas,Dale Coyne Racing with HMD Motorsports,1.0,2.0,619575d3-e7eb-5cce-886f-0a8485b98eba,85c917fa-1c7a-52cb-a47f-468b4bdae9a5,,,UNKNOWN,UNKNOWN,,231.233,231.607,0.374,False,False,False,NO_PAIRED_PHYSICAL_STATE,PTSC_PAIR_UNAVAILABLE
2,2022,24,Sage Karam,Dreyer & Reinbold Racing,1.0,2.0,8e0c8731-4ddc-515a-949e-7902dd01eaeb,2c453335-3a19-5653-8d5c-79d94db93028,,,UNKNOWN,UNKNOWN,,229.905,230.464,0.559,False,False,False,NO_PAIRED_PHYSICAL_STATE,PTSC_PAIR_UNAVAILABLE
2,2022,27,Alexander Rossi,Andretti Autosport,1.0,2.0,1e2facfd-2c67-5b5a-9556-04ef28eeb0d8,b3147013-0fda-5982-bea1-85788019ef89,,,UNKNOWN,UNKNOWN,,231.341,230.812,-0.529,False,False,False,NO_PAIRED_PHYSICAL_STATE,PTSC_PAIR_UNAVAILABLE
2,2022,51,Takuma Sato,Dale Coyne Racing with RWR,1.0,2.0,3f221659-74ff-5901-97dc-08071a734690,21e8c99e-b04c-516d-85a8-ccfbaed7ff46,,,UNKNOWN,UNKNOWN,,232.196,231.708,-0.488,False,False,False,NO_PAIRED_PHYSICAL_STATE,PTSC_PAIR_UNAVAILABLE
2,2022,77,Callum Ilott,Juncos Hollinger Racing,1.0,2.0,3cd6d98a-da75-5822-8dae-05e83ad8457c,8fa25fec-e5a6-5844-b3d7-f67c9dc91378,,,UNKNOWN,UNKNOWN,,230.212,230.961,0.749,False,False,False,NO_PAIRED_PHYSICAL_STATE,PTSC_PAIR_UNAVAILABLE
2,2022,98,Marco Andretti,Andretti Herta w/ Marco & Curb-Agajanian,1.0,2.0,c044edbc-0f6c-5aab-bdef-9c4156b50617,63982b5e-7639-5140-a6a2-702a77c2fc85,,,UNKNOWN,UNKNOWN,,226.108,230.345,4.237,False,False,False,NO_PAIRED_PHYSICAL_STATE,PTSC_PAIR_UNAVAILABLE
2,2023,2,Josef Newgarden,,1.0,2.0,ba018dfd-9f05-5b0d-adf9-6fee90441a6d,100ef01c-38fa-59f4-a91f-a9a703ed7d2c,,,UNKNOWN,UNKNOWN,,232.542,232.402,-0.14,False,False,False,NO_PAIRED_PHYSICAL_STATE,PTSC_PAIR_UNAVAILABLE
2,2023,3,Scott McLaughlin,,1.0,2.0,506daaba-7e0d-53d8-b6ec-c466d0af30b3,d208b8e3-e26b-5e24-9235-a7bc3437ab10,,,UNKNOWN,UNKNOWN,,232.503,232.677,0.174,False,False,False,NO_PAIRED_PHYSICAL_STATE,PTSC_PAIR_UNAVAILABLE
2,2023,6,Helio Castroneves,,1.0,2.0,5d44896c-c256-5478-aa5d-74307895b1b0,f9447c70-a844-5937-8f80-cf8d2fce9771,,,UNKNOWN,UNKNOWN,,230.41,231.954,1.544,False,False,False,NO_PAIRED_PHYSICAL_STATE,PTSC_PAIR_UNAVAILABLE
2,2023,6,Felix Rosenqvist,,1.0,2.0,9c85ad9a-de5a-5a03-9262-9ef6823db9e8,f684d582-76d7-5411-83d0-39af174901c3,,,UNKNOWN,UNKNOWN,,233.099,233.947,0.848,False,False,False,NO_PAIRED_PHYSICAL_STATE,PTSC_PAIR_UNAVAILABLE
2,2023,12,Will Power,,1.0,2.0,0051ca1a-7c05-591e-9776-995fe0689445,6913fe23-0965-51fa-8577-ee1007d0f88d,,,UNKNOWN,UNKNOWN,,232.33,232.719,0.389,False,False,False,NO_PAIRED_PHYSICAL_STATE,PTSC_PAIR_UNAVAILABLE
2,2023,12,Will Power,,2.0,,6913fe23-0965-51fa-8577-ee1007d0f88d,8e15632d-6932-5877-a861-34ed691706e1,,,UNKNOWN,UNKNOWN,,232.719,232.71,-0.009,False,False,False,NO_PAIRED_PHYSICAL_STATE,PTSC_PAIR_UNAVAILABLE
2,2023,15,Graham Rahal,,1.0,2.0,6d879c45-8d0a-5f3e-8231-8af530bf9285,e1ec0551-73d2-567c-b806-24a928d89c9e,,,UNKNOWN,UNKNOWN,,228.526,228.915,0.389,False,False,False,NO_PAIRED_PHYSICAL_STATE,PTSC_PAIR_UNAVAILABLE
2,2023,18,David Malukas,,1.0,2.0,e676cc29-ed11-5299-abcd-0696a7eb4668,4e8f59ee-2017-5f6b-870a-8398a96b4eb9,,,UNKNOWN,UNKNOWN,,230.779,231.03,0.251,False,False,False,NO_PAIRED_PHYSICAL_STATE,PTSC_PAIR_UNAVAILABLE
2,2023,18,David Malukas,,2.0,3.0,4e8f59ee-2017-5f6b-870a-8398a96b4eb9,cf5e2385-35ca-51eb-a4d9-6ab7da79af04,,,UNKNOWN,UNKNOWN,,231.03,231.769,0.739,False,False,False,NO_PAIRED_PHYSICAL_STATE,PTSC_PAIR_UNAVAILABLE
2,2023,20,Conor Daly,,1.0,2.0,6ac7f239-a4c8-58cb-b816-ca8512d9e76b,b33e0cec-e805-5abd-897a-65b4bd5a164a,,,UNKNOWN,UNKNOWN,,232.433,232.385,-0.048,False,False,False,NO_PAIRED_PHYSICAL_STATE,PTSC_PAIR_UNAVAILABLE
2,2023,23,Ryan Hunter-Reay,,1.0,2.0,11a85bb9-a5f7-54be-afd7-706bdf4d7c8c,c86d0077-2b68-5d21-8710-1ed94d3da903,,,UNKNOWN,UNKNOWN,,231.613,232.133,0.52,False,False,False,NO_PAIRED_PHYSICAL_STATE,PTSC_PAIR_UNAVAILABLE
2,2023,23,Ryan Hunter-Reay,,2.0,3.0,c86d0077-2b68-5d21-8710-1ed94d3da903,bc323143-126d-5650-815e-a8a6635437b3,,,UNKNOWN,UNKNOWN,,232.133,232.081,-0.052,False,False,False,NO_PAIRED_PHYSICAL_STATE,PTSC_PAIR_UNAVAILABLE
2,2023,24,Stefan Wilson,,1.0,2.0,42d64630-9541-5086-8ac4-faa32bc37e7e,29072f66-113f-50fd-9d79-f9256821f878,,,UNKNOWN,UNKNOWN,,231.356,230.952,-0.404,False,False,False,NO_PAIRED_PHYSICAL_STATE,PTSC_PAIR_UNAVAILABLE
2,2023,24,Stefan Wilson,,2.0,3.0,29072f66-113f-50fd-9d79-f9256821f878,111ee81b-a11a-5ab8-b5a4-9eadb4f12a70,,,UNKNOWN,UNKNOWN,,230.952,231.648,0.696,False,False,False,NO_PAIRED_PHYSICAL_STATE,PTSC_PAIR_UNAVAILABLE
2,2023,26,Colton Herta,,1.0,2.0,a0403bbb-d597-5780-bb01-764b8a6d60c9,3982bfeb-b062-5d85-ac65-0ba52f189ec5,,,UNKNOWN,UNKNOWN,,231.951,231.288,-0.663,False,False,False,NO_PAIRED_PHYSICAL_STATE,PTSC_PAIR_UNAVAILABLE
2,2023,26,Colton Herta,,2.0,3.0,3982bfeb-b062-5d85-ac65-0ba52f189ec5,94ddc0d9-ad14-53ef-acdc-7dbbb9f2ac67,,,UNKNOWN,UNKNOWN,,231.288,231.675,0.387,False,False,False,NO_PAIRED_PHYSICAL_STATE,PTSC_PAIR_UNAVAILABLE
2,2023,26,Colton Herta,,3.0,,94ddc0d9-ad14-53ef-acdc-7dbbb9f2ac67,d0b7a0c6-086c-53e9-8b7a-ef2ad8f92578,,,UNKNOWN,UNKNOWN,,231.675,231.828,0.153,False,False,False,NO_PAIRED_PHYSICAL_STATE,PTSC_PAIR_UNAVAILABLE
2,2023,45,Christian Lundgaard,,1.0,2.0,f504e7df-42b4-563e-a2a2-529b0200caba,d3cf5026-1b00-5bfb-8172-34a03ecce358,,,UNKNOWN,UNKNOWN,,230.522,230.859,0.337,False,False,False,NO_PAIRED_PHYSICAL_STATE,PTSC_PAIR_UNAVAILABLE
