transition_id,year,car_number,driver_name,team_name,before_attempt_id,after_attempt_id,before_run_index,after_run_index,before_speed_mph,after_speed_mph,delta_speed_mph,before_time_utc,after_time_utc,elapsed_between_attempt_points_min,before_time_quality,after_time_quality,before_hrrr_distance_min,after_hrrr_distance_min,before_ptsc_distance_min,after_ptsc_distance_min,before_ptsc_status,after_ptsc_status,before_track_temp_c,after_track_temp_c,delta_track_temp_c,before_air_temp_c,after_air_temp_c,delta_air_temp_c,before_dewpoint_c,after_dewpoint_c,delta_dewpoint_c,before_relative_humidity_pct,after_relative_humidity_pct,delta_relative_humidity_pct,before_pressure_hpa,after_pressure_hpa,delta_pressure_hpa,before_air_density_kg_m3,after_air_density_kg_m3,delta_air_density_kg_m3,before_wind_speed_ms,after_wind_speed_ms,delta_wind_speed_ms,before_gust_ms,after_gust_ms,delta_gust_ms,before_cloud_cover_pct,after_cloud_cover_pct,delta_cloud_cover_pct,before_shortwave_radiation_wm2,after_shortwave_radiation_wm2,delta_shortwave_radiation_wm2,rescued_physical_quality
9c85ad9a-de5a-5a03-9262-9ef6823db9e8__TO__f684d582-76d7-5411-83d0-39af174901c3,2023,6,Felix Rosenqvist,,9c85ad9a-de5a-5a03-9262-9ef6823db9e8,f684d582-76d7-5411-83d0-39af174901c3,1.0,2.0,233.099,233.947,0.8480000000000132,2023-05-20T15:55:00+00:00,2023-05-20T20:42:00+00:00,287.0,EXACT_MINUTE_OFFICIAL,EXACT_MINUTE_OFFICIAL,5.0,18.0,5.0,3.0,ACCEPT,ACCEPT,36.111111111111114,43.888888888888886,7.7777777777777715,17.260858154296898,19.191979980468773,1.931121826171875,6.92743835449221,8.282952880859398,1.3555145263671875,50.64718172617272,49.21129005989362,-1.4358916662790975,993.0,993.1,0.10000000000002274,1.1866655777347888,1.1785110030657864,-0.008154574669002379,4.107239820140483,4.78668373021887,0.6794439100783869,5.809485495090485,8.249429404735565,2.4399439096450806,2.0,40.0,38.0,923.7,691.0,-232.70000000000005,FULL_ENV_RESCUED
135b66b6-87b3-5cb3-ba14-d2d21ed2fa92__TO__d8d8f4a5-fd52-51ca-bdc6-e2ddbea561ca,2024,21,Rinus VeeKay,,135b66b6-87b3-5cb3-ba14-d2d21ed2fa92,d8d8f4a5-fd52-51ca-bdc6-e2ddbea561ca,3.0,4.0,231.166,232.419,1.2530000000000143,2024-05-18T19:51:00+00:00,2024-05-18T21:49:55+00:00,118.91666666666667,APPROXIMATE_POINT,TIGHT_BOUND,9.0,10.083333333333334,6.0,2.0833333333333335,ACCEPT,ACCEPT,49.44444444444444,47.22222222222222,-2.2222222222222214,27.312432861328148,27.526544189453148,0.214111328125,15.415277099609398,15.093240356445335,-0.3220367431640625,48.22236637968853,46.646960151060334,-1.5754062286281965,985.8,985.1,-0.6999999999999318,1.135316015479207,1.1338535178824436,-0.0014624975967634235,1.5877071763691506,1.813446678491815,0.22573950212266447,1.8900528699159624,1.992172822356224,0.10211995244026162,8.0,0.0,-8.0,815.0,482.0,-333.0,FULL_ENV_RESCUED
2c6a50e6-564c-5b01-bb51-6a1d93ae56d7__TO__592e992b-5103-52a6-b623-e25e826386bc,2024,5,Pato O'Ward,,2c6a50e6-564c-5b01-bb51-6a1d93ae56d7,592e992b-5103-52a6-b623-e25e826386bc,,,231.833,232.434,0.6009999999999991,2024-05-18T19:41:00+00:00,2024-05-18T20:33:00+00:00,52.0,APPROXIMATE_POINT,APPROXIMATE_POINT,19.0,27.0,4.0,3.0,ACCEPT,ACCEPT,49.44444444444444,50.55555555555556,1.1111111111111143,27.312432861328148,27.817010498046898,0.50457763671875,15.415277099609398,14.298699951171898,-1.1165771484375,48.22236637968853,43.57108967096564,-4.6512767087228895,985.8,985.4,-0.39999999999997726,1.135316015479207,1.1334814230403285,-0.0018345924388785129,1.5877071763691506,1.1729568342017824,-0.41475034216736817,1.8900528699159624,1.5890091806650162,-0.30104368925094627,8.0,14.0,6.0,815.0,665.0,-150.0,FULL_ENV_RESCUED
