horizon_min,n,mae,rmse,bias,residual_sd,residual_mad,fitted_sigma
15.0,154,1.073432751612345,1.4519852232691648,0.025231335797437558,1.4565025889465535,0.8027669004676854,1.223875486512955
30.0,145,1.5352917727132087,1.9439655051901847,0.015912204870149927,1.9506383563932659,1.3196398320638814,1.7308213116825912
45.0,136,1.805033939103473,2.266606570344194,0.0439829102055338,2.2745575644244664,1.4189431076433054,2.1198145247785165
60.0,128,2.012180451579041,2.5899741799594964,-0.01887895120153879,2.600081857087372,1.5508325298584216,2.44775097302591
90.0,118,2.58960586699872,3.200734433503232,-0.05831470542948412,3.213850150554153,2.1330649058504223,2.997870450657255
120.0,116,2.6469137350518177,3.430645310354259,0.12382378610796894,3.443283834784499,2.3666581317437787,3.4616426233651825
150.0,114,3.061819144409588,3.7903509399455917,0.519342750828769,3.7711796498139596,2.362392691962877,3.8702341098276247
180.0,105,3.1677750011949453,3.909956049992099,0.6727997818314245,3.870108774653905,2.8019418043513973,4.239629049557033
