core_row,year,car_number,driver_name,delta_four_lap_average_speed_mph,residual_loyo_centered,abs_residual_loyo_centered,n_common_complete_sections,mean_delta_section_speed_mph,median_delta_section_speed_mph,sd_delta_section_speed_mph,min_delta_section_speed_mph,max_delta_section_speed_mph,positive_section_fraction,negative_section_fraction,direction_coherence,max_abs_section_change_share
0,2020,20,Ed Carpenter,0.4,-0.1074453865663387,0.1074453865663387,9,0.335111111111107,0.3847499999999968,0.5565743030908937,-0.646000000000015,1.1324999999999932,0.7777777777777778,0.2222222222222222,0.7777777777777778,0.2469203096042719
1,2020,3,Helio Castroneves,0.258,-0.0710123398286028,0.0710123398286028,9,0.21741666666666978,0.3192499999999825,0.6846253309292609,-0.9317499999999939,0.9730000000000132,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.17115968160429512
2,2020,47,Conor Daly,0.071,-0.3726799398275063,0.3726799398275063,9,-0.04741666666666649,0.0832499999999925,0.8578807828014409,-1.4562500000000114,0.9879999999999995,0.5555555555555556,0.4444444444444444,0.5555555555555556,0.23125173686926837
3,2020,5,Pato O'Ward,0.311,-0.3474105928198861,0.3474105928198861,9,0.2624444444444407,0.34699999999998,0.4229507909057241,-0.7125000000000057,0.7597499999999968,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.2006205439662005
4,2020,59,Max Chilton,1.484,1.1702080190504822,1.1702080190504822,9,1.3964444444444395,1.1487499999999784,1.0151321710264012,0.5025000000000261,3.1444999999999936,1.0,0.0,1.0,0.25019891788669674
5,2020,60,Jack Harvey,-0.104,-0.4768859238856346,0.4768859238856346,9,-0.0922777777777747,-0.06024999999999636,0.30062254272499433,-0.657999999999987,0.3707499999999868,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3107438016528938
6,2020,8,Marcus Ericsson,0.094,-0.2598912928073732,0.2598912928073732,9,0.05180555555555265,-0.03149999999999409,0.5820446151522913,-0.5925000000000011,0.79849999999999,0.4444444444444444,0.5555555555555556,0.4444444444444444,0.1891843866611369
7,2020,81,Ben Hanley,1.971,1.57945494014952,1.57945494014952,9,1.8393888888888972,2.0054999999999836,1.1273581057548319,-0.47024999999999295,3.2175000000000296,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.1839096884824246
8,2020,88,Colton Herta,0.215,-0.1927643794706103,0.1927643794706103,9,0.15347222222222476,0.2982499999999959,0.5588201360406067,-0.6644999999999754,0.9932499999999891,0.5555555555555556,0.4444444444444444,0.5555555555555556,0.2278226962555157
9,2020,9,Scott Dixon,-0.041,-0.5253020699355216,0.5253020699355216,9,-0.006055555555548153,0.1985000000000241,0.42128311772224836,-0.703249999999997,0.3997500000000116,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.21891050583657456
10,2020,9,Scott Dixon,0.102,-0.1684248066023559,0.1684248066023559,9,0.031194444444439442,-0.35599999999999454,0.8566122115069182,-0.8135000000000048,1.4467499999999802,0.4444444444444444,0.5555555555555556,0.4444444444444444,0.2459936238044614
11,2021,12,Will Power,0.176,0.0433431033147126,0.0433431033147126,9,0.10630555555555866,0.24724999999997976,0.45578403907747583,-0.7652500000000089,0.597500000000025,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.20961446278162332
12,2021,16,Simona De Silvestro,0.222,0.2918458210302016,0.2918458210302016,9,0.19072222222223129,-0.1037499999999909,0.5371388967896906,-0.16024999999999068,1.380500000000012,0.4444444444444444,0.5555555555555556,0.4444444444444444,0.44070231444533203
13,2021,18,Ed Jones,0.798,0.5261636980322767,0.5261636980322767,9,0.7808333333333337,0.7980000000000018,0.22698977812887855,0.37700000000000955,1.221749999999986,1.0,0.0,1.0,0.17385272145143868
14,2021,2,Josef Newgarden,0.022,-0.3896564665988397,0.3896564665988397,9,0.04452777777777644,0.2615000000000123,0.37910409282206814,-0.5412499999999909,0.38900000000001,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.1808537298471292
15,2021,21,Rinus VeeKay,0.642,0.2778380364767758,0.2778380364767758,9,0.6034444444444458,0.578249999999997,0.2795412754009347,0.2845000000000084,1.0560000000000116,1.0,0.0,1.0,0.1944393297735241
16,2021,25,Stefan Wilson,-0.02,-0.3697023639815072,0.3697023639815072,9,-0.06808333333333394,0.3404999999999916,0.8011428360473493,-1.511999999999972,0.7564999999999884,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.24290132133820297
17,2021,25,Stefan Wilson,-0.062,0.0,0.0,9,-0.07261111111110886,-0.19924999999997794,0.5096560438041571,-0.6037499999999909,1.078249999999997,0.2222222222222222,0.7777777777777778,0.7777777777777778,0.317085722687845
18,2021,26,Colton Herta,-1.419,-1.2722536368737916,1.2722536368737916,9,-1.5275000000000034,-2.018749999999983,1.141755111385536,-2.78125,0.4802500000000123,0.1111111111111111,0.8888888888888888,0.8888888888888888,0.18909776992113064
19,2021,4,Dalton Kellett,-0.927,-0.954360860724224,0.954360860724224,9,-0.8872499999999977,-0.8720000000000141,0.6615771166311586,-1.9279999999999973,0.08500000000000796,0.1111111111111111,0.8888888888888888,0.8888888888888888,0.23641212715735244
20,2021,47,Conor Daly,-0.154,-0.1133144307470647,0.1133144307470647,9,-0.13752777777778785,-0.15475000000000705,0.3675258801355884,-0.630500000000012,0.5962499999999693,0.2222222222222222,0.7777777777777778,0.7777777777777778,0.22312660355658223
21,2021,60,Jack Harvey,4.695,4.617627178702476,4.617627178702476,9,4.428583333333332,4.842249999999979,1.5686894908649123,1.5497499999999889,6.931500000000028,1.0,0.0,1.0,0.17390813465555274
22,2021,7,Felix Rosenqvist,0.246,0.2048012489410595,0.2048012489410595,9,0.17724999999999605,0.04275000000001228,0.860048036449136,-0.8152500000000202,1.5630000000000166,0.5555555555555556,0.4444444444444444,0.5555555555555556,0.2655566410397984
